GPU: cuda:0 | Step:    4 | Updates:    1 | Time/step: 0.5546 | Tok/sec=  7386.02 | Loss: 10.2603 / log-ppl: 28574.3125 | Grad-Norm 77.1628 | ClipCoef 0.0130 | Peak-Mem 30.33GiB
GPU: cuda:0 | Step:    8 | Updates:    2 | Time/step: 0.4687 | Tok/sec=  8739.67 | Loss: 10.6372 / log-ppl: 41656.5820 | Grad-Norm 76.1617 | ClipCoef 0.0131 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   12 | Updates:    3 | Time/step: 0.4550 | Tok/sec=  9001.22 | Loss: 9.1096 / log-ppl: 9041.7988 | Grad-Norm 63.3145 | ClipCoef 0.0158 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   16 | Updates:    4 | Time/step: 0.4652 | Tok/sec=  8803.91 | Loss: 10.0387 / log-ppl: 22896.7363 | Grad-Norm 58.8318 | ClipCoef 0.0170 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   20 | Updates:    5 | Time/step: 0.4863 | Tok/sec=  8422.98 | Loss: 9.1089 / log-ppl: 9035.0410 | Grad-Norm 42.4226 | ClipCoef 0.0236 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   24 | Updates:    6 | Time/step: 0.4868 | Tok/sec=  8413.79 | Loss: 8.6363 / log-ppl: 5632.6719 | Grad-Norm 44.2184 | ClipCoef 0.0226 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   28 | Updates:    7 | Time/step: 0.4666 | Tok/sec=  8777.50 | Loss: 8.6312 / log-ppl: 5603.7070 | Grad-Norm 25.3810 | ClipCoef 0.0394 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   32 | Updates:    8 | Time/step: 0.4571 | Tok/sec=  8961.29 | Loss: 7.8452 / log-ppl: 2553.5081 | Grad-Norm 22.7086 | ClipCoef 0.0440 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   36 | Updates:    9 | Time/step: 0.4888 | Tok/sec=  8378.95 | Loss: 7.5857 / log-ppl: 1969.7876 | Grad-Norm 23.1875 | ClipCoef 0.0431 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   40 | Updates:   10 | Time/step: 0.4580 | Tok/sec=  8943.92 | Loss: 7.1793 / log-ppl: 1311.9731 | Grad-Norm 17.4585 | ClipCoef 0.0573 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   44 | Updates:   11 | Time/step: 0.4665 | Tok/sec=  8780.15 | Loss: 7.1228 / log-ppl: 1239.9740 | Grad-Norm 15.2035 | ClipCoef 0.0658 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   48 | Updates:   12 | Time/step: 0.4675 | Tok/sec=  8761.80 | Loss: 6.9860 / log-ppl: 1081.4323 | Grad-Norm 16.3039 | ClipCoef 0.0613 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   52 | Updates:   13 | Time/step: 0.4981 | Tok/sec=  8222.72 | Loss: 7.7099 / log-ppl: 2230.3083 | Grad-Norm 13.6862 | ClipCoef 0.0731 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   56 | Updates:   14 | Time/step: 0.4773 | Tok/sec=  8580.77 | Loss: 6.7438 / log-ppl: 848.7712 | Grad-Norm 8.3806 | ClipCoef 0.1193 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   60 | Updates:   15 | Time/step: 0.4898 | Tok/sec=  8361.97 | Loss: 7.2846 / log-ppl: 1457.7423 | Grad-Norm 9.3956 | ClipCoef 0.1064 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   64 | Updates:   16 | Time/step: 0.4789 | Tok/sec=  8552.29 | Loss: 6.1667 / log-ppl: 476.5999 | Grad-Norm 14.4724 | ClipCoef 0.0691 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   68 | Updates:   17 | Time/step: 0.5319 | Tok/sec=  7701.12 | Loss: 6.7340 / log-ppl: 840.5244 | Grad-Norm 10.6887 | ClipCoef 0.0936 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   72 | Updates:   18 | Time/step: 0.4998 | Tok/sec=  8194.55 | Loss: 6.6498 / log-ppl: 772.6473 | Grad-Norm 10.3370 | ClipCoef 0.0967 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   76 | Updates:   19 | Time/step: 0.4889 | Tok/sec=  8378.66 | Loss: 6.6809 / log-ppl: 797.0115 | Grad-Norm 9.8346 | ClipCoef 0.1017 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   80 | Updates:   20 | Time/step: 0.4574 | Tok/sec=  8954.38 | Loss: 6.2930 / log-ppl: 540.7883 | Grad-Norm 9.5500 | ClipCoef 0.1047 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   84 | Updates:   21 | Time/step: 0.4910 | Tok/sec=  8342.52 | Loss: 6.6094 / log-ppl: 742.0064 | Grad-Norm 13.1525 | ClipCoef 0.0760 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   88 | Updates:   22 | Time/step: 0.5120 | Tok/sec=  7999.97 | Loss: 6.1249 / log-ppl: 457.0791 | Grad-Norm 25.3247 | ClipCoef 0.0395 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   92 | Updates:   23 | Time/step: 0.4689 | Tok/sec=  8736.00 | Loss: 7.1030 / log-ppl: 1215.5884 | Grad-Norm 14.3189 | ClipCoef 0.0698 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:   96 | Updates:   24 | Time/step: 0.5639 | Tok/sec=  7263.72 | Loss: 6.2076 / log-ppl: 496.5248 | Grad-Norm 13.9561 | ClipCoef 0.0717 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  100 | Updates:   25 | Time/step: 0.4693 | Tok/sec=  8726.98 | Loss: 7.4025 / log-ppl: 1640.0391 | Grad-Norm 10.0325 | ClipCoef 0.0997 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  104 | Updates:   26 | Time/step: 0.5218 | Tok/sec=  7849.16 | Loss: 6.5440 / log-ppl: 695.0388 | Grad-Norm 20.9317 | ClipCoef 0.0478 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  108 | Updates:   27 | Time/step: 0.5115 | Tok/sec=  8007.22 | Loss: 5.7142 / log-ppl: 303.1324 | Grad-Norm 12.1297 | ClipCoef 0.0824 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  112 | Updates:   28 | Time/step: 0.4809 | Tok/sec=  8517.54 | Loss: 4.9532 / log-ppl: 141.6314 | Grad-Norm 16.2844 | ClipCoef 0.0614 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  116 | Updates:   29 | Time/step: 0.5018 | Tok/sec=  8162.48 | Loss: 5.3855 / log-ppl: 218.2233 | Grad-Norm 25.6425 | ClipCoef 0.0390 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  120 | Updates:   30 | Time/step: 0.4601 | Tok/sec=  8901.63 | Loss: 5.9008 / log-ppl: 365.3295 | Grad-Norm 28.7195 | ClipCoef 0.0348 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  124 | Updates:   31 | Time/step: 0.4491 | Tok/sec=  9121.27 | Loss: 4.9049 / log-ppl: 134.9487 | Grad-Norm 12.4090 | ClipCoef 0.0806 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  128 | Updates:   32 | Time/step: 0.5351 | Tok/sec=  7655.06 | Loss: 5.9670 / log-ppl: 390.3456 | Grad-Norm 27.5455 | ClipCoef 0.0363 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  132 | Updates:   33 | Time/step: 0.5350 | Tok/sec=  7655.86 | Loss: 5.3586 / log-ppl: 212.4323 | Grad-Norm 13.9784 | ClipCoef 0.0715 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  136 | Updates:   34 | Time/step: 0.4716 | Tok/sec=  8684.50 | Loss: 4.6824 / log-ppl: 108.0269 | Grad-Norm 9.7323 | ClipCoef 0.1028 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  140 | Updates:   35 | Time/step: 0.4701 | Tok/sec=  8712.71 | Loss: 4.3939 / log-ppl: 80.9543 | Grad-Norm 7.2090 | ClipCoef 0.1387 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  144 | Updates:   36 | Time/step: 0.4721 | Tok/sec=  8675.70 | Loss: 4.8249 / log-ppl: 124.5741 | Grad-Norm 7.8210 | ClipCoef 0.1279 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  148 | Updates:   37 | Time/step: 0.5138 | Tok/sec=  7972.45 | Loss: 4.7528 / log-ppl: 115.9125 | Grad-Norm 8.2831 | ClipCoef 0.1207 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  152 | Updates:   38 | Time/step: 0.4715 | Tok/sec=  8687.21 | Loss: 4.2033 / log-ppl: 66.9049 | Grad-Norm 6.3942 | ClipCoef 0.1564 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  156 | Updates:   39 | Time/step: 0.4715 | Tok/sec=  8687.79 | Loss: 4.9449 / log-ppl: 140.4549 | Grad-Norm 7.5664 | ClipCoef 0.1322 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  160 | Updates:   40 | Time/step: 0.4611 | Tok/sec=  8882.29 | Loss: 6.9701 / log-ppl: 1064.3503 | Grad-Norm 8.0096 | ClipCoef 0.1249 | Peak-Mem 37.27GiB
GPU: cuda:0 | Step:  164 | Updates:   41 | Time/step: 0.4810 | Tok/sec=  8516.37 | Loss: 4.4599 / log-ppl: 86.4759 | Grad-Norm 6.8337 | ClipCoef 0.1463 | Peak-Mem 37.27GiB
