train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.451521158218384,33.40774846076965,2.8603351955307265e-06,1.6666666666666665e-07,1e-06,1.7325432300567627,0.5771861750120141,8,8,65536.0,0
2,3.503318101167679,36.711479127407074,4.7206703910614525e-06,4.767225325884544e-07,2.8603351955307265e-06,1.6595616340637207,0.6025687624211499,8,8,131072.0,0
3,3.481010779738426,33.87779974937439,6.581005586592179e-06,9.441340782122905e-07,4.7206703910614525e-06,1.5094599723815918,0.6624885841931668,8,8,196608.0,0
4,3.4140175879001617,32.06243997812271,8.441340782122904e-06,1.3162011173184358e-06,6.581005586592179e-06,1.5465770959854126,0.6465891694601854,8,8,262144.0,0
5,3.5068084746599197,35.961645901203156,1.0301675977653632e-05,1.4068901303538173e-06,8.441340782122904e-06,1.2903202772140503,0.7750013835001801,8,8,327680.0,0
6,3.287239208817482,28.890887916088104,1.216201117318436e-05,1.7169459962756053e-06,1.0301675977653632e-05,1.1639723777770996,0.8591269166617977,8,8,393216.0,0
7,3.420795723795891,31.76500016450882,1.4022346368715084e-05,2.0270018621973934e-06,1.216201117318436e-05,1.2447339296340942,0.8033845436294643,8,8,458752.0,0
8,3.363786906003952,30.31894540786743,1.5882681564245808e-05,2.3370577281191805e-06,1.4022346368715084e-05,1.3681104183197021,0.7309351545085504,8,8,524288.0,0
9,3.322698250412941,28.98557084798813,1.774301675977654e-05,2.2689545091779725e-06,1.5882681564245808e-05,1.3018654584884644,0.7681285293184485,8,8,589824.0,0
10,3.569637969136238,37.0895676612854,1.9603351955307267e-05,2.9571694599627564e-06,1.774301675977654e-05,1.2878663539886475,0.7764780847811779,8,8,655360.0,0
11,3.390874743461609,31.035998702049255,2.146368715083799e-05,3.2672253258845443e-06,1.9603351955307267e-05,1.1876111030578613,0.8420264827638927,8,8,720896.0,0
12,3.238334581255913,27.450233340263367,2.332402234636872e-05,3.577281191806332e-06,2.146368715083799e-05,1.2184184789657593,0.8207360748894894,8,8,786432.0,0
13,3.3552383333444595,29.56203842163086,2.518435754189944e-05,3.88733705772812e-06,2.332402234636872e-05,1.1100820302963257,0.9008343281911867,8,8,851968.0,0
14,3.5995876789093018,37.65225577354431,2.7044692737430167e-05,3.5977653631284914e-06,2.518435754189944e-05,1.2072453498840332,0.8283320371416055,8,8,917504.0,0
15,3.55870221555233,36.264058351516724,2.890502793296089e-05,3.8635275339185956e-06,2.7044692737430167e-05,1.2320725917816162,0.8116404882874283,8,8,983040.0,0
16,3.33490851521492,30.425185829401016,3.076536312849162e-05,4.817504655493482e-06,2.890502793296089e-05,1.1575437784194946,0.86389821157739,8,8,1048576.0,0
17,3.484054774045944,34.481595396995544,3.262569832402235e-05,5.12756052141527e-06,3.076536312849162e-05,1.1248788833618164,0.8889845962887204,8,8,1114112.0,0
18,3.429013967514038,32.60967969894409,3.4486033519553074e-05,4.660814046288907e-06,3.262569832402235e-05,1.0861204862594604,0.9207081651162151,8,8,1179648.0,0
19,3.4470820128917694,32.132529497146606,3.6346368715083795e-05,5.747672253258846e-06,3.4486033519553074e-05,1.0752503871917725,0.9300159403901879,8,8,1245184.0,0
20,3.363914802670479,30.966293215751648,3.820670391061453e-05,5.192338387869113e-06,3.6346368715083795e-05,1.1030830144882202,0.9065500845038824,8,8,1310720.0,0
21,3.3667682260274887,31.061254382133484,4.006703910614525e-05,5.458100558659219e-06,3.820670391061453e-05,1.0751765966415405,0.9300797684052137,8,8,1376256.0,0
22,3.4034759253263474,31.45956063270569,4.192737430167598e-05,5.7238627294493215e-06,4.006703910614525e-05,1.0298372507095337,0.9710272174657232,8,8,1441792.0,0
23,3.442143976688385,33.686395823955536,4.3787709497206706e-05,8.385474860335195e-06,4.192737430167598e-05,1.090031623840332,0.917404576278204,8,8,1507328.0,0
24,3.4345253109931946,31.294740319252014,4.5648044692737433e-05,8.757541899441341e-06,4.3787709497206706e-05,1.118873119354248,0.8937563899794564,8,8,1572864.0,0
25,3.4158094227313995,32.76606011390686,4.750837988826816e-05,9.129608938547486e-06,4.5648044692737433e-05,1.010034203529358,0.9900654814507414,8,8,1638400.0,0
26,3.385959893465042,31.991535544395447,4.936871508379888e-05,7.91806331471136e-06,4.750837988826816e-05,1.0220102071762085,0.9784638088517719,8,8,1703936.0,0
