train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,0.766522977501154,2.21959325671196,2.6350245499181674e-06,1.6666666666666665e-07,1e-06,0.7937476634979248,1.0,8,8,65536.0,0
2,0.8204817399382591,2.478892534971237,4.270049099836334e-06,4.3917075831969456e-07,2.6350245499181674e-06,0.7360634803771973,1.0,8,8,131072.0,0
3,0.7393402745947242,2.4798388704657555,5.9050736497545006e-06,8.540098199672669e-07,4.270049099836334e-06,0.7919251918792725,1.0,8,8,196608.0,0
4,0.8082768842577934,2.324036441743374,7.540098199672669e-06,1.1810147299509001e-06,5.9050736497545006e-06,1.0662882328033447,0.9378327259318934,8,8,262144.0,0
5,0.653678746894002,1.9670547917485237,9.175122749590834e-06,1.2566830332787782e-06,7.540098199672669e-06,0.655046284198761,1.0,8,8,327680.0,0
6,0.685670642182231,2.0616661682724953,1.0810147299509e-05,1.5291871249318057e-06,9.175122749590834e-06,0.7142911553382874,1.0,8,8,393216.0,0
7,0.72642254922539,2.2239200845360756,1.2445171849427169e-05,1.8016912165848334e-06,1.0810147299509e-05,0.6841109395027161,1.0,8,8,458752.0,0
8,0.6653942540287971,1.997434340417385,1.4080196399345338e-05,2.0741953082378616e-06,1.2445171849427169e-05,0.8084933161735535,1.0,8,8,524288.0,0
9,0.6886365674436092,2.0090922340750694,1.5715220949263505e-05,2.0114566284779057e-06,1.4080196399345338e-05,1.0199024677276611,0.980485910801859,8,8,589824.0,0
10,0.7755313031375408,2.32645296305418,1.735024549918167e-05,2.6192034915439175e-06,1.5715220949263505e-05,0.8181045651435852,1.0,8,8,655360.0,0
11,0.767559701576829,2.324253588914871,1.8985270049099837e-05,2.891707583196945e-06,1.735024549918167e-05,0.8882719874382019,1.0,8,8,720896.0,0
12,0.7741429917514324,2.256937213242054,2.0620294599018004e-05,3.164211674849973e-06,1.8985270049099837e-05,0.7840206027030945,1.0,8,8,786432.0,0
13,0.8258709833025932,2.3738552033901215,2.2255319148936174e-05,3.4367157665030006e-06,2.0620294599018004e-05,0.7701362371444702,1.0,8,8,851968.0,0
14,0.805875089019537,2.315905824303627,2.3890343698854337e-05,3.179331306990882e-06,2.2255319148936174e-05,0.8086561560630798,1.0,8,8,917504.0,0
15,0.6340889856219292,1.9062733799219131,2.5525368248772503e-05,3.412906242693477e-06,2.3890343698854337e-05,0.7464171051979065,1.0,8,8,983040.0,0
16,1.0098175592720509,3.3457247242331505,2.7160392798690676e-05,4.254228041462084e-06,2.5525368248772503e-05,0.7965233325958252,1.0,8,8,1048576.0,0
17,0.7658729497343302,2.2520016729831696,2.879541734860884e-05,4.526732133115112e-06,2.7160392798690676e-05,0.6823452711105347,1.0,8,8,1114112.0,0
18,0.7533914260566235,2.1846816167235374,3.0430441898527005e-05,4.113631049801263e-06,2.879541734860884e-05,0.731521725654602,1.0,8,8,1179648.0,0
19,0.7787707969546318,2.2822600603103638,3.206546644844517e-05,5.071740316421168e-06,3.0430441898527005e-05,0.611882746219635,1.0,8,8,1245184.0,0
20,0.7021701373159885,2.0963088274002075,3.3700490998363345e-05,4.580780921206452e-06,3.206546644844517e-05,0.6267402768135071,1.0,8,8,1310720.0,0
21,0.7927133813500404,2.3995076939463615,3.533551554828151e-05,4.814355856909049e-06,3.3700490998363345e-05,0.7004359364509583,1.0,8,8,1376256.0,0
22,0.6966305524110794,2.042307823896408,3.697054009819968e-05,5.047930792611644e-06,3.533551554828151e-05,0.6995517611503601,1.0,8,8,1441792.0,0
23,0.659500926733017,2.013733848929405,3.860556464811784e-05,7.3941080196399356e-06,3.697054009819968e-05,0.6124117374420166,1.0,8,8,1507328.0,0
24,0.6654247492551804,1.9788199365139008,4.0240589198036004e-05,7.721112929623568e-06,3.860556464811784e-05,0.6625308990478516,1.0,8,8,1572864.0,0
25,0.8138918858021498,2.6337276846170425,4.187561374795418e-05,8.0481178396072e-06,4.0240589198036004e-05,0.6090872287750244,1.0,8,8,1638400.0,0
26,0.8308633752167225,2.5927936285734177,4.351063829787234e-05,6.979268957992364e-06,4.187561374795418e-05,0.6973918080329895,1.0,8,8,1703936.0,0
27,0.6971445740200579,2.175152897834778,4.5145662847790506e-05,7.2517730496453905e-06,4.351063829787234e-05,0.6051671504974365,1.0,8,8,1769472.0,0
28,0.6766607966274023,2.020843416452408,4.6780687397708676e-05,6.449380406827215e-06,4.5145662847790506e-05,0.5971561670303345,1.0,8,8,1835008.0,0
29,0.7041245996952057,2.0855769738554955,4.8415711947626846e-05,9.356137479541735e-06,4.6780687397708676e-05,0.7297136187553406,1.0,8,8,1900544.0,0
30,0.724402230232954,2.0960217639803886,5.0050736497545e-05,6.916530278232407e-06,4.8415711947626846e-05,0.8841702342033386,1.0,8,8,1966080.0,0
31,0.6956987921148539,2.07269686460495,5.168576104746318e-05,7.150105213935e-06,5.0050736497545e-05,0.6010560989379883,1.0,8,8,2031616.0,0
32,0.6136699039489031,1.9158350825309753,5.332078559738135e-05,8.61429350791053e-06,5.168576104746318e-05,0.6571921110153198,1.0,8,8,2097152.0,0
33,0.7815216444432735,2.29266070574522,5.4955810147299504e-05,8.886797599563559e-06,5.332078559738135e-05,0.5700901746749878,1.0,8,8,2162688.0,0
34,0.6263916594907641,1.927404671907425,5.659083469721768e-05,1.0991162029459901e-05,5.4955810147299504e-05,0.508336067199707,1.0,8,8,2228224.0,0
35,0.7133358903229237,2.094221167266369,5.8225859247135844e-05,8.084404956745384e-06,5.659083469721768e-05,0.728026270866394,1.0,8,8,2293760.0,0
36,0.6464029233902693,1.9758550450205803,5.9860883797054014e-05,8.317979892447977e-06,5.8225859247135844e-05,0.6257967352867126,1.0,8,8,2359296.0,0
37,0.7520256750285625,2.2724374532699585,6.149590834697218e-05,9.97681396617567e-06,5.9860883797054014e-05,0.6336161494255066,1.0,8,8,2424832.0,0
38,0.6376503892242908,1.9787892773747444,6.313093289689034e-05,1.0249318057828696e-05,6.149590834697218e-05,0.6029143333435059,1.0,8,8,2490368.0,0
39,0.7245521936565638,2.133359834551811,6.47659574468085e-05,1.0521822149481723e-05,6.313093289689034e-05,0.5592233538627625,1.0,8,8,2555904.0,0
40,0.7005324829369783,2.11734888702631,6.640098199672669e-05,1.29531914893617e-05,6.47659574468085e-05,0.5609278678894043,1.0,8,8,2621440.0,0
41,0.6432793382555246,1.9170555919408798,6.803600654664486e-05,1.1066830332787782e-05,6.640098199672669e-05,0.6823179125785828,1.0,8,8,2686976.0,0
42,0.7728680893778801,2.4200845807790756,6.967103109656302e-05,1.133933442444081e-05,6.803600654664486e-05,0.5339588522911072,1.0,8,8,2752512.0,0
43,0.7187640629708767,2.1131651774048805,7.130605564648118e-05,1.1611838516093836e-05,6.967103109656302e-05,0.5559226274490356,1.0,8,8,2818048.0,0
44,0.8210854679346085,2.4870514944195747,7.294108019639934e-05,1.1884342607746864e-05,7.130605564648118e-05,0.5467960834503174,1.0,8,8,2883584.0,0
45,0.6912260241806507,2.1162241995334625,7.457610474631751e-05,1.2156846699399891e-05,7.294108019639934e-05,0.6201922297477722,1.0,8,8,2949120.0,0
46,0.6914173047989607,2.0656236112117767,7.621112929623568e-05,1.065372924947393e-05,7.457610474631751e-05,0.6214630603790283,1.0,8,8,3014656.0,0
47,0.7744366377592087,2.4178383350372314,7.784615384615386e-05,1.2701854882705947e-05,7.621112929623568e-05,0.618575394153595,1.0,8,8,3080192.0,0
48,0.6958070285618305,2.082685850560665,7.948117839607201e-05,1.2974358974358976e-05,7.784615384615386e-05,0.6038552522659302,1.0,8,8,3145728.0,0
