train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,0.766522977501154,2.21959325671196,2.6350245499181674e-06,1.6666666666666665e-07,1e-06,0.7937065362930298,1.0,8,8,65536.0,0
2,0.8206393923610449,2.479151152074337,4.270049099836334e-06,4.3917075831969456e-07,2.6350245499181674e-06,0.7360295057296753,1.0,8,8,131072.0,0
3,0.7392383562400937,2.479512892663479,5.9050736497545006e-06,8.540098199672669e-07,4.270049099836334e-06,0.7920131683349609,1.0,8,8,196608.0,0
4,0.8082958925515413,2.3240513131022453,7.540098199672669e-06,1.1810147299509001e-06,5.9050736497545006e-06,1.0656843185424805,0.9383641877800601,8,8,262144.0,0
5,0.6536042802035809,1.9668831676244736,9.175122749590834e-06,1.2566830332787782e-06,7.540098199672669e-06,0.6549288630485535,1.0,8,8,327680.0,0
6,0.6855652332305908,2.0615154579281807,1.0810147299509e-05,1.5291871249318057e-06,9.175122749590834e-06,0.713883638381958,1.0,8,8,393216.0,0
7,0.7262884322553873,2.223545216023922,1.2445171849427169e-05,1.8016912165848334e-06,1.0810147299509e-05,0.6833272576332092,1.0,8,8,458752.0,0
8,0.6654519960284233,1.9975739419460297,1.4080196399345338e-05,2.0741953082378616e-06,1.2445171849427169e-05,0.8086513876914978,1.0,8,8,524288.0,0
9,0.6886871382594109,2.009212628006935,1.5715220949263505e-05,2.0114566284779057e-06,1.4080196399345338e-05,1.0200884342193604,0.9803071640198394,8,8,589824.0,0
10,0.775486608967185,2.326265774667263,1.735024549918167e-05,2.6192034915439175e-06,1.5715220949263505e-05,0.817932665348053,1.0,8,8,655360.0,0
11,0.7674803473055363,2.3239469081163406,1.8985270049099837e-05,2.891707583196945e-06,1.735024549918167e-05,0.8878360390663147,1.0,8,8,720896.0,0
12,0.774098003283143,2.256888084113598,2.0620294599018004e-05,3.164211674849973e-06,1.8985270049099837e-05,0.7834558486938477,1.0,8,8,786432.0,0
13,0.8258257769048214,2.3737003430724144,2.2255319148936174e-05,3.4367157665030006e-06,2.0620294599018004e-05,0.7668966054916382,1.0,8,8,851968.0,0
14,0.8058295417577028,2.3157544881105423,2.3890343698854337e-05,3.179331306990882e-06,2.2255319148936174e-05,0.80913907289505,1.0,8,8,917504.0,0
15,0.6341066546738148,1.906322881579399,2.5525368248772503e-05,3.412906242693477e-06,2.3890343698854337e-05,0.7477319836616516,1.0,8,8,983040.0,0
16,1.0098548345267773,3.3455765396356583,2.7160392798690676e-05,4.254228041462084e-06,2.5525368248772503e-05,0.796247124671936,1.0,8,8,1048576.0,0
17,0.765742963179946,2.2517108246684074,2.879541734860884e-05,4.526732133115112e-06,2.7160392798690676e-05,0.6811749935150146,1.0,8,8,1114112.0,0
18,0.7535546235740185,2.185051880776882,3.0430441898527005e-05,4.113631049801263e-06,2.879541734860884e-05,0.7318824529647827,1.0,8,8,1179648.0,0
19,0.77889165841043,2.282521367073059,3.206546644844517e-05,5.071740316421168e-06,3.0430441898527005e-05,0.6111527681350708,1.0,8,8,1245184.0,0
20,0.7022015741094947,2.0962932035326958,3.3700490998363345e-05,4.580780921206452e-06,3.206546644844517e-05,0.6278572082519531,1.0,8,8,1310720.0,0
21,0.7926182541996241,2.399381458759308,3.533551554828151e-05,4.814355856909049e-06,3.3700490998363345e-05,0.7001491189002991,1.0,8,8,1376256.0,0
22,0.6966361328959465,2.042354092001915,3.697054009819968e-05,5.047930792611644e-06,3.533551554828151e-05,0.6996259093284607,1.0,8,8,1441792.0,0
23,0.6593392118811607,2.013392709195614,3.860556464811784e-05,7.3941080196399356e-06,3.697054009819968e-05,0.6122553944587708,1.0,8,8,1507328.0,0
24,0.6653996556997299,1.9787758067250252,4.0240589198036004e-05,7.721112929623568e-06,3.860556464811784e-05,0.6624963283538818,1.0,8,8,1572864.0,0
25,0.814058787189424,2.634251691401005,4.187561374795418e-05,8.0481178396072e-06,4.0240589198036004e-05,0.6096063852310181,1.0,8,8,1638400.0,0
26,0.8308722265064716,2.592796802520752,4.351063829787234e-05,6.979268957992364e-06,4.187561374795418e-05,0.6974464654922485,1.0,8,8,1703936.0,0
27,0.697106609120965,2.1750509589910507,4.5145662847790506e-05,7.2517730496453905e-06,4.351063829787234e-05,0.6043542623519897,1.0,8,8,1769472.0,0
28,0.676736980676651,2.0210680663585663,4.6780687397708676e-05,6.449380406827215e-06,4.5145662847790506e-05,0.597632110118866,1.0,8,8,1835008.0,0
29,0.7041725683957338,2.085672579705715,4.8415711947626846e-05,9.356137479541735e-06,4.6780687397708676e-05,0.7305801510810852,1.0,8,8,1900544.0,0
30,0.7244111485779285,2.096041776239872,5.0050736497545e-05,6.916530278232407e-06,4.8415711947626846e-05,0.8849552273750305,1.0,8,8,1966080.0,0
31,0.6958807744085789,2.073033645749092,5.168576104746318e-05,7.150105213935e-06,5.0050736497545e-05,0.6011938452720642,1.0,8,8,2031616.0,0
32,0.6136255217716098,1.9157621935009956,5.332078559738135e-05,8.61429350791053e-06,5.168576104746318e-05,0.6565747261047363,1.0,8,8,2097152.0,0
33,0.7814491540193558,2.292515739798546,5.4955810147299504e-05,8.886797599563559e-06,5.332078559738135e-05,0.5701541304588318,1.0,8,8,2162688.0,0
34,0.626373590901494,1.9273370429873466,5.659083469721768e-05,1.0991162029459901e-05,5.4955810147299504e-05,0.5072236657142639,1.0,8,8,2228224.0,0
35,0.7133252713829279,2.094168744981289,5.8225859247135844e-05,8.084404956745384e-06,5.659083469721768e-05,0.7269230484962463,1.0,8,8,2293760.0,0
36,0.6463970197364688,1.9759209752082825,5.9860883797054014e-05,8.317979892447977e-06,5.8225859247135844e-05,0.6267374753952026,1.0,8,8,2359296.0,0
37,0.751885574311018,2.271878071129322,6.149590834697218e-05,9.97681396617567e-06,5.9860883797054014e-05,0.6327126026153564,1.0,8,8,2424832.0,0
38,0.6374528063461185,1.9782872200012207,6.313093289689034e-05,1.0249318057828696e-05,6.149590834697218e-05,0.6039236187934875,1.0,8,8,2490368.0,0
39,0.7245132243260741,2.1332037895917892,6.47659574468085e-05,1.0521822149481723e-05,6.313093289689034e-05,0.5597984194755554,1.0,8,8,2555904.0,0
40,0.7005594782531261,2.1172919124364853,6.640098199672669e-05,1.29531914893617e-05,6.47659574468085e-05,0.561369776725769,1.0,8,8,2621440.0,0
41,0.643428498879075,1.9173538088798523,6.803600654664486e-05,1.1066830332787782e-05,6.640098199672669e-05,0.6828446984291077,1.0,8,8,2686976.0,0
42,0.7730424888432026,2.42049627751112,6.967103109656302e-05,1.133933442444081e-05,6.803600654664486e-05,0.5346739888191223,1.0,8,8,2752512.0,0
43,0.7187159918248653,2.1130823120474815,7.130605564648118e-05,1.1611838516093836e-05,6.967103109656302e-05,0.5563780069351196,1.0,8,8,2818048.0,0
44,0.821014566347003,2.4867899492383003,7.294108019639934e-05,1.1884342607746864e-05,7.130605564648118e-05,0.5478327870368958,1.0,8,8,2883584.0,0
45,0.6912163570523262,2.1161929592490196,7.457610474631751e-05,1.2156846699399891e-05,7.294108019639934e-05,0.6212819814682007,1.0,8,8,2949120.0,0
46,0.6914798561483622,2.06569404900074,7.621112929623568e-05,1.065372924947393e-05,7.457610474631751e-05,0.6211881041526794,1.0,8,8,3014656.0,0
47,0.7742607556283474,2.4171148911118507,7.784615384615386e-05,1.2701854882705947e-05,7.621112929623568e-05,0.6187469959259033,1.0,8,8,3080192.0,0
48,0.6957789063453674,2.082654222846031,7.948117839607201e-05,1.2974358974358976e-05,7.784615384615386e-05,0.604192852973938,1.0,8,8,3145728.0,0
49,0.712184228003025,2.1212696507573128,8.111620294599017e-05,1.3246863066012002e-05,7.948117839607201e-05,0.5863368511199951,1.0,8,8,3211264.0,0
50,0.9328356981277466,2.8243467956781387,8.275122749590835e-05,1.3519367157665028e-05,8.111620294599017e-05,0.5722987055778503,1.0,8,8,3276800.0,0
51,0.6426933016628027,2.0058033987879753,8.438625204582653e-05,1.3791871249318058e-05,8.275122749590835e-05,0.5156137943267822,1.0,8,8,3342336.0,0
52,0.702171690762043,2.0484505146741867,8.602127659574469e-05,1.4064375340971087e-05,8.438625204582653e-05,0.6035401225090027,1.0,8,8,3407872.0,0
53,0.8269253503531218,2.4396925419569016,8.765630114566285e-05,1.4336879432624115e-05,8.602127659574469e-05,0.5761590003967285,1.0,8,8,3473408.0,0
54,0.7771159382537007,2.5330295339226723,8.929132569558102e-05,1.2522328735094692e-05,8.765630114566285e-05,0.611598789691925,1.0,8,8,3538944.0,0
55,0.5371039574965835,1.7555338814854622,9.092635024549918e-05,1.4881887615930169e-05,8.929132569558102e-05,0.4596099257469177,1.0,8,8,3604480.0,0
56,0.6518577225506306,1.9645764008164406,9.256137479541734e-05,1.2989478606499883e-05,9.092635024549918e-05,0.5925442576408386,1.0,8,8,3670016.0,0
57,0.7069354001432657,2.0704462453722954,9.419639934533553e-05,1.5426895799236222e-05,9.256137479541734e-05,0.5904790759086609,1.0,8,8,3735552.0,0
58,0.7476472072303295,2.2853033021092415,9.58314238952537e-05,1.5699399890889255e-05,9.419639934533553e-05,0.6348151564598083,1.0,8,8,3801088.0,0
59,0.7323386743664742,2.1501089110970497,9.746644844517184e-05,1.597190398254228e-05,9.58314238952537e-05,0.5531364679336548,1.0,8,8,3866624.0,0
60,0.5798598672263324,1.8231758624315262,9.910147299509e-05,1.6244408074195307e-05,9.746644844517184e-05,0.5484132170677185,1.0,8,8,3932160.0,0
61,0.7415978293865919,2.1455852389335632,0.00010073649754500818,1.6516912165848333e-05,9.910147299509e-05,0.5368103981018066,1.0,8,8,3997696.0,0
62,0.6074891444295645,1.8730523809790611,0.00010237152209492636,1.6789416257501363e-05,0.00010073649754500818,0.6096798777580261,1.0,8,8,4063232.0,0
63,0.6916422049980611,2.0969445407390594,0.00010400654664484452,1.7061920349154392e-05,0.00010237152209492636,0.5602917671203613,1.0,8,8,4128768.0,0
64,0.6676252875477076,2.0346626341342926,0.0001056415711947627,2.0801309328968906e-05,0.00010400654664484452,0.47030800580978394,1.0,8,8,4194304.0,0
65,0.6084094233810902,1.988344743847847,0.00010727659574468085,1.760692853246045e-05,0.0001056415711947627,0.4589952230453491,1.0,8,8,4259840.0,0
66,0.8362396135926247,2.563775397837162,0.00010891162029459901,1.7879432624113474e-05,0.00010727659574468085,0.564497172832489,1.0,8,8,4325376.0,0
67,0.8474919013679028,2.689202480018139,0.00011054664484451719,1.8151936715766503e-05,0.00010891162029459901,0.5126552581787109,1.0,8,8,4390912.0,0
68,0.7214403245598078,2.2449082359671593,0.00011218166939443536,1.5792377834931027e-05,0.00011054664484451719,0.5619156956672668,1.0,8,8,4456448.0,0
