train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.451521158218384,33.40774846076965,2.8603351955307265e-06,1.6666666666666665e-07,1e-06,1.732831358909607,0.5770902026084512,8,8,65536.0,0
2,3.5033150762319565,36.71437817811966,4.7206703910614525e-06,4.767225325884544e-07,2.8603351955307265e-06,1.6589305400848389,0.602797992945658,8,8,131072.0,0
3,3.4810225814580917,33.87595224380493,6.581005586592179e-06,9.441340782122905e-07,4.7206703910614525e-06,1.5097671747207642,0.6623537832475994,8,8,196608.0,0
4,3.413910299539566,32.05966317653656,8.441340782122904e-06,1.3162011173184358e-06,6.581005586592179e-06,1.5512592792510986,0.6446375621244472,8,8,262144.0,0
5,3.5068026781082153,35.963824570178986,1.0301675977653632e-05,1.4068901303538173e-06,8.441340782122904e-06,1.2906063795089722,0.7748295807895262,8,8,327680.0,0
6,3.287330240011215,28.89246302843094,1.216201117318436e-05,1.7169459962756053e-06,1.0301675977653632e-05,1.1636033058166504,0.859399414732078,8,8,393216.0,0
7,3.420931041240692,31.76970088481903,1.4022346368715084e-05,2.0270018621973934e-06,1.216201117318436e-05,1.2458369731903076,0.8026732401739713,8,8,458752.0,0
8,3.3637586385011673,30.31813234090805,1.5882681564245808e-05,2.3370577281191805e-06,1.4022346368715084e-05,1.3681074380874634,0.7309367467493725,8,8,524288.0,0
9,3.322803035378456,28.988392412662506,1.774301675977654e-05,2.2689545091779725e-06,1.5882681564245808e-05,1.3016244173049927,0.768270775120927,8,8,589824.0,0
10,3.569763198494911,37.09205961227417,1.9603351955307267e-05,2.9571694599627564e-06,1.774301675977654e-05,1.287646770477295,0.7766104982568713,8,8,655360.0,0
11,3.3908402621746063,31.03542399406433,2.146368715083799e-05,3.2672253258845443e-06,1.9603351955307267e-05,1.1872557401657104,0.8422785135236182,8,8,720896.0,0
12,3.2382637560367584,27.44800966978073,2.332402234636872e-05,3.577281191806332e-06,2.146368715083799e-05,1.2183284759521484,0.8207967060916465,8,8,786432.0,0
13,3.3551622480154037,29.558770537376404,2.518435754189944e-05,3.88733705772812e-06,2.332402234636872e-05,1.1132605075836182,0.8982623502648508,8,8,851968.0,0
14,3.599609300494194,37.651384234428406,2.7044692737430167e-05,3.5977653631284914e-06,2.518435754189944e-05,1.2072641849517822,0.8283191139635367,8,8,917504.0,0
15,3.5584965646266937,36.25718545913696,2.890502793296089e-05,3.8635275339185956e-06,2.7044692737430167e-05,1.2322455644607544,0.8115265567515356,8,8,983040.0,0
16,3.334823116660118,30.422221839427948,3.076536312849162e-05,4.817504655493482e-06,2.890502793296089e-05,1.156479835510254,0.8646929840829627,8,8,1048576.0,0
17,3.4839564114809036,34.47853696346283,3.262569832402235e-05,5.12756052141527e-06,3.076536312849162e-05,1.1245291233062744,0.8892610953987296,8,8,1114112.0,0
18,3.428948238492012,32.6075918674469,3.4486033519553074e-05,4.660814046288907e-06,3.262569832402235e-05,1.085357666015625,0.9213552650068834,8,8,1179648.0,0
19,3.4470401406288147,32.131088733673096,3.6346368715083795e-05,5.747672253258846e-06,3.4486033519553074e-05,1.075154185295105,0.9300991557081582,8,8,1245184.0,0
20,3.363829404115677,30.961856722831726,3.820670391061453e-05,5.192338387869113e-06,3.6346368715083795e-05,1.1031898260116577,0.9064623117622245,8,8,1310720.0,0
21,3.366670772433281,31.059152364730835,4.006703910614525e-05,5.458100558659219e-06,3.820670391061453e-05,1.0760971307754517,0.9292841430387011,8,8,1376256.0,0
22,3.4033939838409424,31.45513939857483,4.192737430167598e-05,5.7238627294493215e-06,4.006703910614525e-05,1.0301569700241089,0.9707258496495209,8,8,1441792.0,0
23,3.442084163427353,33.68514460325241,4.3787709497206706e-05,8.385474860335195e-06,4.192737430167598e-05,1.090889573097229,0.9166830673428346,8,8,1507328.0,0
24,3.434710681438446,31.300550937652588,4.5648044692737433e-05,8.757541899441341e-06,4.3787709497206706e-05,1.1193571090698242,0.893369945923779,8,8,1572864.0,0
25,3.4157477617263794,32.760962307453156,4.750837988826816e-05,9.129608938547486e-06,4.5648044692737433e-05,1.009896159172058,0.9902008151202778,8,8,1638400.0,0
26,3.3860544115304947,31.995060801506042,4.936871508379888e-05,7.91806331471136e-06,4.750837988826816e-05,1.0234453678131104,0.9770917251165195,8,8,1703936.0,0
