train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.447179451584816,33.38649547100067,6.581005586592179e-06,1.6666666666666665e-07,1e-06,2.371238946914673,0.4217204686607918,8,8,65536.0,0
2,3.4905228465795517,36.256792187690735,1.216201117318436e-05,1.0968342644320298e-06,6.581005586592179e-06,1.4070056676864624,0.7107291910512258,8,8,131072.0,0
3,3.464315578341484,33.30400502681732,1.774301675977654e-05,2.432402234636872e-06,1.216201117318436e-05,1.39299738407135,0.7178764378412225,8,8,196608.0,0
4,3.3924103379249573,31.486213445663452,2.332402234636872e-05,3.5486033519553077e-06,1.774301675977654e-05,1.3161330223083496,0.7598016181110268,8,8,262144.0,0
5,3.4896088242530823,35.48440873622894,2.890502793296089e-05,3.88733705772812e-06,2.332402234636872e-05,1.1518031358718872,0.8682039220549229,8,8,327680.0,0
6,3.274384081363678,28.64030134677887,3.4486033519553074e-05,4.817504655493482e-06,2.890502793296089e-05,1.0150315761566162,0.9851910260619496,8,8,393216.0,0
7,3.402094066143036,31.168388783931732,4.006703910614525e-05,5.747672253258846e-06,3.4486033519553074e-05,1.1335865259170532,0.8821558629502356,8,8,458752.0,0
8,3.3584319949150085,30.15596055984497,4.5648044692737433e-05,6.677839851024209e-06,4.006703910614525e-05,1.191689372062683,0.8391448505312008,8,8,524288.0,0
9,3.3124387562274933,28.695746302604675,5.1229050279329616e-05,6.5211492418196335e-06,4.5648044692737433e-05,1.1584302186965942,0.8632371496008495,8,8,589824.0,0
10,3.557126671075821,36.642327189445496,5.6810055865921786e-05,8.538175046554935e-06,5.1229050279329616e-05,1.0969904661178589,0.9115849507224887,8,8,655360.0,0
11,3.368911251425743,30.3897602558136,6.239106145251397e-05,9.468342644320298e-06,5.6810055865921786e-05,1.0731526613235474,0.9318338723269267,8,8,720896.0,0
12,3.214224800467491,26.810239255428314,6.797206703910615e-05,1.0398510242085661e-05,6.239106145251397e-05,1.0185900926589966,0.9817491915600224,8,8,786432.0,0
13,3.340844690799713,29.131215929985046,7.355307262569833e-05,1.1328677839851025e-05,6.797206703910615e-05,0.9737968444824219,1.0,8,8,851968.0,0
14,3.5762267410755157,36.83355188369751,7.91340782122905e-05,1.050758180367119e-05,7.355307262569833e-05,1.0679751634597778,0.9363513630405934,8,8,917504.0,0
15,3.544680804014206,35.77374196052551,8.471508379888269e-05,1.1304868316041501e-05,7.91340782122905e-05,1.115601897239685,0.8963771059133071,8,8,983040.0,0
16,3.314468264579773,29.798163890838623,9.029608938547487e-05,1.4119180633147115e-05,8.471508379888269e-05,0.9947800636291504,1.0,8,8,1048576.0,0
17,3.4562615007162094,33.438504219055176,9.587709497206704e-05,1.5049348230912479e-05,9.029608938547487e-05,0.988876461982727,1.0,8,8,1114112.0,0
18,3.409284234046936,32.008053958415985,0.00010145810055865922,1.3696727853152434e-05,9.587709497206704e-05,0.9765787720680237,1.0,8,8,1179648.0,0
19,3.425741285085678,31.521684288978577,0.0001070391061452514,1.6909683426443205e-05,0.00010145810055865922,0.9607594609260559,1.0,8,8,1245184.0,0
20,3.3287556916475296,29.958314418792725,0.00011262011173184357,1.529130087789306e-05,0.0001070391061452514,0.9676644802093506,1.0,8,8,1310720.0,0
21,3.3511597961187363,30.524777472019196,0.00011820111731843576,1.6088587390263368e-05,0.00011262011173184357,0.9528182744979858,1.0,8,8,1376256.0,0
22,3.3629060089588165,30.28129541873932,0.00012378212290502794,1.688587390263368e-05,0.00011820111731843576,0.9193887114524841,1.0,8,8,1441792.0,0
23,3.4018696397542953,32.396586656570435,0.00012936312849162014,2.475642458100559e-05,0.00012378212290502794,0.9700839519500732,1.0,8,8,1507328.0,0
24,3.397305056452751,30.16382920742035,0.0001349441340782123,2.5872625698324027e-05,0.00012936312849162014,0.9803640246391296,1.0,8,8,1572864.0,0
25,3.3797332644462585,31.509552121162415,0.00014052513966480445,2.698882681564246e-05,0.0001349441340782123,0.8962305784225464,1.0,8,8,1638400.0,0
26,3.336754724383354,30.465230107307434,0.00014610614525139667,2.342085661080074e-05,0.00014052513966480445,0.8842533230781555,1.0,8,8,1703936.0,0
27,3.237817198038101,27.981905043125153,0.00015168715083798884,2.4351024208566112e-05,0.00014610614525139667,1.0051343441009521,0.994891882729826,8,8,1769472.0,0
28,3.2259353697299957,26.33797198534012,0.000157268156424581,2.1669592976855547e-05,0.00015168715083798884,0.9507467746734619,1.0,8,8,1835008.0,0
29,3.3996507227420807,32.04912155866623,0.0001628491620111732,3.14536312849162e-05,0.000157268156424581,0.9004004597663879,1.0,8,8,1900544.0,0
30,3.495551973581314,34.218909740448,0.00016843016759776535,2.3264166001596173e-05,0.0001628491620111732,0.8553038239479065,1.0,8,8,1966080.0,0
