train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.345195025205612,30.8800151348114,2.395251396648045e-06,1.6666666666666665e-07,1e-06,2.5167768001556396,0.397333605402657,8,8,16384.0,0
2,3.360024482011795,32.253138184547424,3.79050279329609e-06,3.992085661080075e-07,2.395251396648045e-06,2.4827799797058105,0.40277431273555264,8,8,32768.0,0
3,3.4916989505290985,35.25035083293915,5.185754189944134e-06,7.58100558659218e-07,3.79050279329609e-06,2.4540414810180664,0.4074910745130272,8,8,49152.0,0
4,3.396474450826645,31.23685133457184,6.581005586592179e-06,1.037150837988827e-06,5.185754189944134e-06,2.579282283782959,0.3877047527085485,8,8,65536.0,0
5,3.4436007142066956,33.08411777019501,7.976256983240222e-06,1.0968342644320298e-06,6.581005586592179e-06,2.623694896697998,0.38114187791352955,8,8,81920.0,0
6,3.2976017743349075,29.149349212646484,9.371508379888268e-06,1.3293761638733703e-06,7.976256983240222e-06,2.2983837127685547,0.43508835989574557,8,8,98304.0,0
7,3.420043960213661,31.958433866500854,1.0766759776536312e-05,1.5619180633147113e-06,9.371508379888268e-06,2.3624002933502197,0.42329828810740383,8,8,114688.0,0
8,3.2430813759565353,27.09447169303894,1.216201117318436e-05,1.794459962756052e-06,1.0766759776536312e-05,2.5992190837860107,0.38473093947241255,8,8,131072.0,0
9,3.370189070701599,30.108996272087097,1.3557262569832404e-05,1.7374301675977657e-06,1.216201117318436e-05,2.5483736991882324,0.39240712628534463,8,8,147456.0,0
10,3.3261068761348724,30.52574211359024,1.4952513966480446e-05,2.259543761638734e-06,1.3557262569832404e-05,2.263554096221924,0.4417831240122109,8,8,163840.0,0
11,3.2877098321914673,28.343309462070465,1.6347765363128493e-05,2.4920856610800745e-06,1.4952513966480446e-05,2.2619075775146484,0.4421047128275433,8,8,180224.0,0
12,3.215035453438759,26.201421797275543,1.774301675977654e-05,2.7246275605214154e-06,1.6347765363128493e-05,2.2768454551696777,0.43920416193774453,8,8,196608.0,0
13,3.270367458462715,27.68429720401764,1.9138268156424585e-05,2.9571694599627564e-06,1.774301675977654e-05,2.229128360748291,0.4486058396672427,8,8,212992.0,0
14,3.5355722904205322,35.44874382019043,2.0533519553072627e-05,2.734038308060655e-06,1.9138268156424585e-05,2.328888416290283,0.4293894001123865,8,8,229376.0,0
15,3.4343751072883606,32.48072671890259,2.192877094972067e-05,2.9333599361532326e-06,2.0533519553072627e-05,2.361971855163574,0.42337507020392645,8,8,245760.0,0
16,3.3665492236614227,30.700629591941833,2.332402234636872e-05,3.6547951582867784e-06,2.192877094972067e-05,2.2386972904205322,0.44668835053251277,8,8,262144.0,0
17,3.4039430022239685,31.876303911209106,2.471927374301676e-05,3.88733705772812e-06,2.332402234636872e-05,2.1951725482940674,0.4555450553427673,8,8,278528.0,0
18,3.3883254528045654,31.45627200603485,2.6114525139664807e-05,3.531324820430966e-06,2.471927374301676e-05,2.24160099029541,0.44610972440182967,8,8,294912.0,0
19,3.4107233732938766,32.11413884162903,2.7509776536312852e-05,4.352420856610801e-06,2.6114525139664807e-05,2.2264113426208496,0.44915329923822056,8,8,311296.0,0
20,3.2045760452747345,25.99881935119629,2.890502793296089e-05,3.929968076616122e-06,2.7509776536312852e-05,2.347452402114868,0.42599372796596574,8,8,327680.0,0
21,3.3419298827648163,31.13260680437088,3.030027932960894e-05,4.129289704708698e-06,2.890502793296089e-05,2.2450027465820312,0.44543375348739916,8,8,344064.0,0
22,3.367311045527458,31.0276757478714,3.169553072625698e-05,4.3286113328012775e-06,3.030027932960894e-05,2.1479153633117676,0.465567692787337,8,8,360448.0,0
23,3.437217101454735,34.01564562320709,3.309078212290503e-05,6.339106145251397e-06,3.169553072625698e-05,2.1456103324890137,0.46606785251611116,8,8,376832.0,0
24,3.3301134258508682,28.848182797431946,3.4486033519553074e-05,6.618156424581006e-06,3.309078212290503e-05,2.1319923400878906,0.4690448371678044,8,8,393216.0,0
25,3.326790139079094,31.758391737937927,3.588128491620112e-05,6.897206703910615e-06,3.4486033519553074e-05,2.0913548469543457,0.47815893197456594,8,8,409600.0,0
26,3.338693931698799,30.202652394771576,3.727653631284917e-05,5.980214152700186e-06,3.588128491620112e-05,2.03187894821167,0.492155303286962,8,8,425984.0,0
27,3.243019215762615,28.994597285985947,3.867178770949721e-05,6.2127560521415285e-06,3.727653631284917e-05,2.067003011703491,0.483792231717834,8,8,442368.0,0
28,3.1791496574878693,25.469918310642242,4.006703910614525e-05,5.524541101356744e-06,3.867178770949721e-05,1.9786043167114258,0.5054067615002287,8,8,458752.0,0
29,3.3986053317785263,32.563552379608154,4.14622905027933e-05,8.01340782122905e-06,4.006703910614525e-05,2.017151117324829,0.4957486781286454,8,8,475136.0,0
30,3.4067567884922028,32.468241691589355,4.285754189944134e-05,5.9231843575419e-06,4.14622905027933e-05,1.9878846406936646,0.5030472993898433,8,8,491520.0,0
31,3.337255507707596,31.049833059310913,4.425279329608939e-05,6.122505985634477e-06,4.285754189944134e-05,1.9555885791778564,0.5113550010707753,8,8,507904.0,0
32,3.244736284017563,28.932114839553833,4.5648044692737433e-05,7.3754655493482316e-06,4.425279329608939e-05,1.8909728527069092,0.5288283216588651,8,8,524288.0,0
33,3.2984232753515244,29.565634429454803,4.7043296089385476e-05,7.6080074487895725e-06,4.5648044692737433e-05,1.8527237176895142,0.5397458835613846,8,8,540672.0,0
34,3.3683485984802246,29.551037907600403,4.843854748603352e-05,9.408659217877096e-06,4.7043296089385476e-05,1.9395289421081543,0.5155891094424933,8,8,557056.0,0
35,3.2669741064310074,26.89310336112976,4.983379888268157e-05,6.919792498004788e-06,4.843854748603352e-05,1.820453405380249,0.5493137023139434,8,8,573440.0,0
36,3.2236730232834816,27.339068442583084,5.1229050279329616e-05,7.119114126097366e-06,4.983379888268157e-05,1.8349567651748657,0.5449719682655074,8,8,589824.0,0
37,3.396524742245674,32.153932332992554,5.262430167597765e-05,8.538175046554935e-06,5.1229050279329616e-05,1.7824232578277588,0.5610339719299556,8,8,606208.0,0
38,3.3585591316223145,30.816885232925415,5.40195530726257e-05,8.770716945996275e-06,5.262430167597765e-05,1.860895037651062,0.53737582172379,8,8,622592.0,0
39,3.3658871799707413,32.087891697883606,5.541480446927374e-05,9.003258845437617e-06,5.40195530726257e-05,1.9186768531799316,0.5211925074001503,8,8,638976.0,0
40,3.39658360183239,31.530114352703094,5.6810055865921786e-05,1.108296089385475e-05,5.541480446927374e-05,1.8742852210998535,0.5335367257565282,8,8,655360.0,0
41,3.17960786819458,24.867999732494354,5.820530726256984e-05,9.468342644320298e-06,5.6810055865921786e-05,1.957152009010315,0.5109465158534953,8,8,671744.0,0
42,3.348608747124672,30.1911358833313,5.9600558659217884e-05,9.70088454376164e-06,5.820530726256984e-05,1.8581784963607788,0.5381614317235671,8,8,688128.0,0
43,3.1961422190070152,27.56086230278015,6.099581005586592e-05,9.933426443202981e-06,5.9600558659217884e-05,1.815519094467163,0.5508066552684423,8,8,704512.0,0
44,3.1789788603782654,29.02480548620224,6.239106145251397e-05,1.016596834264432e-05,6.099581005586592e-05,1.7361329793930054,0.5759927447199629,8,8,720896.0,0
45,3.4067170470952988,31.63114333152771,6.378631284916201e-05,1.0398510242085661e-05,6.239106145251397e-05,1.8533121347427368,0.5395745170245017,8,8,737280.0,0
46,3.1696689128875732,25.727987706661224,6.518156424581007e-05,9.112330407023144e-06,6.378631284916201e-05,1.768783450126648,0.5653603327913503,8,8,753664.0,0
47,3.4621665328741074,35.760470032691956,6.65768156424581e-05,1.0863594040968345e-05,6.518156424581007e-05,1.8717111349105835,0.5342704765429727,8,8,770048.0,0
48,3.2974707186222076,27.871798872947693,6.797206703910615e-05,1.1096135940409683e-05,6.65768156424581e-05,1.9474142789840698,0.5135014212390226,8,8,786432.0,0
49,3.288993939757347,29.040554344654083,6.93673184357542e-05,1.1328677839851025e-05,6.797206703910615e-05,1.852782964706421,0.5397286239394549,8,8,802816.0,0
50,3.1351927369832993,25.16230595111847,7.076256983240222e-05,1.1561219739292366e-05,6.93673184357542e-05,1.8379006385803223,0.5440990546539562,8,8,819200.0,0
51,3.31869275867939,29.264171600341797,7.215782122905028e-05,1.1793761638733704e-05,7.076256983240222e-05,1.8340851068496704,0.545230968980012,8,8,835584.0,0
52,3.1320604532957077,25.012275397777557,7.355307262569833e-05,1.2026303538175046e-05,7.215782122905028e-05,1.8342794179916382,0.5451732109028187,8,8,851968.0,0
53,3.255564868450165,29.623120605945587,7.494832402234638e-05,1.2258845437616389e-05,7.355307262569833e-05,1.9826184511184692,0.5043834830828686,8,8,868352.0,0
54,3.2648573517799377,28.072691023349762,7.634357541899442e-05,1.0706903431763768e-05,7.494832402234638e-05,1.8826333284378052,0.5311708790523013,8,8,884736.0,0
55,3.0546424835920334,22.39848905801773,7.773882681564248e-05,1.272392923649907e-05,7.634357541899442e-05,1.794464111328125,0.5572694341929855,8,8,901120.0,0
56,3.224525570869446,27.660331964492798,7.91340782122905e-05,1.1105546687948925e-05,7.773882681564248e-05,1.8371121883392334,0.5443325706218655,8,8,917504.0,0
57,3.315180778503418,29.15577346086502,8.052932960893855e-05,1.3189013035381751e-05,7.91340782122905e-05,1.8052630424499512,0.5539358954816525,8,8,933888.0,0
58,3.3587617576122284,33.41880917549133,8.19245810055866e-05,1.342155493482309e-05,8.052932960893855e-05,1.8796679973602295,0.5320088448618847,8,8,950272.0,0
59,3.2710632532835007,28.10372805595398,8.331983240223463e-05,1.3654096834264433e-05,8.19245810055866e-05,1.902771234512329,0.5255492525120969,8,8,966656.0,0
60,3.2853978276252747,30.60268199443817,8.471508379888269e-05,1.3886638733705772e-05,8.331983240223463e-05,1.8148492574691772,0.5510099507624988,8,8,983040.0,0
61,3.2121664732694626,28.265799582004547,8.611033519553073e-05,1.4119180633147115e-05,8.471508379888269e-05,1.7531875371932983,0.5703896353269446,8,8,999424.0,0
62,3.102768585085869,23.834332644939423,8.750558659217877e-05,1.4351722532588454e-05,8.611033519553073e-05,1.7274802923202515,0.5788778051159582,8,8,1015808.0,0
63,3.2042238265275955,25.852361619472504,8.890083798882683e-05,1.4584264432029795e-05,8.750558659217877e-05,1.767213225364685,0.5658626733019567,8,8,1032192.0,0
64,3.290319338440895,28.517220079898834,9.029608938547487e-05,1.7780167597765367e-05,8.890083798882683e-05,1.754439115524292,0.5699827318889847,8,8,1048576.0,0
65,3.1920234113931656,26.532743394374847,9.169134078212291e-05,1.5049348230912479e-05,9.029608938547487e-05,1.736230492591858,0.5759603948129125,8,8,1064960.0,0
66,3.1542210429906845,25.595984637737274,9.308659217877095e-05,1.528189013035382e-05,9.169134078212291e-05,1.6562355756759644,0.6037788432308389,8,8,1081344.0,0
67,3.1172356754541397,24.179096400737762,9.4481843575419e-05,1.551443202979516e-05,9.308659217877095e-05,1.6675357818603516,0.5996872816028997,8,8,1097728.0,0
68,3.195556864142418,26.532196760177612,9.587709497206704e-05,1.3497406225059856e-05,9.4481843575419e-05,1.7746473550796509,0.5634922324917638,8,8,1114112.0,0
69,3.13224957883358,24.542223274707794,9.727234636871508e-05,1.917541899441341e-05,9.587709497206704e-05,1.701614260673523,0.587677256303434,8,8,1130496.0,0
70,3.1091671735048294,22.856741189956665,9.866759776536314e-05,1.621205772811918e-05,9.727234636871508e-05,1.5963134765625,0.6264433738621142,8,8,1146880.0,0
71,3.233975410461426,26.7228866815567,0.00010006284916201118,1.6444599627560523e-05,9.866759776536314e-05,1.6908409595489502,0.5914216794618987,8,8,1163264.0,0
72,3.2506083250045776,28.65904349088669,0.00010145810055865922,1.6677141527001862e-05,0.00010006284916201118,1.6262619495391846,0.6149070881740446,8,8,1179648.0,0
73,3.104542553424835,22.84797090291977,0.00010285335195530728,1.6909683426443205e-05,0.00010145810055865922,1.6271933317184448,0.6145551241555951,8,8,1196032.0,0
74,3.149861514568329,24.448345601558685,0.0001042486033519553,1.7142225325884547e-05,0.00010285335195530728,1.5085811614990234,0.6628745111768947,8,8,1212416.0,0
75,3.210042104125023,27.93526792526245,0.00010564385474860336,2.0849720670391063e-05,0.0001042486033519553,1.5146429538726807,0.6602216036739961,8,8,1228800.0,0
76,3.16818206012249,24.32030940055847,0.0001070391061452514,1.7607309124767226e-05,0.00010564385474860336,1.5808885097503662,0.6325556760212487,8,8,1245184.0,0
77,3.073898747563362,24.251917839050293,0.00010843435754189943,1.529130087789306e-05,0.0001070391061452514,1.6382991075515747,0.6103891501802023,8,8,1261568.0,0
78,3.180474877357483,25.295618414878845,0.00010982960893854749,1.8072392923649904e-05,0.00010843435754189943,1.5942189693450928,0.6272664039433516,8,8,1277952.0,0
79,3.2009004205465317,25.987172663211823,0.00011122486033519553,1.8304934823091247e-05,0.00010982960893854749,1.587056040763855,0.6300974724988708,8,8,1294336.0,0
80,3.3718966245651245,30.358038902282715,0.00011262011173184357,1.853747672253259e-05,0.00011122486033519553,1.7162595987319946,0.5826624368121445,8,8,1310720.0,0
81,3.1942307204008102,27.79749035835266,0.00011401536312849163,1.877001862197393e-05,0.00011262011173184357,1.5823206901550293,0.631983141104849,8,8,1327104.0,0
82,3.02857406437397,22.60136091709137,0.00011541061452513967,1.6287909018355948e-05,0.00011401536312849163,1.6983363628387451,0.5888115110059384,8,8,1343488.0,0
83,3.0035074800252914,21.00971782207489,0.00011680586592178771,1.923510242085661e-05,0.00011541061452513967,1.5912989377975464,0.628417437004911,8,8,1359872.0,0
84,2.9968261420726776,21.724082469940186,0.00011820111731843576,1.9467644320297954e-05,0.00011680586592178771,1.5597795248031616,0.6411162501479529,8,8,1376256.0,0
