train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,0.7539042606949806,2.497864745557308,2.258186397984887e-06,1.6666666666666665e-07,1e-06,1.1296321153640747,0.8852439536714303,8,8,16384.0,0
2,0.8555515725165606,2.7308029532432556,3.5163727959697735e-06,3.763643996641478e-07,2.258186397984887e-06,1.0837165117263794,0.9227505433188055,8,8,32768.0,0
3,0.855855219066143,2.590135410428047,4.77455919395466e-06,7.032745591939547e-07,3.5163727959697735e-06,1.1408600807189941,0.8765316771964728,8,8,49152.0,0
4,0.6304230382665992,2.165534257888794,6.032745591939547e-06,9.54911838790932e-07,4.77455919395466e-06,1.1567705869674683,0.864475645616721,8,8,65536.0,0
5,0.7071639588102698,2.405897371470928,7.290931989924434e-06,1.0054575986565912e-06,6.032745591939547e-06,1.1600030660629272,0.8620666869383002,8,8,81920.0,0
6,0.850235166028142,2.6238536536693573,8.549118387909321e-06,1.2151553316540724e-06,7.290931989924434e-06,1.1421490907669067,0.8755424384461621,8,8,98304.0,0
7,0.9034569393843412,2.683037184178829,9.807304785894207e-06,1.4248530646515535e-06,8.549118387909321e-06,1.1657084226608276,0.8578474518667009,8,8,114688.0,0
8,0.7639431823045015,2.2763277143239975,1.1065491183879092e-05,1.6345507976490345e-06,9.807304785894207e-06,1.0819473266601562,0.9242594120417652,8,8,131072.0,0
9,0.6811040728352964,2.250083848834038,1.232367758186398e-05,1.5807844548398703e-06,1.1065491183879092e-05,0.9857354164123535,1.0,8,8,147456.0,0
10,0.741229766048491,2.257692262530327,1.3581863979848869e-05,2.0539462636439968e-06,1.232367758186398e-05,1.0138726234436035,0.9863171929847837,8,8,163840.0,0
11,0.5991040635854006,1.8681874126195908,1.4840050377833754e-05,2.263643996641478e-06,1.3581863979848869e-05,1.1039351224899292,0.9058503345229119,8,8,180224.0,0
12,0.7890006434172392,2.257830932736397,1.609823677581864e-05,2.473341729638959e-06,1.4840050377833754e-05,1.0849534273147583,0.9216985492861768,8,8,196608.0,0
13,0.7165284296497703,2.3701035529375076,1.7356423173803526e-05,2.6830394626364404e-06,1.609823677581864e-05,1.0060781240463257,0.9939585963534578,8,8,212992.0,0
14,0.80932776350528,2.4243890568614006,1.8614609571788416e-05,2.479489024829075e-06,1.7356423173803526e-05,1.14763605594635,0.8713563806380415,8,8,229376.0,0
15,0.6618460593745112,2.086148791015148,1.9872795969773304e-05,2.6592299388269166e-06,1.8614609571788416e-05,1.1743577718734741,0.8515292562025883,8,8,245760.0,0
16,0.8553861640393734,2.594225823879242,2.1130982367758188e-05,3.312132661628884e-06,1.9872795969773304e-05,1.1362799406051636,0.8800648187686361,8,8,262144.0,0
17,0.7994990344159305,2.864807114005089,2.2389168765743075e-05,3.5218303946263646e-06,2.1130982367758188e-05,1.0833306312561035,0.9230792254434769,8,8,278528.0,0
18,0.7556605283170938,2.322257839143276,2.3647355163727962e-05,3.1984526808204393e-06,2.2389168765743075e-05,1.100215196609497,0.9089130954387501,8,8,294912.0,0
19,0.7914806138724089,2.3417957350611687,2.4905541561712846e-05,3.941225860621327e-06,2.3647355163727962e-05,1.1036231517791748,0.9061063990792256,8,8,311296.0,0
20,0.8006758419796824,2.450786590576172,2.6163727959697737e-05,3.557934508816121e-06,2.4905541561712846e-05,1.1696968078613281,0.8549223980764241,8,8,327680.0,0
21,0.7229709792882204,2.2539912909269333,2.7421914357682617e-05,3.7376754228139625e-06,2.6163727959697737e-05,1.0675653219223022,0.9367108311446665,8,8,344064.0,0
22,0.7847784791374579,2.475170709192753,2.8680100755667508e-05,3.917416336811802e-06,2.7421914357682617e-05,1.0409501791000366,0.960660769436246,8,8,360448.0,0
23,0.6594048426486552,2.0850231423974037,2.9938287153652395e-05,5.7360201511335014e-06,2.8680100755667508e-05,1.0863522291183472,0.9205117577847207,8,8,376832.0,0
24,0.8188353721052408,2.443469598889351,3.119647355163728e-05,5.987657430730479e-06,2.9938287153652395e-05,1.2362196445465088,0.808917739182205,8,8,393216.0,0
25,0.6741340197622776,2.0633315294981003,3.245465994962217e-05,6.2392947103274555e-06,3.119647355163728e-05,1.0948718786239624,0.9133488762684169,8,8,409600.0,0
26,0.6745147006586194,2.200173892080784,3.3712846347607054e-05,5.409109991603695e-06,3.245465994962217e-05,1.0896838903427124,0.9176973330169871,8,8,425984.0,0
27,0.8660136349499226,2.802982911467552,3.4971032745591945e-05,5.618807724601176e-06,3.3712846347607054e-05,1.25521719455719,0.7966748737472313,8,8,442368.0,0
28,0.7267624619416893,2.2466686815023422,3.622921914357683e-05,4.995861820798849e-06,3.4971032745591945e-05,1.0887826681137085,0.9184569421292855,8,8,458752.0,0
29,0.8086798274889588,2.874218210577965,3.748740554156171e-05,7.245843828715365e-06,3.622921914357683e-05,1.1864467859268188,0.8428528037336164,8,8,475136.0,0
30,0.552597205620259,1.8268994241952896,3.87455919395466e-05,5.355343648794531e-06,3.748740554156171e-05,1.1107486486434937,0.9002936904045337,8,8,491520.0,0
31,0.7024678316665813,2.1224109083414078,4.000377833753149e-05,5.535084562792372e-06,3.87455919395466e-05,1.1663641929626465,0.8573651403504361,8,8,507904.0,0
32,0.8496046140789986,2.468607872724533,4.126196473551638e-05,6.667296389588581e-06,4.000377833753149e-05,1.226422667503357,0.815379580381449,8,8,524288.0,0
33,0.8095757849514484,2.503566823899746,4.252015113350126e-05,6.876994122586063e-06,4.126196473551638e-05,1.214078426361084,0.8236700185806302,8,8,540672.0,0
34,0.7903110142797232,2.3711882159113884,4.3778337531486146e-05,8.504030226700253e-06,4.252015113350126e-05,1.2369345426559448,0.8084502174642098,8,8,557056.0,0
35,0.5371216190978885,1.7646955475211143,4.503652392947103e-05,6.254048218783735e-06,4.3778337531486146e-05,1.2131887674331665,0.8242740345469484,8,8,573440.0,0
36,0.4498771650251001,1.7108247950673103,4.629471032745592e-05,6.433789132781576e-06,4.503652392947103e-05,0.9693345427513123,1.0,8,8,589824.0,0
37,0.7477241950109601,2.329965241253376,4.755289672544081e-05,7.715785054575987e-06,4.629471032745592e-05,1.091875672340393,0.9158551887648737,8,8,606208.0,0
38,0.5992869911715388,1.8869030475616455,4.8811083123425695e-05,7.925482787573469e-06,4.755289672544081e-05,1.0011160373687744,0.9988852067811174,8,8,622592.0,0
39,0.8762313816696405,2.648229330778122,5.006926952141058e-05,8.135180520570949e-06,4.8811083123425695e-05,1.2327117919921875,0.8112196269195147,8,8,638976.0,0
40,0.79738599807024,2.40178182721138,5.132745591939547e-05,1.0013853904282116e-05,5.006926952141058e-05,1.171026349067688,0.8539517499288513,8,8,655360.0,0
41,0.6739430287852883,2.38591630756855,5.2585642317380354e-05,8.554575986565912e-06,5.132745591939547e-05,1.1545790433883667,0.866116534615433,8,8,671744.0,0
42,0.545375844463706,1.754537157714367,5.384382871536524e-05,8.764273719563392e-06,5.2585642317380354e-05,1.2799367904663086,0.7812885819423138,8,8,688128.0,0
43,0.5479007866233587,1.7958888486027718,5.5102015113350135e-05,8.973971452560872e-06,5.384382871536524e-05,1.2020553350448608,0.8319084578264011,8,8,704512.0,0
44,0.6971534336917102,2.2661711126565933,5.636020151133502e-05,9.183669185558356e-06,5.5102015113350135e-05,1.240938663482666,0.8058416015443639,8,8,720896.0,0
45,0.9382727006450295,2.958844430744648,5.7618387909319896e-05,9.393366918555836e-06,5.636020151133502e-05,1.590753197669983,0.6286330283441184,8,8,737280.0,0
46,0.8424143604934216,2.5187068209052086,5.887657430730479e-05,8.231198272759986e-06,5.7618387909319896e-05,1.2264825105667114,0.815339796029478,8,8,753664.0,0
47,0.8320319410413504,2.4648589938879013,6.013476070528968e-05,9.812762384550798e-06,5.887657430730479e-05,1.2284256219863892,0.8140500996569622,8,8,770048.0,0
48,0.8040946498513222,2.58469969779253,6.139294710327456e-05,1.002246011754828e-05,6.013476070528968e-05,1.0927327871322632,0.9151368127458281,8,8,786432.0,0
49,0.6742660384625196,2.0335548892617226,6.265113350125945e-05,1.023215785054576e-05,6.139294710327456e-05,0.9877786040306091,1.0,8,8,802816.0,0
50,0.4502549320459366,1.6222154274582863,6.390931989924434e-05,1.0441855583543241e-05,6.265113350125945e-05,0.9083293080329895,1.0,8,8,819200.0,0
51,0.7599266525357962,2.371708504855633,6.516750629722922e-05,1.0651553316540723e-05,6.390931989924434e-05,0.9856240153312683,1.0,8,8,835584.0,0
52,0.6214665630832314,2.0425704643130302,6.642569269521411e-05,1.0861251049538203e-05,6.516750629722922e-05,0.9064837098121643,1.0,8,8,851968.0,0
53,0.9137283312156796,2.779736205935478,6.768387909319899e-05,1.1070948782535685e-05,6.642569269521411e-05,1.0507413148880005,0.9517090323089077,8,8,868352.0,0
54,0.6389007358811796,2.1111801713705063,6.894206549118388e-05,9.669125584742712e-06,6.768387909319899e-05,1.0922346115112305,0.915554212858601,8,8,884736.0,0
55,0.8420358886942267,2.6484733521938324,7.020025188916877e-05,1.1490344248530647e-05,6.894206549118388e-05,1.1072461605072021,0.9031415376875378,8,8,901120.0,0
56,0.7143748253583908,2.1745477691292763,7.145843828715366e-05,1.0028607412738396e-05,7.020025188916877e-05,1.2483404874801636,0.801063499925207,8,8,917504.0,0
57,0.6288411887362599,1.9526865631341934,7.271662468513854e-05,1.190973971452561e-05,7.145843828715366e-05,0.9323402643203735,1.0,8,8,933888.0,0
58,0.5640839282423258,1.8378401696681976,7.397481108312343e-05,1.2119437447523089e-05,7.271662468513854e-05,0.8910439014434814,1.0,8,8,950272.0,0
59,0.6941286064684391,2.1107790917158127,7.52329974811083e-05,1.232913518052057e-05,7.397481108312343e-05,0.981597900390625,1.0,8,8,966656.0,0
60,0.8513662070035934,2.8340329825878143,7.649118387909321e-05,1.253883291351805e-05,7.52329974811083e-05,1.001527190208435,0.9984751385440511,8,8,983040.0,0
61,0.6305569941177964,2.1312059611082077,7.77493702770781e-05,1.2748530646515534e-05,7.649118387909321e-05,0.9398664832115173,1.0,8,8,999424.0,0
62,0.6702259909361601,2.291302375495434,7.900755667506298e-05,1.2958228379513016e-05,7.77493702770781e-05,0.9691866636276245,1.0,8,8,1015808.0,0
63,0.6597287654876709,2.005495749413967,8.026574307304787e-05,1.3167926112510496e-05,7.900755667506298e-05,0.9638577103614807,1.0,8,8,1032192.0,0
64,0.709457429125905,2.3044458478689194,8.152392947103275e-05,1.6053148614609575e-05,8.026574307304787e-05,1.0453087091445923,0.9566551883197965,8,8,1048576.0,0
65,0.5512236903887242,1.8125124126672745,8.278211586901762e-05,1.3587321578505458e-05,8.152392947103275e-05,1.0263279676437378,0.974347412840014,8,8,1064960.0,0
66,0.6842579962685704,2.237277887761593,8.404030226700251e-05,1.3797019311502936e-05,8.278211586901762e-05,0.9333347678184509,1.0,8,8,1081344.0,0
67,0.7013288354501128,2.2687991186976433,8.529848866498742e-05,1.4006717044500418e-05,8.404030226700251e-05,0.9398965835571289,1.0,8,8,1097728.0,0
68,0.6178009640425444,2.1116953268647194,8.65566750629723e-05,1.2185498380712489e-05,8.529848866498742e-05,0.9496697783470154,1.0,8,8,1114112.0,0
69,0.5116075188852847,1.8060557916760445,8.781486146095718e-05,1.731133501259446e-05,8.65566750629723e-05,0.8073437213897705,1.0,8,8,1130496.0,0
70,0.6729537080973387,2.103195108473301,8.907304785894206e-05,1.4635810243492864e-05,8.781486146095718e-05,0.9800284504890442,1.0,8,8,1146880.0,0
71,0.5963719096034765,1.9083272218704224,9.033123425692695e-05,1.4845507976490344e-05,8.907304785894206e-05,0.8963081240653992,1.0,8,8,1163264.0,0
72,0.6901139942929149,2.054329991340637,9.158942065491184e-05,1.5055205709487825e-05,9.033123425692695e-05,1.1109501123428345,0.900130427900352,8,8,1179648.0,0
73,0.6013919152319431,1.9542762637138367,9.284760705289673e-05,1.5264903442485307e-05,9.158942065491184e-05,0.8991023898124695,1.0,8,8,1196032.0,0
74,0.5769806336611509,1.9535862281918526,9.410579345088162e-05,1.547460117548279e-05,9.284760705289673e-05,0.8360379338264465,1.0,8,8,1212416.0,0
75,0.8359939642250538,2.5986005291342735,9.53639798488665e-05,1.8821158690176324e-05,9.410579345088162e-05,0.9298403859138489,1.0,8,8,1228800.0,0
76,0.6510597327724099,2.004532292485237,9.662216624685138e-05,1.589399664147775e-05,9.53639798488665e-05,1.0952479839324951,0.9130352346402687,8,8,1245184.0,0
77,0.6285845870152116,1.999820813536644,9.788035264483627e-05,1.3803166606693055e-05,9.662216624685138e-05,0.9666690826416016,1.0,8,8,1261568.0,0
78,0.6885520722717047,2.54344929009676,9.913853904282116e-05,1.6313392107472713e-05,9.788035264483627e-05,0.899706244468689,1.0,8,8,1277952.0,0
79,0.6366653498262167,2.001030072569847,0.00010039672544080605,1.6523089840470195e-05,9.913853904282116e-05,0.8512390851974487,1.0,8,8,1294336.0,0
80,0.844939861446619,2.6564296558499336,0.00010165491183879094,1.6732787573467676e-05,0.00010039672544080605,0.9610911011695862,1.0,8,8,1310720.0,0
81,0.791842507198453,2.36382058262825,0.00010291309823677582,1.6942485306465158e-05,0.00010165491183879094,0.9289390444755554,1.0,8,8,1327104.0,0
82,0.7503580339252949,2.2615048438310623,0.00010417128463476071,1.470187117668226e-05,0.00010291309823677582,0.938909649848938,1.0,8,8,1343488.0,0
83,0.6001663096249104,1.9226940274238586,0.0001054294710327456,1.736188077246012e-05,0.00010417128463476071,0.8680586218833923,1.0,8,8,1359872.0,0
84,0.7162837916985154,2.448753036558628,0.00010668765743073048,1.75715785054576e-05,0.0001054294710327456,0.9449425339698792,1.0,8,8,1376256.0,0
85,0.6902942024171352,2.127010554075241,0.00010794584382871537,1.778127623845508e-05,0.00010668765743073048,0.9672310948371887,1.0,8,8,1392640.0,0
86,0.6733237355947495,2.0462273359298706,0.00010920403022670026,1.5420834832673624e-05,0.00010794584382871537,0.9126180410385132,1.0,8,8,1409024.0,0
87,0.6776843583211303,2.2549313828349113,0.00011046221662468514,1.5600575746671465e-05,0.00010920403022670026,0.9759815335273743,1.0,8,8,1425408.0,0
88,0.7477480806410313,2.4327036514878273,0.00011172040302267003,1.5780316660669306e-05,0.00011046221662468514,1.0372439622879028,0.964093343858357,8,8,1441792.0,0
89,0.744050876237452,2.4198939353227615,0.0001129785894206549,1.8620067170445006e-05,0.00011172040302267003,1.056679368019104,0.9463608642929179,8,8,1458176.0,0
90,0.7862348593771458,2.5288303792476654,0.0001142367758186398,1.8829764903442484e-05,0.0001129785894206549,0.9956393837928772,1.0,8,8,1474560.0,0
91,0.6881016651168466,2.1895285323262215,0.00011549496221662469,1.9039462636439966e-05,0.0001142367758186398,0.9862175583839417,1.0,8,8,1490944.0,0
92,0.49023182690143585,1.6715808138251305,0.00011675314861460958,1.9249160369437448e-05,0.00011549496221662469,0.8653714656829834,1.0,8,8,1507328.0,0
93,0.697793391533196,2.301146723330021,0.00011801133501259447,1.945885810243493e-05,0.00011675314861460958,0.9451014399528503,1.0,8,8,1523712.0,0
94,0.610409333370626,1.9006736129522324,0.00011926952141057936,1.6858762144656352e-05,0.00011801133501259447,0.9099120497703552,1.0,8,8,1540096.0,0
95,0.8195449560880661,2.705763392150402,0.00012052770780856423,1.9878253568429893e-05,0.00011926952141057936,1.0401631593704224,0.9613876351901434,8,8,1556480.0,0
96,0.815816966816783,2.4278560280799866,0.00012178589420654913,2.008795130142737e-05,0.00012052770780856423,1.0306918621063232,0.9702220777754356,8,8,1572864.0,0
97,0.47982151061296463,1.7238458544015884,0.000123044080604534,2.0297649034424853e-05,0.00012178589420654913,0.9661895632743835,1.0,8,8,1589248.0,0
98,0.6675624558702111,2.172608107328415,0.0001243022670025189,2.0507346767422335e-05,0.000123044080604534,0.9517598748207092,1.0,8,8,1605632.0,0
99,0.8483985178172588,2.6421426609158516,0.00012556045340050378,2.0717044500419817e-05,0.0001243022670025189,0.9955799579620361,1.0,8,8,1622016.0,0
100,0.7716160016134381,2.297620266675949,0.0001268186397984887,2.09267422334173e-05,0.00012556045340050378,0.9552503228187561,1.0,8,8,1638400.0,0
101,0.6573404893279076,2.11224278062582,0.00012807682619647357,2.113643996641478e-05,0.0001268186397984887,0.9195407629013062,1.0,8,8,1654784.0,0
102,0.6043472066521645,1.8881077095866203,0.00012933501259445842,2.1346137699412262e-05,0.00012807682619647357,0.8965516686439514,1.0,8,8,1671168.0,0
103,0.790592098608613,2.718050092458725,0.00013059319899244335,2.5867002518891682e-05,0.00012933501259445842,0.9770869612693787,1.0,8,8,1687552.0,0
104,0.6556578194722533,2.22402436286211,0.0001318513853904282,1.8656171284634763e-05,0.00013059319899244335,0.9414005875587463,1.0,8,8,1703936.0,0
105,0.756036352366209,2.317985862493515,0.0001331095717884131,1.88359121986326e-05,0.0001318513853904282,0.8907437324523926,1.0,8,8,1720320.0,0
106,0.7939193807542324,2.4254272058606148,0.00013436775818639798,2.2184928631402182e-05,0.0001331095717884131,0.9891042113304138,1.0,8,8,1736704.0,0
107,0.669658484403044,2.1537234783172607,0.00013562594458438288,2.2394626364399664e-05,0.00013436775818639798,0.9319462180137634,1.0,8,8,1753088.0,0
108,0.9676820002496243,3.5344761088490486,0.00013688413098236776,2.2604324097397146e-05,0.00013562594458438288,1.13596773147583,0.8803066955959536,8,8,1769472.0,0
109,0.8653719890862703,2.6768254339694977,0.00013814231738035266,2.2814021830394628e-05,0.00013688413098236776,1.0743252038955688,0.930816847983281,8,8,1785856.0,0
110,0.8103435803204775,2.3395882844924927,0.00013940050377833754,2.302371956339211e-05,0.00013814231738035266,0.9915493130683899,1.0,8,8,1802240.0,0
111,0.5615478819236159,1.8095360174775124,0.00014065869017632242,2.323341729638959e-05,0.00013940050377833754,0.8922492265701294,1.0,8,8,1818624.0,0
112,0.6759803891181946,2.0482135713100433,0.00014191687657430732,2.0094098596617488e-05,0.00014065869017632242,0.8787152171134949,1.0,8,8,1835008.0,0
