train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.3452650606632233,30.882173717021942,2.395251396648045e-06,1.6666666666666665e-07,1e-06,3.1550965309143066,0.316947513396649,8,8,16384.0,0
2,3.359751597046852,32.241330564022064,3.79050279329609e-06,3.992085661080075e-07,2.395251396648045e-06,2.9638960361480713,0.3373937505916298,8,8,32768.0,0
3,3.4902082979679108,35.1907103061676,5.185754189944134e-06,7.58100558659218e-07,3.79050279329609e-06,2.853753089904785,0.35041573972785933,8,8,49152.0,0
4,3.3929069191217422,31.121159076690674,6.581005586592179e-06,1.037150837988827e-06,5.185754189944134e-06,3.0212199687957764,0.33099211918629595,8,8,65536.0,0
5,3.4369236528873444,32.86868476867676,7.976256983240222e-06,1.0968342644320298e-06,6.581005586592179e-06,3.191692590713501,0.313313382030986,8,8,81920.0,0
6,3.2894524186849594,28.91761738061905,9.371508379888268e-06,1.3293761638733703e-06,7.976256983240222e-06,2.6810972690582275,0.3729816189589014,8,8,98304.0,0
7,3.4100057929754257,31.64121174812317,1.0766759776536312e-05,1.5619180633147113e-06,9.371508379888268e-06,2.6179211139678955,0.38198248016875935,8,8,114688.0,0
8,3.2282276451587677,26.678877234458923,1.216201117318436e-05,1.794459962756052e-06,1.0766759776536312e-05,2.7710964679718018,0.3608679854915159,8,8,131072.0,0
9,3.3507332503795624,29.527279257774353,1.3557262569832404e-05,1.7374301675977657e-06,1.216201117318436e-05,2.5925991535186768,0.38571330961148154,8,8,147456.0,0
10,3.3116919696331024,30.062039405107498,1.4952513966480446e-05,2.259543761638734e-06,1.3557262569832404e-05,2.3404338359832764,0.4272712112707288,8,8,163840.0,0
11,3.2742395997047424,27.97121888399124,1.6347765363128493e-05,2.4920856610800745e-06,1.4952513966480446e-05,2.4631948471069336,0.405976815506135,8,8,180224.0,0
12,3.19753435254097,25.744322419166565,1.774301675977654e-05,2.7246275605214154e-06,1.6347765363128493e-05,2.4078304767608643,0.4153116299719054,8,8,196608.0,0
13,3.2525762617588043,27.183726489543915,1.9138268156424585e-05,2.9571694599627564e-06,1.774301675977654e-05,2.4408538341522217,0.4096927009752384,8,8,212992.0,0
14,3.510999858379364,34.588470101356506,2.0533519553072627e-05,2.734038308060655e-06,1.9138268156424585e-05,2.617327928543091,0.3820690518349597,8,8,229376.0,0
15,3.4095726758241653,31.71125590801239,2.192877094972067e-05,2.9333599361532326e-06,2.0533519553072627e-05,2.7081246376037598,0.3692592231960433,8,8,245760.0,0
16,3.3409437239170074,30.004818856716156,2.332402234636872e-05,3.6547951582867784e-06,2.192877094972067e-05,2.4375391006469727,0.4102498293193202,8,8,262144.0,0
17,3.377344995737076,31.059438228607178,2.471927374301676e-05,3.88733705772812e-06,2.332402234636872e-05,2.5344455242156982,0.394563619712861,8,8,278528.0,0
18,3.3604181706905365,30.605363607406616,2.6114525139664807e-05,3.531324820430966e-06,2.471927374301676e-05,2.763537645339966,0.36185503088257,8,8,294912.0,0
19,3.3832137435674667,31.315541982650757,2.7509776536312852e-05,4.352420856610801e-06,2.6114525139664807e-05,2.7213053703308105,0.3674707039137138,8,8,311296.0,0
20,3.16593399643898,25.01426124572754,2.890502793296089e-05,3.929968076616122e-06,2.7509776536312852e-05,2.935532808303833,0.3406536616354374,8,8,327680.0,0
21,3.3082256764173508,30.140146911144257,3.030027932960894e-05,4.129289704708698e-06,2.890502793296089e-05,2.7010574340820312,0.37022537447060433,8,8,344064.0,0
22,3.336769223213196,30.083813846111298,3.169553072625698e-05,4.3286113328012775e-06,3.030027932960894e-05,2.668545722961426,0.3747359437746012,8,8,360448.0,0
