train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.4526653736829758,33.53247952461243,6.581005586592179e-06,1.6666666666666665e-07,1e-06,2.221165657043457,0.45021405622245525,8,8,65536.0,0
2,3.4956540167331696,36.46980220079422,1.216201117318436e-05,1.0968342644320298e-06,6.581005586592179e-06,1.143682837486267,0.8743682839527905,8,8,131072.0,0
3,3.478490635752678,33.79086410999298,1.774301675977654e-05,2.432402234636872e-06,1.216201117318436e-05,1.1986671686172485,0.8342599398569829,8,8,196608.0,0
4,3.407713606953621,31.92808747291565,2.332402234636872e-05,3.5486033519553077e-06,1.774301675977654e-05,1.2156970500946045,0.8225733540452025,8,8,262144.0,0
5,3.5034754425287247,35.9746749997139,2.890502793296089e-05,3.88733705772812e-06,2.332402234636872e-05,1.1145083904266357,0.8972565918649575,8,8,327680.0,0
6,3.285261169075966,28.95017844438553,3.4486033519553074e-05,4.817504655493482e-06,2.890502793296089e-05,1.0240333080291748,0.976530736020291,8,8,393216.0,0
7,3.4213455468416214,31.820874869823456,4.006703910614525e-05,5.747672253258846e-06,3.4486033519553074e-05,1.161765217781067,0.8607591144010199,8,8,458752.0,0
8,3.366487428545952,30.414154887199402,4.5648044692737433e-05,6.677839851024209e-06,4.006703910614525e-05,1.1386545896530151,0.8782294552589948,8,8,524288.0,0
9,3.330117106437683,29.218287467956543,5.1229050279329616e-05,6.5211492418196335e-06,4.5648044692737433e-05,1.2196801900863647,0.8198870557439903,8,8,589824.0,0
10,3.5775494426488876,37.39315366744995,5.6810055865921786e-05,8.538175046554935e-06,5.1229050279329616e-05,1.1309763193130493,0.8841918110244005,8,8,655360.0,0
11,3.3893931806087494,31.00446307659149,6.239106145251397e-05,9.468342644320298e-06,5.6810055865921786e-05,1.1417174339294434,0.8758734607015931,8,8,720896.0,0
12,3.23570816218853,27.341243624687195,6.797206703910615e-05,1.0398510242085661e-05,6.239106145251397e-05,1.037828803062439,0.9635500547375667,8,8,786432.0,0
13,3.359286814928055,29.668357729911804,7.355307262569833e-05,1.1328677839851025e-05,6.797206703910615e-05,1.0269073247909546,0.9737977087685046,8,8,851968.0,0
14,3.603570803999901,37.85879111289978,7.91340782122905e-05,1.050758180367119e-05,7.355307262569833e-05,1.080480694770813,0.9255139909845314,8,8,917504.0,0
15,3.559156760573387,36.311988830566406,8.471508379888269e-05,1.1304868316041501e-05,7.91340782122905e-05,1.1095808744430542,0.9012412010986051,8,8,983040.0,0
16,3.3349075317382812,30.37991651892662,9.029608938547487e-05,1.4119180633147115e-05,8.471508379888269e-05,1.014743685722351,0.9854705321838576,8,8,1048576.0,0
17,3.476439416408539,34.138246297836304,9.587709497206704e-05,1.5049348230912479e-05,9.029608938547487e-05,0.9953877925872803,1.0,8,8,1114112.0,0
18,3.4293346852064133,32.664790987968445,0.00010145810055865922,1.3696727853152434e-05,9.587709497206704e-05,0.9927389025688171,1.0,8,8,1179648.0,0
19,3.4437882602214813,32.0655597448349,0.0001070391061452514,1.6909683426443205e-05,0.00010145810055865922,0.9930860996246338,1.0,8,8,1245184.0,0
20,3.3437808752059937,30.4327552318573,0.00011262011173184357,1.529130087789306e-05,0.0001070391061452514,0.9657654762268066,1.0,8,8,1310720.0,0
21,3.364653617143631,30.918754816055298,0.00011820111731843576,1.6088587390263368e-05,0.00011262011173184357,0.9710169434547424,1.0,8,8,1376256.0,0
22,3.381298467516899,30.83270674943924,0.00012378212290502794,1.688587390263368e-05,0.00011820111731843576,0.9167154431343079,1.0,8,8,1441792.0,0
23,3.4179816395044327,32.92341011762619,0.00012936312849162014,2.475642458100559e-05,0.00012378212290502794,0.9525625109672546,1.0,8,8,1507328.0,0
24,3.4125856161117554,30.628552794456482,0.0001349441340782123,2.5872625698324027e-05,0.00012936312849162014,0.9561172723770142,1.0,8,8,1572864.0,0
25,3.396764427423477,32.05718368291855,0.00014052513966480445,2.698882681564246e-05,0.0001349441340782123,0.8984072208404541,1.0,8,8,1638400.0,0
26,3.355910137295723,31.080882132053375,0.00014610614525139667,2.342085661080074e-05,0.00014052513966480445,0.8697293400764465,1.0,8,8,1703936.0,0
27,3.2603727877140045,28.612051844596863,0.00015168715083798884,2.4351024208566112e-05,0.00014610614525139667,1.0151989459991455,0.9850286034476011,8,8,1769472.0,0
28,3.2464767396450043,26.916213274002075,0.000157268156424581,2.1669592976855547e-05,0.00015168715083798884,0.9583200216293335,1.0,8,8,1835008.0,0
29,3.414833202958107,32.55371677875519,0.0001628491620111732,3.14536312849162e-05,0.000157268156424581,0.9150974154472351,1.0,8,8,1900544.0,0
30,3.5155830085277557,34.93572282791138,0.00016843016759776535,2.3264166001596173e-05,0.0001628491620111732,0.8325288891792297,1.0,8,8,1966080.0,0
31,3.3806248009204865,31.470375180244446,0.00017401117318435755,2.406145251396648e-05,0.00016843016759776535,0.8584647178649902,1.0,8,8,2031616.0,0
32,3.352838560938835,30.39279794692993,0.00017959217877094974,2.9001862197392924e-05,0.00017401117318435755,0.855477511882782,1.0,8,8,2097152.0,0
33,3.3871276825666428,32.31421214342117,0.0001851731843575419,2.993202979515829e-05,0.00017959217877094974,0.8048533797264099,1.0,8,8,2162688.0,0
34,3.4123198986053467,31.833746194839478,0.00019075418994413408,3.703463687150838e-05,0.0001851731843575419,0.8317009806632996,1.0,8,8,2228224.0,0
35,3.341026857495308,29.480079650878906,0.00019633519553072625,2.7250598563447727e-05,0.00019075418994413408,0.7847220301628113,1.0,8,8,2293760.0,0
36,3.470658153295517,34.46595561504364,0.00020191620111731845,2.8047885075818036e-05,0.00019633519553072625,0.8063682317733765,1.0,8,8,2359296.0,0
37,3.30726820230484,28.31099408864975,0.00020749720670391062,3.365270018621974e-05,0.00020191620111731845,0.7902235984802246,1.0,8,8,2424832.0,0
