train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.447288542985916,33.39603805541992,6.581005586592179e-06,1.6666666666666665e-07,1e-06,2.2239038944244385,0.4496597188874284,8,8,65536.0,0
2,3.4907602816820145,36.26368659734726,1.216201117318436e-05,1.0968342644320298e-06,6.581005586592179e-06,1.1509584188461304,0.8688411185189996,8,8,131072.0,0
3,3.466369152069092,33.373101115226746,1.774301675977654e-05,2.432402234636872e-06,1.216201117318436e-05,1.206736445426941,0.828681361028566,8,8,196608.0,0
4,3.3971301168203354,31.639945209026337,2.332402234636872e-05,3.5486033519553077e-06,1.774301675977654e-05,1.2195661067962646,0.8199637513919822,8,8,262144.0,0
5,3.4957811534404755,35.710892260074615,2.890502793296089e-05,3.88733705772812e-06,2.332402234636872e-05,1.1210249662399292,0.8920407931263515,8,8,327680.0,0
6,3.2812976986169815,28.85438573360443,3.4486033519553074e-05,4.817504655493482e-06,2.890502793296089e-05,1.0175827741622925,0.9827210379246544,8,8,393216.0,0
7,3.4109673351049423,31.452907145023346,4.006703910614525e-05,5.747672253258846e-06,3.4486033519553074e-05,1.1677504777908325,0.8563473267773423,8,8,458752.0,0
8,3.364923894405365,30.348488450050354,4.5648044692737433e-05,6.677839851024209e-06,4.006703910614525e-05,1.1388903856277466,0.8780476265483008,8,8,524288.0,0
9,3.3222894072532654,28.99279659986496,5.1229050279329616e-05,6.5211492418196335e-06,4.5648044692737433e-05,1.2124384641647339,0.8247841268283165,8,8,589824.0,0
10,3.5685108453035355,37.079346656799316,5.6810055865921786e-05,8.538175046554935e-06,5.1229050279329616e-05,1.128252625465393,0.8863263221626659,8,8,655360.0,0
11,3.381891191005707,30.787859678268433,6.239106145251397e-05,9.468342644320298e-06,5.6810055865921786e-05,1.1469353437423706,0.8718887297833174,8,8,720896.0,0
12,3.2240774035453796,27.081718236207962,6.797206703910615e-05,1.0398510242085661e-05,6.239106145251397e-05,1.0316394567489624,0.9693308970077218,8,8,786432.0,0
13,3.3544205129146576,29.51343858242035,7.355307262569833e-05,1.1328677839851025e-05,6.797206703910615e-05,1.0272480249404907,0.9734747361105486,8,8,851968.0,0
14,3.58944608271122,37.30136060714722,7.91340782122905e-05,1.050758180367119e-05,7.355307262569833e-05,1.0849179029464722,0.9217287292275573,8,8,917504.0,0
15,3.553988039493561,36.107858777046204,8.471508379888269e-05,1.1304868316041501e-05,7.91340782122905e-05,1.116576075553894,0.8955950444335282,8,8,983040.0,0
16,3.327632889151573,30.200702339410782,9.029608938547487e-05,1.4119180633147115e-05,8.471508379888269e-05,1.0099986791610718,0.9901003047148863,8,8,1048576.0,0
17,3.469414785504341,33.881930470466614,9.587709497206704e-05,1.5049348230912479e-05,9.029608938547487e-05,0.9964886903762817,1.0,8,8,1114112.0,0
18,3.4207986891269684,32.38545536994934,0.00010145810055865922,1.3696727853152434e-05,9.587709497206704e-05,0.9794754981994629,1.0,8,8,1179648.0,0
19,3.438503220677376,31.939245223999023,0.0001070391061452514,1.6909683426443205e-05,0.00010145810055865922,0.9922007322311401,1.0,8,8,1245184.0,0
20,3.339173763990402,30.245441675186157,0.00011262011173184357,1.529130087789306e-05,0.0001070391061452514,0.9691112637519836,1.0,8,8,1310720.0,0
21,3.3646442145109177,30.920303523540497,0.00011820111731843576,1.6088587390263368e-05,0.00011262011173184357,0.9713985919952393,1.0,8,8,1376256.0,0
22,3.374997079372406,30.661638915538788,0.00012378212290502794,1.688587390263368e-05,0.00011820111731843576,0.9203131794929504,1.0,8,8,1441792.0,0
23,3.4153850972652435,32.828061640262604,0.00012936312849162014,2.475642458100559e-05,0.00012378212290502794,0.9538907408714294,1.0,8,8,1507328.0,0
24,3.409474104642868,30.532742023468018,0.0001349441340782123,2.5872625698324027e-05,0.00012936312849162014,0.9654672145843506,1.0,8,8,1572864.0,0
25,3.391008600592613,31.876954674720764,0.00014052513966480445,2.698882681564246e-05,0.0001349441340782123,0.901817798614502,1.0,8,8,1638400.0,0
26,3.3475845605134964,30.810127794742584,0.00014610614525139667,2.342085661080074e-05,0.00014052513966480445,0.8632981181144714,1.0,8,8,1703936.0,0
27,3.2504085823893547,28.35763117671013,0.00015168715083798884,2.4351024208566112e-05,0.00014610614525139667,1.0157257318496704,0.9845177380492095,8,8,1769472.0,0
28,3.239590048789978,26.710543632507324,0.000157268156424581,2.1669592976855547e-05,0.00015168715083798884,0.9569986462593079,1.0,8,8,1835008.0,0
29,3.4115144461393356,32.445494055747986,0.0001628491620111732,3.14536312849162e-05,0.000157268156424581,0.9141756296157837,1.0,8,8,1900544.0,0
30,3.506876066327095,34.626567125320435,0.00016843016759776535,2.3264166001596173e-05,0.0001628491620111732,0.8396641612052917,1.0,8,8,1966080.0,0
31,3.3755323737859726,31.352434158325195,0.00017401117318435755,2.406145251396648e-05,0.00016843016759776535,0.8617482781410217,1.0,8,8,2031616.0,0
32,3.3484701961278915,30.28590476512909,0.00017959217877094974,2.9001862197392924e-05,0.00017401117318435755,0.8594093322753906,1.0,8,8,2097152.0,0
33,3.3856099247932434,32.25022578239441,0.0001851731843575419,2.993202979515829e-05,0.00017959217877094974,0.8362298607826233,1.0,8,8,2162688.0,0
