train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.447288542985916,33.39603805541992,6.581005586592179e-06,1.6666666666666665e-07,1e-06,2.223905563354492,0.44965938144026735,8,8,65536.0,0
2,3.490897610783577,36.2703138589859,1.216201117318436e-05,1.0968342644320298e-06,6.581005586592179e-06,1.1509875059127808,0.8688191616868071,8,8,131072.0,0
3,3.466290593147278,33.37090313434601,1.774301675977654e-05,2.432402234636872e-06,1.216201117318436e-05,1.206238031387329,0.8290237697521791,8,8,196608.0,0
4,3.3972972333431244,31.647849917411804,2.332402234636872e-05,3.5486033519553077e-06,1.774301675977654e-05,1.2193282842636108,0.8201236803123205,8,8,262144.0,0
5,3.495747208595276,35.70968019962311,2.890502793296089e-05,3.88733705772812e-06,2.332402234636872e-05,1.1217591762542725,0.8914569376096064,8,8,327680.0,0
6,3.2812971472740173,28.854377031326294,3.4486033519553074e-05,4.817504655493482e-06,2.890502793296089e-05,1.0178663730621338,0.9824472312516157,8,8,393216.0,0
7,3.4110283255577087,31.4529470205307,4.006703910614525e-05,5.747672253258846e-06,3.4486033519553074e-05,1.1674444675445557,0.8565717923203728,8,8,458752.0,0
8,3.3649533092975616,30.349162817001343,4.5648044692737433e-05,6.677839851024209e-06,4.006703910614525e-05,1.1396584510803223,0.8774558720212949,8,8,524288.0,0
9,3.3223632872104645,28.996427834033966,5.1229050279329616e-05,6.5211492418196335e-06,4.5648044692737433e-05,1.2111183404922485,0.8256831447146056,8,8,589824.0,0
10,3.5684432983398438,37.07646560668945,5.6810055865921786e-05,8.538175046554935e-06,5.1229050279329616e-05,1.1274088621139526,0.8869896570832864,8,8,655360.0,0
11,3.381924420595169,30.788349747657776,6.239106145251397e-05,9.468342644320298e-06,5.6810055865921786e-05,1.1482160091400146,0.8709162666597066,8,8,720896.0,0
12,3.2241891771554947,27.083079934120178,6.797206703910615e-05,1.0398510242085661e-05,6.239106145251397e-05,1.030948519706726,0.9699805381974843,8,8,786432.0,0
13,3.3543972074985504,29.511760473251343,7.355307262569833e-05,1.1328677839851025e-05,6.797206703910615e-05,1.0287221670150757,0.9720797627027056,8,8,851968.0,0
14,3.5895911902189255,37.30914127826691,7.91340782122905e-05,1.050758180367119e-05,7.355307262569833e-05,1.0840544700622559,0.9224628721300773,8,8,917504.0,0
15,3.5539599806070328,36.10793614387512,8.471508379888269e-05,1.1304868316041501e-05,7.91340782122905e-05,1.1172130107879639,0.8950844560016452,8,8,983040.0,0
16,3.3275486528873444,30.19903990626335,9.029608938547487e-05,1.4119180633147115e-05,8.471508379888269e-05,1.010473608970642,0.9896349505037533,8,8,1048576.0,0
17,3.4691897332668304,33.87586236000061,9.587709497206704e-05,1.5049348230912479e-05,9.029608938547487e-05,0.9959726929664612,1.0,8,8,1114112.0,0
18,3.4208958446979523,32.387605011463165,0.00010145810055865922,1.3696727853152434e-05,9.587709497206704e-05,0.9768235683441162,1.0,8,8,1179648.0,0
19,3.438580244779587,31.941009521484375,0.0001070391061452514,1.6909683426443205e-05,0.00010145810055865922,0.9923135042190552,1.0,8,8,1245184.0,0
20,3.339102268218994,30.24283081293106,0.00011262011173184357,1.529130087789306e-05,0.0001070391061452514,0.9693761467933655,1.0,8,8,1310720.0,0
21,3.364678665995598,30.92148655653,0.00011820111731843576,1.6088587390263368e-05,0.00011262011173184357,0.9721362590789795,1.0,8,8,1376256.0,0
22,3.374750629067421,30.65464848279953,0.00012378212290502794,1.688587390263368e-05,0.00011820111731843576,0.9208205342292786,1.0,8,8,1441792.0,0
23,3.4153888672590256,32.82690852880478,0.00012936312849162014,2.475642458100559e-05,0.00012378212290502794,0.9538385272026062,1.0,8,8,1507328.0,0
24,3.4092708826065063,30.52559995651245,0.0001349441340782123,2.5872625698324027e-05,0.00012936312849162014,0.9643151760101318,1.0,8,8,1572864.0,0
25,3.390855371952057,31.870918929576874,0.00014052513966480445,2.698882681564246e-05,0.0001349441340782123,0.901463508605957,1.0,8,8,1638400.0,0
26,3.34771192073822,30.814382791519165,0.00014610614525139667,2.342085661080074e-05,0.00014052513966480445,0.8641087412834167,1.0,8,8,1703936.0,0
27,3.250284269452095,28.355708211660385,0.00015168715083798884,2.4351024208566112e-05,0.00014610614525139667,1.0132535696029663,0.9869197898714074,8,8,1769472.0,0
28,3.239631325006485,26.711471140384674,0.000157268156424581,2.1669592976855547e-05,0.00015168715083798884,0.9573882818222046,1.0,8,8,1835008.0,0
29,3.411725804209709,32.45429027080536,0.0001628491620111732,3.14536312849162e-05,0.000157268156424581,0.9146223664283752,1.0,8,8,1900544.0,0
30,3.506829544901848,34.62531352043152,0.00016843016759776535,2.3264166001596173e-05,0.0001628491620111732,0.8397536873817444,1.0,8,8,1966080.0,0
31,3.375529393553734,31.351156651973724,0.00017401117318435755,2.406145251396648e-05,0.00016843016759776535,0.8617959022521973,1.0,8,8,2031616.0,0
32,3.348540797829628,30.28743141889572,0.00017959217877094974,2.9001862197392924e-05,0.00017401117318435755,0.8596876263618469,1.0,8,8,2097152.0,0
33,3.385605439543724,32.25120562314987,0.0001851731843575419,2.993202979515829e-05,0.00017959217877094974,0.8087995648384094,1.0,8,8,2162688.0,0
34,3.4078555703163147,31.680034160614014,0.00019075418994413408,3.703463687150838e-05,0.0001851731843575419,0.8332341909408569,1.0,8,8,2228224.0,0
35,3.3374747186899185,29.415288031101227,0.00019633519553072625,2.7250598563447727e-05,0.00019075418994413408,0.7860941886901855,1.0,8,8,2293760.0,0
36,3.4641641825437546,34.27912104129791,0.00020191620111731845,2.8047885075818036e-05,0.00019633519553072625,0.8053573369979858,1.0,8,8,2359296.0,0
37,3.300403133034706,28.150735318660736,0.00020749720670391062,3.365270018621974e-05,0.00020191620111731845,0.7894091606140137,1.0,8,8,2424832.0,0
38,3.340536445379257,29.828092873096466,0.0002130782122905028,3.45828677839851e-05,0.00020749720670391062,0.8219138979911804,1.0,8,8,2490368.0,0
39,3.50527460873127,34.715296149253845,0.00021865921787709498,3.551303538175047e-05,0.0002130782122905028,0.8057997226715088,1.0,8,8,2555904.0,0
40,3.5505396872758865,36.28066486120224,0.00022424022346368712,4.3731843575418996e-05,0.00021865921787709498,0.8109857439994812,1.0,8,8,2621440.0,0
41,3.282340884208679,26.947179794311523,0.00022982122905027935,3.7373370577281185e-05,0.00022424022346368712,0.8137268424034119,1.0,8,8,2686976.0,0
42,3.395047679543495,30.616053342819214,0.00023540223463687152,3.8303538175046556e-05,0.00022982122905027935,0.8002716898918152,1.0,8,8,2752512.0,0
43,3.348400130867958,30.203338861465454,0.00024098324022346369,3.923370577281192e-05,0.00023540223463687152,0.8010408282279968,1.0,8,8,2818048.0,0
44,3.2763174325227737,28.952744722366333,0.00024656424581005586,4.016387337057728e-05,0.00024098324022346369,0.7898269891738892,1.0,8,8,2883584.0,0
45,3.489268034696579,35.29117155075073,0.0002521452513966481,4.109404096834264e-05,0.00024656424581005586,0.7906123399734497,1.0,8,8,2949120.0,0
46,3.2320167869329453,27.36258590221405,0.00025772625698324025,3.6020750199521154e-05,0.0002521452513966481,0.7882965803146362,1.0,8,8,3014656.0,0
47,3.5435514003038406,38.71314311027527,0.0002633072625698324,4.2954376163873375e-05,0.00025772625698324025,0.8059700131416321,1.0,8,8,3080192.0,0
48,3.3875263929367065,30.344809532165527,0.0002688882681564246,4.388454376163874e-05,0.0002633072625698324,0.7588607668876648,1.0,8,8,3145728.0,0
49,3.338142901659012,29.65105050802231,0.00027446927374301676,4.4814711359404096e-05,0.0002688882681564246,0.739858865737915,1.0,8,8,3211264.0,0
50,3.3123957067728043,28.789440631866455,0.0002800502793296089,4.574487895716946e-05,0.00027446927374301676,0.7564858198165894,1.0,8,8,3276800.0,0
51,3.3779843896627426,31.29956877231598,0.0002856312849162011,4.667504655493482e-05,0.0002800502793296089,0.7382081151008606,1.0,8,8,3342336.0,0
52,3.276545375585556,27.46185851097107,0.0002912122905027934,4.760521415270018e-05,0.0002856312849162011,0.7869125604629517,1.0,8,8,3407872.0,0
53,3.3449772596359253,31.998185634613037,0.0002967932960893855,4.8535381750465564e-05,0.0002912122905027934,0.8830118775367737,1.0,8,8,3473408.0,0
54,3.2470232397317886,27.529937982559204,0.00030237430167597766,4.239904229848364e-05,0.0002967932960893855,0.7240340113639832,1.0,8,8,3538944.0,0
55,3.3320419639348984,30.554822623729706,0.0003079553072625699,5.039571694599628e-05,0.00030237430167597766,0.8033809065818787,1.0,8,8,3604480.0,0
56,3.3058822453022003,28.708383202552795,0.000313536312849162,4.399361532322427e-05,0.0003079553072625699,0.7166786789894104,1.0,8,8,3670016.0,0
57,3.2657896131277084,27.159607410430908,0.0003191173184357542,5.2256052141527e-05,0.000313536312849162,0.7130221128463745,1.0,8,8,3735552.0,0
58,3.3432407826185226,29.762279987335205,0.0003246983240223464,5.318621973929237e-05,0.0003191173184357542,0.7986775636672974,1.0,8,8,3801088.0,0
59,3.3233728408813477,29.42653214931488,0.0003302793296089385,5.4116387337057734e-05,0.0003246983240223464,0.7534137964248657,1.0,8,8,3866624.0,0
60,3.4851159155368805,36.806455969810486,0.00033586033519553073,5.5046554934823084e-05,0.0003302793296089385,0.7561795711517334,1.0,8,8,3932160.0,0
61,3.2402238100767136,27.280015766620636,0.0003414413407821229,5.5976722532588455e-05,0.00033586033519553073,0.7465448379516602,1.0,8,8,3997696.0,0
62,3.1979078203439713,25.338333070278168,0.0003470223463687151,5.690689013035382e-05,0.0003414413407821229,0.7532036900520325,1.0,8,8,4063232.0,0
63,3.3376954942941666,28.71260404586792,0.0003526033519553073,5.783705772811919e-05,0.0003470223463687151,0.750468909740448,1.0,8,8,4128768.0,0
64,3.3129089325666428,28.716054499149323,0.00035818435754189946,7.052067039106145e-05,0.0003526033519553073,0.7445927858352661,1.0,8,8,4194304.0,0
65,3.2252302914857864,28.030164003372192,0.00036376536312849163,5.969739292364991e-05,0.00035818435754189946,0.725907027721405,1.0,8,8,4259840.0,0
66,3.246957153081894,28.020133793354034,0.0003693463687150838,6.0627560521415274e-05,0.00036376536312849163,0.9118257164955139,1.0,8,8,4325376.0,0
67,3.1304226517677307,25.575471073389053,0.000374927374301676,6.155772811918064e-05,0.0003693463687150838,0.7640898823738098,1.0,8,8,4390912.0,0
68,3.287345990538597,27.58752930164337,0.00038050837988826814,5.3561053471668e-05,0.000374927374301676,0.7311211228370667,1.0,8,8,4456448.0,0
69,3.2052756547927856,26.76031643152237,0.0003860893854748603,7.610167597765362e-05,0.00038050837988826814,0.7515396475791931,1.0,8,8,4521984.0,0
70,3.2352126985788345,25.931295096874237,0.00039167039106145253,6.434823091247672e-05,0.0003860893854748603,0.705258309841156,1.0,8,8,4587520.0,0
71,3.383586034178734,31.79701590538025,0.0003972513966480447,6.527839851024209e-05,0.00039167039106145253,0.7251890301704407,1.0,8,8,4653056.0,0
72,3.1830738484859467,27.307296335697174,0.0004028324022346369,6.620856610800745e-05,0.0003972513966480447,0.7898244261741638,1.0,8,8,4718592.0,0
