train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.4530151188373566,33.43573343753815,2.8603351955307265e-06,1.6666666666666665e-07,1e-06,1.5531357526779175,0.6438587214769576,8,8,65536,0
2,3.4936441779136658,36.485995054244995,4.7206703910614525e-06,4.767225325884544e-07,2.8603351955307265e-06,1.5299487113952637,0.6536166817562,8,8,131072,0
3,3.4754912704229355,33.81090486049652,6.581005586592179e-06,9.441340782122905e-07,4.7206703910614525e-06,1.454179286956787,0.6876731149788606,8,8,196608,0
4,3.4267437905073166,32.61300045251846,8.441340782122904e-06,1.3162011173184358e-06,6.581005586592179e-06,1.5105069875717163,0.662029377041766,8,8,262144,0
5,3.503327891230583,36.027457535266876,1.0301675977653632e-05,1.4068901303538173e-06,8.441340782122904e-06,1.2799391746520996,0.7812871266097694,8,8,327680,0
6,3.285046398639679,28.954073309898376,1.216201117318436e-05,1.7169459962756053e-06,1.0301675977653632e-05,1.1460011005401611,0.8725995110543812,8,8,393216,0
7,3.418265640735626,31.684637427330017,1.4022346368715084e-05,2.0270018621973934e-06,1.216201117318436e-05,1.2188136577606201,0.8204699657177483,8,8,458752,0
8,3.3677470684051514,30.572768926620483,1.5882681564245808e-05,2.3370577281191805e-06,1.4022346368715084e-05,1.30501127243042,0.7662769058974173,8,8,524288,0
9,3.336480811238289,29.444846749305725,1.774301675977654e-05,2.2689545091779725e-06,1.5882681564245808e-05,1.2958582639694214,0.7716893334739157,8,8,589824,0
10,3.5744271874427795,37.28790307044983,1.9603351955307267e-05,2.9571694599627564e-06,1.774301675977654e-05,1.2796053886413574,0.7814909259338031,8,8,655360,0
11,3.3857890367507935,30.894001722335815,2.146368715083799e-05,3.2672253258845443e-06,1.9603351955307267e-05,1.1757375001907349,0.8505299863591351,8,8,720896,0
12,3.2405001372098923,27.394770681858063,2.332402234636872e-05,3.577281191806332e-06,2.146368715083799e-05,1.145323395729065,0.873115841104921,8,8,786432,0
13,3.363303482532501,29.768871068954468,2.518435754189944e-05,3.88733705772812e-06,2.332402234636872e-05,1.105260968208313,0.904763697229034,8,8,851968,0
14,3.6036422103643417,37.849180936813354,2.7044692737430167e-05,3.5977653631284914e-06,2.518435754189944e-05,1.2006405591964722,0.8328887378820655,8,8,917504,0
15,3.565630093216896,36.51626217365265,2.890502793296089e-05,3.8635275339185956e-06,2.7044692737430167e-05,1.240929365158081,0.8058476397420129,8,8,983040,0
16,3.3343847543001175,30.41176438331604,3.076536312849162e-05,4.817504655493482e-06,2.890502793296089e-05,1.1445424556732178,0.8737115823378767,8,8,1048576,0
17,3.4818199276924133,34.48656785488129,3.262569832402235e-05,5.12756052141527e-06,3.076536312849162e-05,1.1059162616729736,0.9042275935850214,8,8,1114112,0
18,3.432343453168869,32.5668163895607,3.4486033519553074e-05,4.660814046288907e-06,3.262569832402235e-05,1.0965825319290161,0.9119240648854507,8,8,1179648,0
19,3.448427736759186,32.21141600608826,3.6346368715083795e-05,5.747672253258846e-06,3.4486033519553074e-05,1.0751529932022095,0.9301001869703159,8,8,1245184,0
20,3.3544269651174545,30.718321084976196,3.820670391061453e-05,5.192338387869113e-06,3.6346368715083795e-05,1.087330937385559,0.9196832037204217,8,8,1310720,0
21,3.3705263882875443,31.134035885334015,4.006703910614525e-05,5.458100558659219e-06,3.820670391061453e-05,1.0635333061218262,0.9402620437394287,8,8,1376256,0
22,3.3961226046085358,31.185983061790466,4.192737430167598e-05,5.7238627294493215e-06,4.006703910614525e-05,1.0110552310943604,0.9890656506634327,8,8,1441792,0
23,3.4268399626016617,33.35378557443619,4.3787709497206706e-05,8.385474860335195e-06,4.192737430167598e-05,1.0544646978378296,0.9483484862504573,8,8,1507328,0
24,3.430805578827858,31.22855567932129,4.5648044692737433e-05,8.757541899441341e-06,4.3787709497206706e-05,1.0911288261413574,0.9164820652163138,8,8,1572864,0
25,3.4198463410139084,32.73502266407013,4.750837988826816e-05,9.129608938547486e-06,4.5648044692737433e-05,0.9893513917922974,1.0,8,8,1638400,0
26,3.3777384907007217,31.849538207054138,4.936871508379888e-05,7.91806331471136e-06,4.750837988826816e-05,0.9925161600112915,1.0,8,8,1703936,0
27,3.2899291291832924,29.396733343601227,5.1229050279329616e-05,8.228119180633148e-06,4.936871508379888e-05,1.1467610597610474,0.8720212388511864,8,8,1769472,0
28,3.2960693389177322,27.99820840358734,5.308938547486034e-05,7.3184357541899454e-06,5.1229050279329616e-05,1.143715500831604,0.8743433128885796,8,8,1835008,0
29,3.438281163573265,33.26052528619766,5.4949720670391065e-05,1.0617877094972067e-05,5.308938547486034e-05,1.0472643375396729,0.9548687605923205,8,8,1900544,0
30,3.5421743392944336,35.865026116371155,5.6810055865921786e-05,7.849960095770153e-06,5.4949720670391065e-05,1.0202600955963135,0.9801422248260604,8,8,1966080,0
31,3.405568152666092,32.421438336372375,5.867039106145252e-05,8.115722266560255e-06,5.6810055865921786e-05,1.0132213830947876,0.9869511408697365,8,8,2031616,0
32,3.408220052719116,32.077168583869934,6.053072625698324e-05,9.778398510242087e-06,5.867039106145252e-05,0.9880036115646362,1.0,8,8,2097152,0
33,3.4236966520547867,33.589083313941956,6.239106145251397e-05,1.0088454376163873e-05,6.053072625698324e-05,0.9570136070251465,1.0,8,8,2162688,0
34,3.441161811351776,32.70098888874054,6.42513966480447e-05,1.2478212290502793e-05,6.239106145251397e-05,0.9701977372169495,1.0,8,8,2228224,0
35,3.3877443969249725,30.94348394870758,6.611173184357542e-05,9.178770949720671e-06,6.42513966480447e-05,0.9581087231636047,1.0,8,8,2293760,0
36,3.5162437707185745,35.88932728767395,6.797206703910615e-05,9.444533120510775e-06,6.611173184357542e-05,0.948707640171051,1.0,8,8,2359296,0
37,3.348646879196167,29.525017619132996,6.983240223463687e-05,1.1328677839851025e-05,6.797206703910615e-05,0.9380286335945129,1.0,8,8,2424832,0
38,3.3775641471147537,30.93241673707962,7.16927374301676e-05,1.1638733705772812e-05,6.983240223463687e-05,0.9623523354530334,1.0,8,8,2490368,0
39,3.550669401884079,36.35866892337799,7.355307262569833e-05,1.19487895716946e-05,7.16927374301676e-05,0.9610177278518677,1.0,8,8,2555904,0
40,3.5928284376859665,37.823382794857025,7.541340782122906e-05,1.4710614525139668e-05,7.355307262569833e-05,0.9565149545669556,1.0,8,8,2621440,0
41,3.3545262217521667,29.021896600723267,7.727374301675978e-05,1.2568901303538177e-05,7.541340782122906e-05,0.9612236618995667,1.0,8,8,2686976,0
42,3.4509885162115097,32.40891754627228,7.91340782122905e-05,1.2878957169459963e-05,7.727374301675978e-05,0.9485533237457275,1.0,8,8,2752512,0
43,3.409836322069168,32.01877784729004,8.099441340782122e-05,1.3189013035381751e-05,7.91340782122905e-05,0.8913937211036682,1.0,8,8,2818048,0
44,3.3305542916059494,30.529584228992462,8.285474860335196e-05,1.3499068901303536e-05,8.099441340782122e-05,0.9041042923927307,1.0,8,8,2883584,0
45,3.543047234416008,37.235344886779785,8.471508379888269e-05,1.3809124767225327e-05,8.285474860335196e-05,0.9274166226387024,1.0,8,8,2949120,0
46,3.320745661854744,29.558923721313477,8.657541899441341e-05,1.2102154828411812e-05,8.471508379888269e-05,0.9080361723899841,1.0,8,8,3014656,0
47,3.612469717860222,41.30280685424805,8.843575418994414e-05,1.4429236499068903e-05,8.657541899441341e-05,0.9362391829490662,1.0,8,8,3080192,0
48,3.4699556082487106,32.95062208175659,9.029608938547487e-05,1.4739292364990691e-05,8.843575418994414e-05,0.8581592440605164,1.0,8,8,3145728,0
49,3.4115191847085953,31.92732298374176,9.21564245810056e-05,1.5049348230912479e-05,9.029608938547487e-05,0.8684840798377991,1.0,8,8,3211264,0
50,3.3812371492385864,30.8646582365036,9.401675977653631e-05,1.5359404096834265e-05,9.21564245810056e-05,0.8641525506973267,1.0,8,8,3276800,0
51,3.4484326988458633,33.5974383354187,9.587709497206704e-05,1.5669459962756053e-05,9.401675977653631e-05,0.8449363112449646,1.0,8,8,3342336,0
52,3.34486086666584,29.328023076057434,9.773743016759775e-05,1.597951582867784e-05,9.587709497206704e-05,0.8528385162353516,1.0,8,8,3407872,0
53,3.4196739345788956,34.564921617507935,9.959776536312851e-05,1.6289571694599626e-05,9.773743016759775e-05,1.0122835636138916,0.9878654913935115,8,8,3473408,0
54,3.310645893216133,29.360809326171875,0.00010145810055865922,1.4228252194732643e-05,9.959776536312851e-05,0.8513407111167908,1.0,8,8,3538944,0
55,3.4407363682985306,33.70901691913605,0.00010331843575418995,1.6909683426443205e-05,0.00010145810055865922,0.9077759385108948,1.0,8,8,3604480,0
56,3.3799463361501694,30.996102571487427,0.00010517877094972066,1.475977653631285e-05,0.00010331843575418995,0.8362434506416321,1.0,8,8,3670016,0
57,3.365700289607048,29.730448722839355,0.0001070391061452514,1.7529795158286777e-05,0.00010517877094972066,0.8390112519264221,1.0,8,8,3735552,0
58,3.4052631556987762,31.72729057073593,0.00010889944134078213,1.783985102420857e-05,0.0001070391061452514,0.8686560988426208,1.0,8,8,3801088,0
59,3.4225307554006577,32.45637929439545,0.00011075977653631285,1.8149906890130357e-05,0.00010889944134078213,0.879895031452179,1.0,8,8,3866624,0
60,3.5595903247594833,39.30601441860199,0.00011262011173184357,1.845996275605214e-05,0.00011075977653631285,0.8449814319610596,1.0,8,8,3932160,0
61,3.3546621948480606,29.965276539325714,0.0001144804469273743,1.877001862197393e-05,0.00011262011173184357,0.8656418919563293,1.0,8,8,3997696,0
62,3.2673098891973495,27.126178801059723,0.00011634078212290504,1.9080074487895717e-05,0.0001144804469273743,0.855273962020874,1.0,8,8,4063232,0
63,3.4151053577661514,31.044981002807617,0.00011820111731843576,1.9390130353817508e-05,0.00011634078212290504,0.8012365698814392,1.0,8,8,4128768,0
64,3.412003681063652,31.717676758766174,0.00012006145251396648,2.364022346368715e-05,0.00011820111731843576,0.8541244864463806,1.0,8,8,4194304,0
65,3.343055844306946,30.972303867340088,0.0001219217877094972,2.001024208566108e-05,0.00012006145251396648,0.8141807317733765,1.0,8,8,4259840,0
66,3.336978167295456,30.30470883846283,0.00012378212290502794,2.0320297951582865e-05,0.0001219217877094972,0.9625934362411499,1.0,8,8,4325376,0
67,3.25667205452919,28.25196886062622,0.00012564245810055865,2.0630353817504657e-05,0.00012378212290502794,0.8622052669525146,1.0,8,8,4390912,0
68,3.3697372376918793,29.856937885284424,0.00012750279329608937,1.7948922585794092e-05,0.00012564245810055865,0.7947569489479065,1.0,8,8,4456448,0
69,3.2914557605981827,29.16154843568802,0.00012936312849162014,2.5500558659217875e-05,0.00012750279329608937,0.8823411464691162,1.0,8,8,4521984,0
70,3.3179370909929276,28.219232141971588,0.00013122346368715085,2.1560521415270024e-05,0.00012936312849162014,0.7865844964981079,1.0,8,8,4587520,0
71,3.476168215274811,34.88992190361023,0.00013308379888268156,2.187057728119181e-05,0.00013122346368715085,0.8216968774795532,1.0,8,8,4653056,0
72,3.3024711906909943,29.73222839832306,0.0001349441340782123,2.2180633147113593e-05,0.00013308379888268156,0.8632131814956665,1.0,8,8,4718592,0
73,3.299220085144043,27.647742867469788,0.00013680446927374302,2.2490689013035384e-05,0.0001349441340782123,0.8043884038925171,1.0,8,8,4784128,0
74,3.2431717216968536,26.564992129802704,0.00013866480446927373,2.280074487895717e-05,0.00013680446927374302,0.8188340067863464,1.0,8,8,4849664,0
75,3.3959815204143524,32.054217875003815,0.00014052513966480445,2.7732960893854747e-05,0.00013866480446927373,0.8370310664176941,1.0,8,8,4915200,0
76,3.3164601624011993,28.483884572982788,0.0001423854748603352,2.342085661080074e-05,0.00014052513966480445,0.8194451928138733,1.0,8,8,4980736,0
77,3.2673539519309998,27.446534752845764,0.0001442458100558659,2.0340782122905027e-05,0.0001423854748603352,0.7780091166496277,1.0,8,8,5046272,0
78,3.304761126637459,27.907272458076477,0.00014610614525139667,2.4040968342644317e-05,0.0001442458100558659,0.8278725743293762,1.0,8,8,5111808,0
79,3.456774741411209,33.363338470458984,0.00014796648044692739,2.4351024208566112e-05,0.00014610614525139667,0.7838370203971863,1.0,8,8,5177344,0
80,3.488682806491852,34.27035892009735,0.00014982681564245813,2.4661080074487897e-05,0.00014796648044692739,0.8683804273605347,1.0,8,8,5242880,0
81,3.404095485806465,33.47604697942734,0.00015168715083798884,2.4971135940409688e-05,0.00014982681564245813,0.8488704562187195,1.0,8,8,5308416,0
82,3.2825343310832977,28.25424325466156,0.00015354748603351956,2.1669592976855547e-05,0.00015168715083798884,1.0317288637161255,0.9692468972877114,8,8,5373952,0
83,3.1969740837812424,26.20320850610733,0.0001554078212290503,2.559124767225326e-05,0.00015354748603351956,0.7943294048309326,1.0,8,8,5439488,0
84,3.2665850073099136,27.756519317626953,0.000157268156424581,2.5901303538175048e-05,0.0001554078212290503,0.8763135075569153,1.0,8,8,5505024,0
85,3.323573112487793,30.67493349313736,0.00015912849162011172,2.6211359404096836e-05,0.000157268156424581,0.9076511859893799,1.0,8,8,5570560,0
86,3.2082708701491356,27.617879509925842,0.00016098882681564244,2.2732641660015962e-05,0.00015912849162011172,0.8744387030601501,1.0,8,8,5636096,0
87,3.4447607696056366,32.32505202293396,0.0001628491620111732,2.2998403830806064e-05,0.00016098882681564244,0.7821589708328247,1.0,8,8,5701632,0
88,3.2948974817991257,28.49654722213745,0.00016470949720670392,2.3264166001596173e-05,0.0001628491620111732,0.7739602327346802,1.0,8,8,5767168,0
89,3.374515548348427,30.17538595199585,0.00016656983240223464,2.7451582867783988e-05,0.00016470949720670392,0.7872227430343628,1.0,8,8,5832704,0
90,3.313006043434143,30.32384490966797,0.00016843016759776535,2.7761638733705773e-05,0.00016656983240223464,0.8280527591705322,1.0,8,8,5898240,0
91,3.3463484048843384,31.683076083660126,0.0001702905027932961,2.8071694599627557e-05,0.00016843016759776535,0.8053691983222961,1.0,8,8,5963776,0
92,2.9226232171058655,19.270453572273254,0.00017215083798882683,2.838175046554935e-05,0.0001702905027932961,0.9016883373260498,1.0,8,8,6029312,0
93,3.2255184203386307,28.31883716583252,0.00017401117318435755,2.869180633147114e-05,0.00017215083798882683,0.8855129480361938,1.0,8,8,6094848,0
94,3.3338234573602676,28.632439255714417,0.00017587150837988826,2.4858739026336792e-05,0.00017401117318435755,0.810340404510498,1.0,8,8,6160384,0
95,3.2306148260831833,28.491578340530396,0.000177731843575419,2.931191806331471e-05,0.00017587150837988826,1.685233235359192,0.5933896739143445,8,8,6225920,0
96,3.3532077819108963,29.326247811317444,0.00017959217877094974,2.96219739292365e-05,0.000177731843575419,0.815363883972168,1.0,8,8,6291456,0
97,3.3072489202022552,27.931111335754395,0.00018145251396648046,2.993202979515829e-05,0.00017959217877094974,0.7519630193710327,1.0,8,8,6356992,0
98,3.3440864831209183,29.518695056438446,0.0001833128491620112,3.0242085661080076e-05,0.00018145251396648046,0.8549609780311584,1.0,8,8,6422528,0
99,3.271862655878067,27.41145658493042,0.0001851731843575419,3.0552141527001864e-05,0.0001833128491620112,0.7194013595581055,1.0,8,8,6488064,0
100,3.4639281928539276,33.52154850959778,0.00018703351955307263,3.086219739292365e-05,0.0001851731843575419,0.7691342830657959,1.0,8,8,6553600,0
101,3.3613113164901733,30.303290843963623,0.00018889385474860334,3.117225325884544e-05,0.00018703351955307263,0.7723175287246704,1.0,8,8,6619136,0
102,3.0258623212575912,22.082605242729187,0.00019075418994413408,3.148230912476722e-05,0.00018889385474860334,0.7880650758743286,1.0,8,8,6684672,0
103,3.2476124614477158,27.245093822479248,0.0001926145251396648,3.8150837988826813e-05,0.00019075418994413408,0.7611593008041382,1.0,8,8,6750208,0
104,3.302458494901657,28.298583984375,0.0001944748603351955,2.751636073423783e-05,0.0001926145251396648,1.1094106435775757,0.9013794899013635,8,8,6815744,0
105,3.193609818816185,33.52041059732437,0.00019633519553072625,2.778212290502793e-05,0.0001944748603351955,0.8059019446372986,1.0,8,8,6881280,0
106,3.326593115925789,30.34972310066223,0.00019819553072625702,3.272253258845437e-05,0.00019633519553072625,0.8074065446853638,1.0,8,8,6946816,0
