train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.4530151188373566,33.43573343753815,2.8603351955307265e-06,1.6666666666666665e-07,1e-06,1.5532763004302979,0.643800462108596,8,8,65536,0
2,3.493645578622818,36.48395174741745,4.7206703910614525e-06,4.767225325884544e-07,2.8603351955307265e-06,1.531674861907959,0.6528800758365119,8,8,131072,0
3,3.4758001416921616,33.82210683822632,6.581005586592179e-06,9.441340782122905e-07,4.7206703910614525e-06,1.4533652067184448,0.6880583045311874,8,8,196608,0
4,3.426766559481621,32.61063462495804,8.441340782122904e-06,1.3162011173184358e-06,6.581005586592179e-06,1.5100384950637817,0.6622347729996773,8,8,262144,0
5,3.5033400654792786,36.02768540382385,1.0301675977653632e-05,1.4068901303538173e-06,8.441340782122904e-06,1.2800979614257812,0.7811902136656889,8,8,327680,0
6,3.284921571612358,28.950786352157593,1.216201117318436e-05,1.7169459962756053e-06,1.0301675977653632e-05,1.1458004713058472,0.8727523029026564,8,8,393216,0
7,3.4182405322790146,31.685462296009064,1.4022346368715084e-05,2.0270018621973934e-06,1.216201117318436e-05,1.2190630435943604,0.8203021207588397,8,8,458752,0
8,3.367925137281418,30.578689754009247,1.5882681564245808e-05,2.3370577281191805e-06,1.4022346368715084e-05,1.305555820465088,0.7659572913879672,8,8,524288,0
9,3.336615741252899,29.447648584842682,1.774301675977654e-05,2.2689545091779725e-06,1.5882681564245808e-05,1.2968538999557495,0.7710968830284971,8,8,589824,0
10,3.5743031948804855,37.28433287143707,1.9603351955307267e-05,2.9571694599627564e-06,1.774301675977654e-05,1.2805142402648926,0.7809362586958462,8,8,655360,0
11,3.3856541514396667,30.889283180236816,2.146368715083799e-05,3.2672253258845443e-06,1.9603351955307267e-05,1.176974892616272,0.849635796203156,8,8,720896,0
12,3.240419089794159,27.391771376132965,2.332402234636872e-05,3.577281191806332e-06,2.146368715083799e-05,1.1452709436416626,0.8731558288027353,8,8,786432,0
13,3.3632898032665253,29.768003702163696,2.518435754189944e-05,3.88733705772812e-06,2.332402234636872e-05,1.1051266193389893,0.9048736882269891,8,8,851968,0
14,3.6037513315677643,37.85340428352356,2.7044692737430167e-05,3.5977653631284914e-06,2.518435754189944e-05,1.2012392282485962,0.8324736459507445,8,8,917504,0
15,3.5655050426721573,36.51091158390045,2.890502793296089e-05,3.8635275339185956e-06,2.7044692737430167e-05,1.241570234298706,0.8054316802818963,8,8,983040,0
16,3.334443509578705,30.41550987958908,3.076536312849162e-05,4.817504655493482e-06,2.890502793296089e-05,1.1436960697174072,0.8743581677658583,8,8,1048576,0
17,3.481875777244568,34.48927986621857,3.262569832402235e-05,5.12756052141527e-06,3.076536312849162e-05,1.106225609779358,0.903974732783985,8,8,1114112,0
18,3.4325672537088394,32.576045751571655,3.4486033519553074e-05,4.660814046288907e-06,3.262569832402235e-05,1.096828818321228,0.9117192977566517,8,8,1179648,0
19,3.4485295116901398,32.21468424797058,3.6346368715083795e-05,5.747672253258846e-06,3.4486033519553074e-05,1.074450969696045,0.9307078947324722,8,8,1245184,0
20,3.354521319270134,30.719749689102173,3.820670391061453e-05,5.192338387869113e-06,3.6346368715083795e-05,1.0867751836776733,0.9201535101446241,8,8,1310720,0
21,3.3706779181957245,31.139124929904938,4.006703910614525e-05,5.458100558659219e-06,3.820670391061453e-05,1.0642448663711548,0.9396333791196423,8,8,1376256,0
22,3.3960074484348297,31.18287354707718,4.192737430167598e-05,5.7238627294493215e-06,4.006703910614525e-05,1.0106077194213867,0.9895036231976838,8,8,1441792,0
23,3.426606774330139,33.34670490026474,4.3787709497206706e-05,8.385474860335195e-06,4.192737430167598e-05,1.0541281700134277,0.9486512441711078,8,8,1507328,0
24,3.4307089895009995,31.225777626037598,4.5648044692737433e-05,8.757541899441341e-06,4.3787709497206706e-05,1.0906223058700562,0.9169077091278834,8,8,1572864,0
25,3.4199158847332,32.739229798316956,4.750837988826816e-05,9.129608938547486e-06,4.5648044692737433e-05,0.9887361526489258,1.0,8,8,1638400,0
26,3.377805680036545,31.850979268550873,4.936871508379888e-05,7.91806331471136e-06,4.750837988826816e-05,0.993377685546875,1.0,8,8,1703936,0
27,3.2899496406316757,29.39672002196312,5.1229050279329616e-05,8.228119180633148e-06,4.936871508379888e-05,1.1479634046554565,0.8711079080950872,8,8,1769472,0
28,3.2961153239011765,28.000460982322693,5.308938547486034e-05,7.3184357541899454e-06,5.1229050279329616e-05,1.1428875923156738,0.8749766877536612,8,8,1835008,0
29,3.438470736145973,33.264443933963776,5.4949720670391065e-05,1.0617877094972067e-05,5.308938547486034e-05,1.0437853336334229,0.9580513998199572,8,8,1900544,0
30,3.5423216223716736,35.87317752838135,5.6810055865921786e-05,7.849960095770153e-06,5.4949720670391065e-05,1.0243730545043945,0.9762068570642335,8,8,1966080,0
31,3.4056315571069717,32.42172920703888,5.867039106145252e-05,8.115722266560255e-06,5.6810055865921786e-05,1.0140795707702637,0.9861159112390406,8,8,2031616,0
32,3.408247083425522,32.079681038856506,6.053072625698324e-05,9.778398510242087e-06,5.867039106145252e-05,0.9882900714874268,1.0,8,8,2097152,0
33,3.423861563205719,33.594449043273926,6.239106145251397e-05,1.0088454376163873e-05,6.053072625698324e-05,0.9569138288497925,1.0,8,8,2162688,0
