train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,0.7529271375387907,2.1960463374853134,2.6350245499181674e-06,1.6666666666666665e-07,1e-06,0.797011137008667,1.0,8,8,65536.0,0
2,0.8124288450926542,2.4340029507875443,4.270049099836334e-06,4.3917075831969456e-07,2.6350245499181674e-06,0.731620192527771,1.0,8,8,131072.0,0
3,0.7273088376969099,2.3974290266633034,5.9050736497545006e-06,8.540098199672669e-07,4.270049099836334e-06,0.7979547381401062,1.0,8,8,196608.0,0
4,0.8064011335372925,2.3112316951155663,7.540098199672669e-06,1.1810147299509001e-06,5.9050736497545006e-06,1.0353872776031494,0.9658221823180652,8,8,262144.0,0
5,0.6643681973218918,1.9940750151872635,9.175122749590834e-06,1.2566830332787782e-06,7.540098199672669e-06,0.6381493806838989,1.0,8,8,327680.0,0
6,0.6793423909693956,2.054213471710682,1.0810147299509e-05,1.5291871249318057e-06,9.175122749590834e-06,0.6836040616035461,1.0,8,8,393216.0,0
7,0.7299992982298136,2.282795839011669,1.2445171849427169e-05,1.8016912165848334e-06,1.0810147299509e-05,0.6872937083244324,1.0,8,8,458752.0,0
8,0.6705556102097034,2.009600155055523,1.4080196399345338e-05,2.0741953082378616e-06,1.2445171849427169e-05,0.778283953666687,1.0,8,8,524288.0,0
9,0.6911583617329597,2.0157975926995277,1.5715220949263505e-05,2.0114566284779057e-06,1.4080196399345338e-05,1.0105088949203491,0.9896003934510966,8,8,589824.0,0
10,0.7742411829531193,2.3160871267318726,1.735024549918167e-05,2.6192034915439175e-06,1.5715220949263505e-05,0.790834903717041,1.0,8,8,655360.0,0
11,0.7744100466370583,2.3457501009106636,1.8985270049099837e-05,2.891707583196945e-06,1.735024549918167e-05,0.8925492763519287,1.0,8,8,720896.0,0
12,0.7761825304478407,2.2690408378839493,2.0620294599018004e-05,3.164211674849973e-06,1.8985270049099837e-05,0.7948366403579712,1.0,8,8,786432.0,0
13,0.8337263464927673,2.3861496075987816,2.2255319148936174e-05,3.4367157665030006e-06,2.0620294599018004e-05,0.8297550678253174,1.0,8,8,851968.0,0
14,0.8101705051958561,2.3198002576828003,2.3890343698854337e-05,3.179331306990882e-06,2.2255319148936174e-05,0.9037673473358154,1.0,8,8,917504.0,0
15,0.6365498453378677,1.9096728935837746,2.5525368248772503e-05,3.412906242693477e-06,2.3890343698854337e-05,0.861356794834137,1.0,8,8,983040.0,0
16,1.0054528079926968,3.326249934732914,2.7160392798690676e-05,4.254228041462084e-06,2.5525368248772503e-05,0.7352022528648376,1.0,8,8,1048576.0,0
17,0.7647601328790188,2.2542882561683655,2.879541734860884e-05,4.526732133115112e-06,2.7160392798690676e-05,0.650587797164917,1.0,8,8,1114112.0,0
18,0.754733644425869,2.1928104758262634,3.0430441898527005e-05,4.113631049801263e-06,2.879541734860884e-05,0.7136606574058533,1.0,8,8,1179648.0,0
19,0.781424218788743,2.2904227524995804,3.206546644844517e-05,5.071740316421168e-06,3.0430441898527005e-05,0.5972400307655334,1.0,8,8,1245184.0,0
20,0.685243989340961,2.0630467757582664,3.3700490998363345e-05,4.580780921206452e-06,3.206546644844517e-05,0.6109687685966492,1.0,8,8,1310720.0,0
21,0.7935672271996737,2.427343226969242,3.533551554828151e-05,4.814355856909049e-06,3.3700490998363345e-05,0.6557202935218811,1.0,8,8,1376256.0,0
22,0.6980327647179365,2.046520449221134,3.697054009819968e-05,5.047930792611644e-06,3.533551554828151e-05,0.6301494836807251,1.0,8,8,1441792.0,0
23,0.6480247341096401,1.9862413108348846,3.860556464811784e-05,7.3941080196399356e-06,3.697054009819968e-05,0.5803836584091187,1.0,8,8,1507328.0,0
24,0.6693700794130564,1.9910995736718178,4.0240589198036004e-05,7.721112929623568e-06,3.860556464811784e-05,0.6192748546600342,1.0,8,8,1572864.0,0
