train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.452424943447113,33.517433881759644,6.581005586592179e-06,1.6666666666666665e-07,1e-06,2.5049989223480225,0.39920176854298445,8,8,65536.0,0
2,3.4954299181699753,36.46185678243637,1.216201117318436e-05,1.0968342644320298e-06,6.581005586592179e-06,1.5220222473144531,0.657020619615648,8,8,131072.0,0
3,3.4748241007328033,33.66300678253174,1.774301675977654e-05,2.432402234636872e-06,1.216201117318436e-05,1.4839249849319458,0.6738885119891603,8,8,196608.0,0
4,3.4010996371507645,31.712505280971527,2.332402234636872e-05,3.5486033519553077e-06,1.774301675977654e-05,1.3579007387161255,0.7364308535134522,8,8,262144.0,0
5,3.495792806148529,35.69732677936554,2.890502793296089e-05,3.88733705772812e-06,2.332402234636872e-05,1.2082022428512573,0.8276760003683282,8,8,327680.0,0
6,3.277573809027672,28.711152732372284,3.4486033519553074e-05,4.817504655493482e-06,2.890502793296089e-05,1.1252429485321045,0.8886969709995743,8,8,393216.0,0
7,3.4134444147348404,31.564275085926056,4.006703910614525e-05,5.747672253258846e-06,3.4486033519553074e-05,1.2987291812896729,0.7699834687676789,8,8,458752.0,0
8,3.3589079827070236,30.192614197731018,4.5648044692737433e-05,6.677839851024209e-06,4.006703910614525e-05,1.269993543624878,0.7874055777834613,8,8,524288.0,0
9,3.321065053343773,28.931607007980347,5.1229050279329616e-05,6.5211492418196335e-06,4.5648044692737433e-05,1.2797900438308716,0.7813781680984634,8,8,589824.0,0
10,3.56646429002285,36.9618273973465,5.6810055865921786e-05,8.538175046554935e-06,5.1229050279329616e-05,1.2090810537338257,0.8270744106948175,8,8,655360.0,0
11,3.377413123846054,30.64014744758606,6.239106145251397e-05,9.468342644320298e-06,5.6810055865921786e-05,1.1649681329727173,0.8583925789003198,8,8,720896.0,0
12,3.223956197500229,27.01848840713501,6.797206703910615e-05,1.0398510242085661e-05,6.239106145251397e-05,1.0390137434005737,0.9624511767535926,8,8,786432.0,0
13,3.3457458913326263,29.275737404823303,7.355307262569833e-05,1.1328677839851025e-05,6.797206703910615e-05,1.0026592016220093,0.9973478509759798,8,8,851968.0,0
14,3.591635599732399,37.40751051902771,7.91340782122905e-05,1.050758180367119e-05,7.355307262569833e-05,1.0814948081970215,0.9246461401568745,8,8,917504.0,0
15,3.550011530518532,35.97362947463989,8.471508379888269e-05,1.1304868316041501e-05,7.91340782122905e-05,1.1195616722106934,0.8932067118951121,8,8,983040.0,0
16,3.3206735998392105,29.937998980283737,9.029608938547487e-05,1.4119180633147115e-05,8.471508379888269e-05,0.9758468270301819,1.0,8,8,1048576.0,0
