train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.447091281414032,33.38208711147308,6.581005586592179e-06,1.6666666666666665e-07,1e-06,2.5059452056884766,0.39905102383308644,8,8,65536.0,0
2,3.490325227379799,36.24675500392914,1.216201117318436e-05,1.0968342644320298e-06,6.581005586592179e-06,1.5240929126739502,0.6561279772929921,8,8,131072.0,0
3,3.462782010436058,33.25090956687927,1.774301675977654e-05,2.432402234636872e-06,1.216201117318436e-05,1.4903312921524048,0.6709917487910242,8,8,196608.0,0
4,3.3903289139270782,31.416996657848358,2.332402234636872e-05,3.5486033519553077e-06,1.774301675977654e-05,1.3512345552444458,0.7400639630758661,8,8,262144.0,0
5,3.488164484500885,35.43668484687805,2.890502793296089e-05,3.88733705772812e-06,2.332402234636872e-05,1.2126606702804565,0.8246329946265195,8,8,327680.0,0
6,3.2742365300655365,28.631196975708008,3.4486033519553074e-05,4.817504655493482e-06,2.890502793296089e-05,1.1273436546325684,0.8870409620791628,8,8,393216.0,0
7,3.403443619608879,31.208207964897156,4.006703910614525e-05,5.747672253258846e-06,3.4486033519553074e-05,1.3029478788375854,0.7674904086657515,8,8,458752.0,0
8,3.357337146997452,30.125577867031097,4.5648044692737433e-05,6.677839851024209e-06,4.006703910614525e-05,1.2638261318206787,0.7912480797960715,8,8,524288.0,0
9,3.313387081027031,28.70760428905487,5.1229050279329616e-05,6.5211492418196335e-06,4.5648044692737433e-05,1.2775920629501343,0.7827224581296168,8,8,589824.0,0
10,3.5572709441184998,36.64267575740814,5.6810055865921786e-05,8.538175046554935e-06,5.1229050279329616e-05,1.211745023727417,0.8252561227139196,8,8,655360.0,0
11,3.3691537231206894,30.406726121902466,6.239106145251397e-05,9.468342644320298e-06,5.6810055865921786e-05,1.1645066738128662,0.858732734201435,8,8,720896.0,0
12,3.212573930621147,26.763511568307877,6.797206703910615e-05,1.0398510242085661e-05,6.239106145251397e-05,1.0336344242095947,0.9674600386531418,8,8,786432.0,0
13,3.340720236301422,29.118632555007935,7.355307262569833e-05,1.1328677839851025e-05,6.797206703910615e-05,1.008139967918396,0.9919257561663829,8,8,851968.0,0
14,3.5767977833747864,36.836397767066956,7.91340782122905e-05,1.050758180367119e-05,7.355307262569833e-05,1.0832493305206299,0.923148504987728,8,8,917504.0,0
15,3.543627515435219,35.72351336479187,8.471508379888269e-05,1.1304868316041501e-05,7.91340782122905e-05,1.1169180870056152,0.895320804303599,8,8,983040.0,0
16,3.3137660697102547,29.77086779475212,9.029608938547487e-05,1.4119180633147115e-05,8.471508379888269e-05,0.9739578366279602,1.0,8,8,1048576.0,0
17,3.4560012221336365,33.44046449661255,9.587709497206704e-05,1.5049348230912479e-05,9.029608938547487e-05,0.9975022673606873,1.0,8,8,1114112.0,0
18,3.4089458882808685,31.997470319271088,0.00010145810055865922,1.3696727853152434e-05,9.587709497206704e-05,0.9999080300331116,1.0,8,8,1179648.0,0
19,3.4260036051273346,31.531137943267822,0.0001070391061452514,1.6909683426443205e-05,0.00010145810055865922,0.9798607230186462,1.0,8,8,1245184.0,0
20,3.328640416264534,29.959752559661865,0.00011262011173184357,1.529130087789306e-05,0.0001070391061452514,0.9696611762046814,1.0,8,8,1310720.0,0
21,3.3516765981912613,30.54297661781311,0.00011820111731843576,1.6088587390263368e-05,0.00011262011173184357,0.9696492552757263,1.0,8,8,1376256.0,0
