train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,1.6266749985516071,12.033644445240498,3.79050279329609e-06,1.6666666666666665e-07,1e-06,0.7895771861076355,1.0,8,8,65536,0
2,2.3631563149392605,19.90519428253174,6.581005586592179e-06,6.317504655493483e-07,3.79050279329609e-06,0.9576883316040039,1.0,8,8,131072,0
3,1.9111328925937414,18.691205121576786,9.371508379888268e-06,1.3162011173184358e-06,6.581005586592179e-06,0.7199583053588867,1.0,8,8,196608,0
4,2.229553636163473,18.528184078633785,1.216201117318436e-05,1.8743016759776537e-06,9.371508379888268e-06,0.9248150587081909,1.0,8,8,262144,0
5,2.2254817318171263,17.658070169389248,1.4952513966480446e-05,2.0270018621973934e-06,1.216201117318436e-05,0.8871570229530334,1.0,8,8,327680,0
6,1.944844269193709,16.879272900521755,1.774301675977654e-05,2.4920856610800745e-06,1.4952513966480446e-05,0.7560359239578247,1.0,8,8,393216,0
7,2.466908250004053,22.115813210606575,2.0533519553072627e-05,2.9571694599627564e-06,1.774301675977654e-05,0.9064868092536926,1.0,8,8,458752,0
8,1.8211259797681123,14.630864828824997,2.332402234636872e-05,3.422253258845438e-06,2.0533519553072627e-05,0.8072594404220581,1.0,8,8,524288,0
9,2.1603685803711414,21.136230871081352,2.6114525139664807e-05,3.3320031923383886e-06,2.332402234636872e-05,0.7770802974700928,1.0,8,8,589824,0
10,2.3687129113823175,19.612086035311222,2.890502793296089e-05,4.352420856610801e-06,2.6114525139664807e-05,0.9242687225341797,1.0,8,8,655360,0
11,1.9015864878892899,15.668343998491764,3.169553072625698e-05,4.817504655493482e-06,2.890502793296089e-05,0.8040281534194946,1.0,8,8,720896,0
12,2.010919865220785,17.089719392359257,3.4486033519553074e-05,5.282588454376164e-06,3.169553072625698e-05,0.8011909127235413,1.0,8,8,786432,0
13,1.9114077165722847,15.913596369326115,3.727653631284917e-05,5.747672253258846e-06,3.4486033519553074e-05,0.9063758254051208,1.0,8,8,851968,0
14,2.6196032650768757,23.38648197054863,4.006703910614525e-05,5.325219473264168e-06,3.727653631284917e-05,0.8504262566566467,1.0,8,8,917504,0
15,1.534267745912075,11.204146154224873,4.285754189944134e-05,5.7238627294493215e-06,4.006703910614525e-05,0.7030717134475708,1.0,8,8,983040,0
16,2.0681932158768177,17.29997344315052,4.5648044692737433e-05,7.142923649906891e-06,4.285754189944134e-05,0.7623456120491028,1.0,8,8,1048576,0
17,2.3758910335600376,19.33680034428835,4.843854748603352e-05,7.6080074487895725e-06,4.5648044692737433e-05,0.8856294751167297,1.0,8,8,1114112,0
18,2.1812813077121973,19.0815190076828,5.1229050279329616e-05,6.919792498004788e-06,4.843854748603352e-05,0.8634775280952454,1.0,8,8,1179648,0
19,2.4045287035405636,21.176357999444008,5.40195530726257e-05,8.538175046554935e-06,5.1229050279329616e-05,0.9022311568260193,1.0,8,8,1245184,0
20,2.4796758871525526,23.4293899461627,5.6810055865921786e-05,7.7170790103751e-06,5.40195530726257e-05,0.9135028719902039,1.0,8,8,1310720,0
21,2.031258810311556,15.21961598098278,5.9600558659217884e-05,8.115722266560255e-06,5.6810055865921786e-05,0.7318784594535828,1.0,8,8,1376256,0
22,2.1152416057884693,16.375517688691616,6.239106145251397e-05,8.514365522745411e-06,5.9600558659217884e-05,0.7863503694534302,1.0,8,8,1441792,0
23,2.2823579534888268,24.964916467666626,6.518156424581007e-05,1.2478212290502793e-05,6.239106145251397e-05,0.7871893644332886,1.0,8,8,1507328,0
