train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.4470745474100113,33.38232600688934,6.581005586592179e-06,1.6666666666666665e-07,1e-06,2.4860424995422363,0.4022457380289079,8,8,65536,0
2,3.490336686372757,36.25109153985977,1.216201117318436e-05,1.0968342644320298e-06,6.581005586592179e-06,1.5186185836791992,0.6584931929231459,8,8,131072,0
3,3.4628308415412903,33.253507137298584,1.774301675977654e-05,2.432402234636872e-06,1.216201117318436e-05,1.4876248836517334,0.6722124716982328,8,8,196608,0
4,3.3902186304330826,31.413190066814423,2.332402234636872e-05,3.5486033519553077e-06,1.774301675977654e-05,1.349684238433838,0.7409140386492551,8,8,262144,0
5,3.4881817549467087,35.43598115444183,2.890502793296089e-05,3.88733705772812e-06,2.332402234636872e-05,1.207092523574829,0.8284369097388252,8,8,327680,0
6,3.274271935224533,28.63217157125473,3.4486033519553074e-05,4.817504655493482e-06,2.890502793296089e-05,1.1214879751205444,0.8916725120406415,8,8,393216,0
7,3.4031250029802322,31.198923647403717,4.006703910614525e-05,5.747672253258846e-06,3.4486033519553074e-05,1.2969683408737183,0.7710288435611057,8,8,458752,0
8,3.356955513358116,30.112092673778534,4.5648044692737433e-05,6.677839851024209e-06,4.006703910614525e-05,1.2626447677612305,0.7919883925645116,8,8,524288,0
9,3.3126833736896515,28.68761157989502,5.1229050279329616e-05,6.5211492418196335e-06,4.5648044692737433e-05,1.269175410270691,0.7879131536167495,8,8,589824,0
10,3.5566046983003616,36.61606705188751,5.6810055865921786e-05,8.538175046554935e-06,5.1229050279329616e-05,1.1995134353637695,0.8336713625019981,8,8,655360,0
11,3.3681631982326508,30.374099016189575,6.239106145251397e-05,9.468342644320298e-06,5.6810055865921786e-05,1.1478315591812134,0.8712079677548351,8,8,720896,0
12,3.211235284805298,26.72567182779312,6.797206703910615e-05,1.0398510242085661e-05,6.239106145251397e-05,1.0231627225875854,0.9773616433855368,8,8,786432,0
13,3.338950604200363,29.066262364387512,7.355307262569833e-05,1.1328677839851025e-05,6.797206703910615e-05,0.9979967474937439,1.0,8,8,851968,0
14,3.5742993652820587,36.74327063560486,7.91340782122905e-05,1.050758180367119e-05,7.355307262569833e-05,1.0679796934127808,0.9363473914035905,8,8,917504,0
15,3.5402926802635193,35.60319221019745,8.471508379888269e-05,1.1304868316041501e-05,7.91340782122905e-05,1.2027604579925537,0.8314207482911443,8,8,983040,0
16,3.309727668762207,29.649496644735336,9.029608938547487e-05,1.4119180633147115e-05,8.471508379888269e-05,0.943433940410614,1.0,8,8,1048576,0
17,3.4518043845891953,33.300875544548035,9.587709497206704e-05,1.5049348230912479e-05,9.029608938547487e-05,0.9615676403045654,1.0,8,8,1114112,0
18,3.4035939425230026,31.825969338417053,0.00010145810055865922,1.3696727853152434e-05,9.587709497206704e-05,0.9433107376098633,1.0,8,8,1179648,0
19,3.4196112602949142,31.326276183128357,0.0001070391061452514,1.6909683426443205e-05,0.00010145810055865922,0.9317209720611572,1.0,8,8,1245184,0
20,3.3217381089925766,29.751758992671967,0.00011262011173184357,1.529130087789306e-05,0.0001070391061452514,0.9257325530052185,1.0,8,8,1310720,0
21,3.3440608233213425,30.31049519777298,0.00011820111731843576,1.6088587390263368e-05,0.00011262011173184357,0.9209592938423157,1.0,8,8,1376256,0
22,3.3563587963581085,30.06905597448349,0.00012378212290502794,1.688587390263368e-05,0.00011820111731843576,0.9012097120285034,1.0,8,8,1441792,0
23,3.3927880078554153,32.105820536613464,0.00012936312849162014,2.475642458100559e-05,0.00012378212290502794,0.9104283452033997,1.0,8,8,1507328,0
24,3.3862375766038895,29.829102158546448,0.0001349441340782123,2.5872625698324027e-05,0.00012936312849162014,0.9060505628585815,1.0,8,8,1572864,0
25,3.3702332377433777,31.207361698150635,0.00014052513966480445,2.698882681564246e-05,0.0001349441340782123,0.9078059196472168,1.0,8,8,1638400,0
26,3.327480733394623,30.17627841234207,0.00014610614525139667,2.342085661080074e-05,0.00014052513966480445,0.8572026491165161,1.0,8,8,1703936,0
27,3.223067454993725,27.638021767139435,0.00015168715083798884,2.4351024208566112e-05,0.00014610614525139667,0.9674519300460815,1.0,8,8,1769472,0
28,3.212917521595955,25.991062581539154,0.000157268156424581,2.1669592976855547e-05,0.00015168715083798884,0.9230737686157227,1.0,8,8,1835008,0
