train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,3.447076603770256,33.378435254096985,6.581005586592179e-06,1.6666666666666665e-07,1e-06,2.5019004344940186,0.39969616145090087,8,8,65536.0,0
2,3.4902146607637405,36.24528360366821,1.216201117318436e-05,1.0968342644320298e-06,6.581005586592179e-06,1.5297141075134277,0.6537169233699888,8,8,131072.0,0
3,3.4627325534820557,33.25002384185791,1.774301675977654e-05,2.432402234636872e-06,1.216201117318436e-05,1.4928988218307495,0.6698377581764214,8,8,196608.0,0
4,3.3902479708194733,31.41466498374939,2.332402234636872e-05,3.5486033519553077e-06,1.774301675977654e-05,1.3511552810668945,0.7401073836677331,8,8,262144.0,0
5,3.4882852137088776,35.44108462333679,2.890502793296089e-05,3.88733705772812e-06,2.332402234636872e-05,1.212032437324524,0.825060426770924,8,8,327680.0,0
6,3.2742273062467575,28.629621982574463,3.4486033519553074e-05,4.817504655493482e-06,2.890502793296089e-05,1.124658465385437,0.8891588253473877,8,8,393216.0,0
7,3.4032631516456604,31.202409029006958,4.006703910614525e-05,5.747672253258846e-06,3.4486033519553074e-05,1.3026821613311768,0.7676469592378224,8,8,458752.0,0
8,3.3571800589561462,30.119731187820435,4.5648044692737433e-05,6.677839851024209e-06,4.006703910614525e-05,1.2624053955078125,0.7921385662305015,8,8,524288.0,0
9,3.313262850046158,28.704764902591705,5.1229050279329616e-05,6.5211492418196335e-06,4.5648044692737433e-05,1.278991460800171,0.7818660488738459,8,8,589824.0,0
10,3.55741323530674,36.64743769168854,5.6810055865921786e-05,8.538175046554935e-06,5.1229050279329616e-05,1.2131373882293701,0.8243089444788456,8,8,655360.0,0
11,3.36920402944088,30.40777826309204,6.239106145251397e-05,9.468342644320298e-06,5.6810055865921786e-05,1.1653399467468262,0.8581186998615735,8,8,720896.0,0
12,3.212581291794777,26.762180149555206,6.797206703910615e-05,1.0398510242085661e-05,6.239106145251397e-05,1.032107949256897,0.9688909001418086,8,8,786432.0,0
13,3.340667873620987,29.115745425224304,7.355307262569833e-05,1.1328677839851025e-05,6.797206703910615e-05,1.0043879747390747,0.995631195463874,8,8,851968.0,0
14,3.5765567123889923,36.827906250953674,7.91340782122905e-05,1.050758180367119e-05,7.355307262569833e-05,1.080081820487976,0.9258557833584113,8,8,917504.0,0
15,3.5435171723365784,35.72114396095276,8.471508379888269e-05,1.1304868316041501e-05,7.91340782122905e-05,1.1196882724761963,0.8931057193156107,8,8,983040.0,0
