run,id,state,steps,tokens,loss_start,loss_final,loss_min,nan_loss_rows,skipped_updates,gnorm_p50,gnorm_p99,gnorm_max,clip_active_frac,max_loss_jump,end_trend,FLAGS,unfreeze,loss_pre/post_unfreeze,gnorm_pre/post_unfreeze
rung1-k0,vqjjeikf,finished,1787,117112832,3.4246,2.7299,2.2183,0,0,0.677,1.151,3.43,0.017,+0.736@1371,2.7361->2.7249,final loss >> min loss,,,
rung1-k0-acc4v-tb2-rs-ep3-rcl,oxmqgn4t,finished,5361,351420416,3.4321,2.3123,1.7161,0,0,0.704,1.104,9.049,0.015,+0.731@1371,2.3193->2.3163,final loss >> min loss,,,
rung1-k0-acc4v-tb2-rs-nemo,hkac5c6e,finished,6103,399966208,0.733,0.803,0.4967,0,0,0.472,0.731,8.609,0.004,+0.443@1502,0.8435->0.8282,final loss >> min loss,,,
rung1-k0-acc4v-tb2-rs-nemo,pzty2693,failed,766,50200576,0.733,0.7644,0.4967,0,0,0.463,0.801,1.224,0.004,+0.406@288,0.7610->0.7757  [NOT IMPROVING],final loss >> min loss,,,
rung1-k0-acc4v-tb4-rs-ep3-rcl,lrb6kx50,finished,5361,351420416,3.4321,2.3128,1.7156,0,0,0.705,1.116,39.063,0.015,+0.731@1371,2.3200->2.3167,final loss >> min loss,,,
rung1-k0-ccot,p77qfbss,finished,1787,117112832,3.4189,2.7269,2.219,0,0,0.718,1.155,3.985,0.021,+0.742@1371,2.7414->2.7242,final loss >> min loss,,,
rung1-k0-ccot-v2,2ijnhgag,finished,1787,117112832,3.4189,2.7271,2.2192,0,0,0.72,1.219,10.998,0.024,+0.741@1371,2.7415->2.7243,final loss >> min loss,,,
rung1-k0-ci-cc1-len1024-ep4,1gl43v1f,finished,7148,117143552,3.3694,1.4372,1.0264,0,0,1.26,1.81,6.561,1.0,+0.901@1371,1.4191->1.4181,final loss >> min loss,,,
rung1-k0-ci-cc1-len1024-nemo,67c5k3d3,finished,7934,129990656,0.7743,0.9653,0.4425,0,0,0.957,1.28,9.647,0.314,+0.716@3319,1.0100->0.9742,final loss >> min loss,,,
rung1-k0-ki4-cc1-len1024-ep4,2ffu4zi3,finished,7148,117143552,3.3615,1.2958,0.8666,0,0,1.201,2.14,6.842,0.997,+0.904@1371,1.2779->1.2800  [NOT IMPROVING],final loss >> min loss,,,
rung1-k0-ki4-cc1-len1024-nemo,730t1n67,finished,7934,129990656,0.7717,0.9373,0.439,0,0,0.885,1.311,9.143,0.099,+0.676@3319,0.9804->0.9460,final loss >> min loss,,,
rung1-k0-rcl,xqz5wa4m,finished,1787,117112832,3.4319,2.7276,2.213,0,0,0.676,1.162,3.684,0.02,+0.738@1371,2.7330->2.7221,final loss >> min loss,,,
rung1-k0-v2,3xmco40n,finished,1787,117112832,3.4245,2.7301,2.219,0,0,0.676,1.153,3.632,0.019,+0.736@1371,2.7362->2.7250,final loss >> min loss,,,
rung1-k32-ga-rs-ep3-rcl,8scj7cxk,finished,5361,351420416,3.4334,2.3085,1.7237,0,0,0.68,1.102,19.223,0.014,+0.747@1371,2.3130->2.3133  [NOT IMPROVING],final loss >> min loss,,,
rung1-k32-ga-rs-ep3-rcl,eloflbkq,finished,5361,351420416,3.4335,2.3084,1.7252,0,0,0.68,1.101,18.931,0.014,+0.747@1371,2.3130->2.3134  [NOT IMPROVING],final loss >> min loss,,,
rung1-k32-ga-rs-ep3-rcl,q4kk24l7,failed,622,40763392,3.4334,2.9051,2.4461,0,0,0.733,1.526,19.166,0.069,+0.536@474,2.9674->2.9136,final loss >> min loss,,,
rung1-k32-ga-rs-nemo,muz52wz8,failed,334,21889024,0.7309,0.7094,0.4856,0,0,0.454,0.882,1.035,0.006,+0.426@288,0.7192->0.7393  [NOT IMPROVING],final loss >> min loss,,,
rung1-k4,00w5n2eh,finished,1787,117112832,3.4184,2.7287,2.2171,0,0,0.681,1.22,5.92,0.018,+0.737@1371,2.7353->2.7238,final loss >> min loss,,,
rung1-k4-rcl,jrq2y4xj,finished,1787,117112832,3.4257,2.7269,2.2121,0,0,0.68,1.213,4.008,0.02,+0.739@1371,2.7326->2.7214,final loss >> min loss,,,
rung1-k4-ri1e-3,o37dqxjn,finished,1787,117112832,3.4194,2.7288,2.2169,0,0,0.681,1.219,3.549,0.021,+0.736@1371,2.7352->2.7237,final loss >> min loss,,,
rung1-k4-v2,mt5z9csm,finished,1787,117112832,3.4184,2.7288,2.2179,0,0,0.681,1.212,3.875,0.018,+0.736@1371,2.7353->2.7238,final loss >> min loss,,,
rung1b-k4-lora16-a32,c24fysea,finished,1787,117112832,3.4182,2.7129,2.205,0,0,0.647,1.203,3.839,0.019,+0.733@1371,2.7212->2.7087,final loss >> min loss,,,
rung2-k4-unfreeze500,8cb7qoxf,finished,1787,117112832,3.4184,2.698,2.1928,0,0,0.889,1.353,5.255,0.098,+0.733@1371,2.7049->2.6933,final loss >> min loss,500.0,2.922/2.890,0.727/1.065
rung3-k4-l2sp1e-3,erf6e4ru,finished,1787,117112832,3.4184,2.7114,2.2039,0,0,0.89,1.351,9.935,0.095,+0.731@1371,2.7181->2.7067,final loss >> min loss,500.0,2.923/2.891,0.717/1.057
