train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,10.396988868713379,34638.1787109375,0.00025075,1e-06,1e-06,78.65611267089844,0.012713570071585448,1,1,16384.0,0
2,10.114351511001587,26660.03271484375,0.0005005,0.00025075,0.00025075,80.14717864990234,0.012477045565985199,1,1,32768.0,0
3,9.622525453567505,15939.920166015625,0.0007502499999999999,0.0005005,0.0005005,72.62728881835938,0.013768929231283618,1,1,49152.0,0
4,9.691935777664185,18076.44140625,0.001,0.0007502499999999999,0.0007502499999999999,51.16608428955078,0.01954419639269136,1,1,65536.0,0
5,9.811351537704468,21008.272705078125,0.001,0.001,0.001,47.15812301635742,0.021205254493549614,1,1,81920.0,0
6,8.901047229766846,8053.7269287109375,0.001,0.001,0.001,42.00358200073242,0.023807493370030658,1,1,98304.0,0
7,8.84504246711731,7556.546081542969,0.001,0.001,0.001,26.28877067565918,0.03803905524292408,1,1,114688.0,0
8,8.098707437515259,3330.3406982421875,0.001,0.001,0.001,34.39105987548828,0.02907732427033184,1,1,131072.0,0
9,8.152889966964722,5944.794769287109,0.001,0.001,0.001,20.75771713256836,0.04817485437408606,1,1,147456.0,0
10,7.490969896316528,1858.0264282226562,0.001,0.001,0.001,19.933130264282227,0.05016773515958152,1,1,163840.0,0
11,7.614378929138184,2222.9512939453125,0.001,0.001,0.001,15.401907920837402,0.06492702106386603,1,1,180224.0,0
12,7.1100616455078125,1248.1630096435547,0.001,0.001,0.001,15.0643310546875,0.0663819718492424,1,1,196608.0,0
13,7.549574494361877,1954.7332458496094,0.001,0.001,0.001,19.078536987304688,0.05241492052904117,1,1,212992.0,0
14,7.284372448921204,1658.6554260253906,0.001,0.001,0.001,9.806446075439453,0.10197374179259792,1,1,229376.0,0
15,7.192926049232483,1337.0615844726562,0.001,0.001,0.001,8.68198299407959,0.11518105952082651,1,1,245760.0,0
16,7.025468587875366,1806.0106048583984,0.001,0.001,0.001,27.437410354614258,0.036446588328690056,1,1,262144.0,0
17,6.780015349388123,901.2959136962891,0.001,0.001,0.001,16.33852767944336,0.06120502530090937,1,1,278528.0,0
18,6.436372637748718,648.6869888305664,0.001,0.001,0.001,11.297396659851074,0.08851596789141099,1,1,294912.0,0
19,6.793338894844055,925.4027404785156,0.001,0.001,0.001,10.60508918762207,0.0942943507884002,1,1,311296.0,0
20,6.7002153396606445,897.9878616333008,0.001,0.001,0.001,10.221412658691406,0.09783383504721224,1,1,327680.0,0
21,6.2840917110443115,573.6073303222656,0.001,0.001,0.001,12.679403305053711,0.07886806468261363,1,1,344064.0,0
22,6.521069765090942,687.4901885986328,0.001,0.001,0.001,14.602912902832031,0.06847948807569725,1,1,360448.0,0
23,6.633431434631348,857.1750335693359,0.001,0.001,0.001,15.79688835144043,0.06330360623893073,1,1,376832.0,0
24,5.9970927238464355,415.0575866699219,0.001,0.001,0.001,13.578155517578125,0.0736477055889762,1,1,393216.0,0
25,6.635062336921692,1011.797981262207,0.001,0.001,0.001,7.640279293060303,0.1308852676247285,1,1,409600.0,0
26,6.057275295257568,496.5545082092285,0.001,0.001,0.001,10.048377990722656,0.09951854925473229,1,1,425984.0,0
27,5.525759696960449,258.61689376831055,0.001,0.001,0.001,8.43605899810791,0.1185387632097129,1,1,442368.0,0
28,5.750018954277039,328.8257293701172,0.001,0.001,0.001,12.721344947814941,0.07860804058863953,1,1,458752.0,0
29,5.304202675819397,201.73417282104492,0.001,0.001,0.001,11.988541603088379,0.08341298158754404,1,1,475136.0,0
30,5.620487689971924,297.1915397644043,0.001,0.001,0.001,11.59978199005127,0.0862085167512268,1,1,491520.0,0
31,5.24676787853241,196.23163986206055,0.001,0.001,0.001,8.80654239654541,0.11355194297277917,1,1,507904.0,0
32,5.398687362670898,298.2174606323242,0.001,0.001,0.001,16.627777099609375,0.06014032988350754,1,1,524288.0,0
33,5.0572943687438965,160.80812454223633,0.001,0.001,0.001,7.720858573913574,0.12951927436911814,1,1,540672.0,0
34,4.993624448776245,155.00977516174316,0.001,0.001,0.001,7.066232204437256,0.14151813456850545,1,1,557056.0,0
35,4.892167091369629,140.3939437866211,0.001,0.001,0.001,7.076528549194336,0.14131222576834074,1,1,573440.0,0
36,4.853211760520935,130.87335968017578,0.001,0.001,0.001,17.069751739501953,0.058583160157261824,1,1,589824.0,0
37,5.0192670822143555,163.42741203308105,0.001,0.001,0.001,12.207964897155762,0.08191373487917714,1,1,606208.0,0
38,4.999753713607788,183.94605445861816,0.001,0.001,0.001,9.731472969055176,0.10275936676593232,1,1,622592.0,0
39,4.902362704277039,137.2696876525879,0.001,0.001,0.001,6.747716426849365,0.14819828468499682,1,1,638976.0,0
40,5.434101939201355,566.9520616531372,0.001,0.001,0.001,5.681009292602539,0.17602505971992732,1,1,655360.0,0
41,4.5862120389938354,109.27552604675293,0.001,0.001,0.001,6.633450984954834,0.15075109505865417,1,1,671744.0,0
42,4.925228476524353,216.65824508666992,0.001,0.001,0.001,16.23319435119629,0.06160217011916971,1,1,688128.0,0
43,3.988259792327881,59.59799003601074,0.001,0.001,0.001,6.581327438354492,0.15194503075049473,1,1,704512.0,0
44,5.003327369689941,273.921049118042,0.001,0.001,0.001,6.634319305419922,0.1507313642837325,1,1,720896.0,0
45,6.049214005470276,687.8503341674805,0.001,0.001,0.001,38.02142333984375,0.026300961725229385,1,1,737280.0,0
