train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,10.396988868713379,34638.1787109375,0.00025075,1e-06,1e-06,78.65005493164062,0.012714549288861222,1,1,16384.0,0
2,10.11550760269165,26717.582763671875,0.0005005,0.00025075,0.00025075,80.23661804199219,0.012463137460213405,1,1,32768.0,0
3,9.625709295272827,15976.450439453125,0.0007502499999999999,0.0005005,0.0005005,72.16671752929688,0.013856803166834146,1,1,49152.0,0
4,9.592478275299072,16991.5107421875,0.001,0.0007502499999999999,0.0007502499999999999,52.979671478271484,0.018875164229927518,1,1,65536.0,0
5,9.792174100875854,21405.859130859375,0.001,0.001,0.001,48.84186935424805,0.020474236822244068,1,1,81920.0,0
6,8.919708490371704,8396.962158203125,0.001,0.001,0.001,43.60775375366211,0.02293170167968119,1,1,98304.0,0
7,9.070417881011963,9959.795104980469,0.001,0.001,0.001,47.50565719604492,0.0210501245330258,1,1,114688.0,0
8,8.326445817947388,4217.301940917969,0.001,0.001,0.001,39.724205017089844,0.025173568598031413,1,1,131072.0,0
9,8.341338872909546,5829.473480224609,0.001,0.001,0.001,22.07611846923828,0.045297818155550916,1,1,147456.0,0
10,7.537599563598633,1943.6096496582031,0.001,0.001,0.001,17.67816925048828,0.056566943433484944,1,1,163840.0,0
11,7.659918785095215,2267.570770263672,0.001,0.001,0.001,14.43506145477295,0.06927577018865277,1,1,180224.0,0
12,7.231087923049927,1404.6446838378906,0.001,0.001,0.001,13.329517364501953,0.0750214709696122,1,1,196608.0,0
13,7.608842492103577,2101.0289916992188,0.001,0.001,0.001,15.300053596496582,0.06535924816818389,1,1,212992.0,0
14,7.434168100357056,1962.935531616211,0.001,0.001,0.001,11.4050931930542,0.08768012528024945,1,1,229376.0,0
15,7.258338570594788,1427.8625793457031,0.001,0.001,0.001,9.615392684936523,0.10399991271978899,1,1,245760.0,0
16,6.973605275154114,1568.9307250976562,0.001,0.001,0.001,17.401979446411133,0.05746472710644282,1,1,262144.0,0
17,6.770861744880676,885.969970703125,0.001,0.001,0.001,18.020530700683594,0.05549226138839576,1,1,278528.0,0
18,6.622100591659546,809.9106063842773,0.001,0.001,0.001,19.969715118408203,0.05007582702460007,1,1,294912.0,0
19,7.073298215866089,1307.82763671875,0.001,0.001,0.001,11.643793106079102,0.08588266648930963,1,1,311296.0,0
