train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,10.400068759918213,34926.38720703125,0.00025075,1e-06,1e-06,68.54750061035156,0.014588423955591642,1,1,16384.0,0
2,10.124644756317139,26755.94873046875,0.0005005,0.00025075,0.00025075,69.48665618896484,0.014391252289943913,1,1,32768.0,0
3,9.932726860046387,21452.430908203125,0.0007502499999999999,0.0005005,0.0005005,72.45883178710938,0.013800940138506194,1,1,49152.0,0
4,10.10399055480957,30198.039794921875,0.001,0.0007502499999999999,0.0007502499999999999,65.23811340332031,0.015328462885149732,1,1,65536.0,0
5,9.999658823013306,25257.348876953125,0.001,0.001,0.001,51.934326171875,0.01925508760218651,1,1,81920.0,0
6,9.138890266418457,12723.020141601562,0.001,0.001,0.001,56.602352142333984,0.017667110325828017,1,1,98304.0,0
7,9.063538789749146,9832.913818359375,0.001,0.001,0.001,41.956058502197266,0.02383446004461085,1,1,114688.0,0
8,8.320602416992188,4684.549133300781,0.001,0.001,0.001,37.91569900512695,0.026374299465367994,1,1,131072.0,0
9,8.575400114059448,6667.986511230469,0.001,0.001,0.001,34.83293533325195,0.028708461989574528,1,1,147456.0,0
10,7.4620325565338135,2081.376708984375,0.001,0.001,0.001,33.440982818603516,0.029903427343159938,1,1,163840.0,0
11,7.621791839599609,2444.949432373047,0.001,0.001,0.001,24.102895736694336,0.04148879084588807,1,1,180224.0,0
12,7.125847935676575,1282.378677368164,0.001,0.001,0.001,21.412601470947266,0.046701471624396446,1,1,196608.0,0
13,7.807429313659668,2660.0410766601562,0.001,0.001,0.001,28.524215698242188,0.03505793149858947,1,1,212992.0,0
14,7.39047908782959,1953.0907897949219,0.001,0.001,0.001,19.706371307373047,0.05074500954043244,1,1,229376.0,0
15,7.24784517288208,1524.7960052490234,0.001,0.001,0.001,23.966402053833008,0.04172507820547164,1,1,245760.0,0
16,6.924397587776184,1410.1639938354492,0.001,0.001,0.001,18.00545883178711,0.05553871241728811,1,1,262144.0,0
17,6.687248706817627,809.0304107666016,0.001,0.001,0.001,21.783523559570312,0.04590625558189905,1,1,278528.0,0
18,6.202324271202087,519.4206619262695,0.001,0.001,0.001,20.04071044921875,0.04989843062369744,1,1,294912.0,0
19,6.651718497276306,782.5725860595703,0.001,0.001,0.001,17.801542282104492,0.056174908002506185,1,1,311296.0,0
20,6.3443076610565186,634.984375,0.001,0.001,0.001,17.999279022216797,0.05555778088475814,1,1,327680.0,0
21,5.933790922164917,476.88303565979004,0.001,0.001,0.001,18.276887893676758,0.05471391003858565,1,1,344064.0,0
22,6.02976393699646,419.22168731689453,0.001,0.001,0.001,12.159421920776367,0.08224075178206076,1,1,360448.0,0
23,6.117341876029968,500.4759750366211,0.001,0.001,0.001,14.269800186157227,0.07007806605238977,1,1,376832.0,0
24,5.896324157714844,380.172119140625,0.001,0.001,0.001,22.47211265563965,0.04449959891728264,1,1,393216.0,0
25,6.132545232772827,527.1829833984375,0.001,0.001,0.001,16.881404876708984,0.059236776044606664,1,1,409600.0,0
26,5.792096257209778,384.34228134155273,0.001,0.001,0.001,13.390580177307129,0.07467936316117314,1,1,425984.0,0
27,5.25475013256073,200.63894081115723,0.001,0.001,0.001,10.792505264282227,0.09265689249273801,1,1,442368.0,0
28,4.769031345844269,150.49924755096436,0.001,0.001,0.001,14.896286964416504,0.06713082276064379,1,1,458752.0,0
29,4.967909336090088,148.62853813171387,0.001,0.001,0.001,23.10284996032715,0.04328470304387486,1,1,475136.0,0
30,5.1229976415634155,214.3440065383911,0.001,0.001,0.001,25.225189208984375,0.0396429137444802,1,1,491520.0,0
31,4.954544544219971,143.4946575164795,0.001,0.001,0.001,18.420381546020508,0.05428769200581425,1,1,507904.0,0
32,4.979415774345398,157.11101722717285,0.001,0.001,0.001,20.151958465576172,0.04962296849252459,1,1,524288.0,0
33,4.906704425811768,137.94309043884277,0.001,0.001,0.001,9.68497085571289,0.10325276295591793,1,1,540672.0,0
34,4.710970401763916,113.07817268371582,0.001,0.001,0.001,9.106868743896484,0.1098072266244202,1,1,557056.0,0
35,4.651012539863586,108.58553695678711,0.001,0.001,0.001,7.727031230926514,0.12941580926934665,1,1,573440.0,0
36,4.5836721658706665,99.51899909973145,0.001,0.001,0.001,8.812664031982422,0.11347306516743894,1,1,589824.0,0
37,4.719686269760132,120.25684356689453,0.001,0.001,0.001,9.432991981506348,0.10601090321717889,1,1,606208.0,0
38,4.447614312171936,89.33552837371826,0.001,0.001,0.001,7.188209533691406,0.13911670149747632,1,1,622592.0,0
39,4.6509153842926025,108.72193336486816,0.001,0.001,0.001,8.690377235412598,0.11506980340565244,1,1,638976.0,0
40,5.118983864784241,310.21509170532227,0.001,0.001,0.001,8.329752922058105,0.12005158008369847,1,1,655360.0,0
41,4.091023147106171,61.47254180908203,0.001,0.001,0.001,6.909175872802734,0.14473506224327756,1,1,671744.0,0
42,4.568440794944763,110.9523115158081,0.001,0.001,0.001,11.65426254272461,0.08580551504944282,1,1,688128.0,0
43,3.848593831062317,52.7123703956604,0.001,0.001,0.001,6.807309150695801,0.146900923384336,1,1,704512.0,0
44,4.706884741783142,150.5068244934082,0.001,0.001,0.001,6.948670387268066,0.14391242414263014,1,1,720896.0,0
45,4.744304418563843,127.2630844116211,0.001,0.001,0.001,10.089009284973145,0.09911775990625057,1,1,737280.0,0
46,4.381102681159973,83.94981670379639,0.001,0.001,0.001,6.363860130310059,0.15713733167028626,1,1,753664.0,0
47,4.335533857345581,83.90199756622314,0.001,0.001,0.001,6.1297407150268555,0.16313903743895236,1,1,770048.0,0
48,4.365509748458862,94.71952438354492,0.001,0.001,0.001,15.620399475097656,0.064018849299863,1,1,786432.0,0
49,3.9461790323257446,55.15653133392334,0.001,0.001,0.001,6.897799968719482,0.1449737604068992,1,1,802816.0,0
50,4.563143312931061,155.59490823745728,0.001,0.001,0.001,7.556861877441406,0.13233006189845123,1,1,819200.0,0
51,4.051380276679993,59.31907367706299,0.001,0.001,0.001,5.877431869506836,0.17014233804869913,1,1,835584.0,0
52,3.906624495983124,51.55979108810425,0.001,0.001,0.001,5.811766624450684,0.17206472052623858,1,1,851968.0,0
53,4.017795622348785,58.459776878356934,0.001,0.001,0.001,6.16216516494751,0.16228062267596746,1,1,868352.0,0
54,3.844761371612549,47.40573978424072,0.001,0.001,0.001,5.917634010314941,0.16898645611687807,1,1,884736.0,0
55,4.16972279548645,74.45107841491699,0.001,0.001,0.001,6.232254981994629,0.16045556590494156,1,1,901120.0,0
56,4.192957878112793,81.03608894348145,0.001,0.001,0.001,6.748595714569092,0.14817897564096463,1,1,917504.0,0
57,3.9771830439567566,76.96775102615356,0.001,0.001,0.001,5.850412845611572,0.17092810821888146,1,1,933888.0,0
58,3.5093286633491516,34.18193292617798,0.001,0.001,0.001,5.476107120513916,0.18261147526748353,1,1,950272.0,0
59,3.915406823158264,55.546793937683105,0.001,0.001,0.001,7.401223659515381,0.13511279296555445,1,1,966656.0,0
60,3.790964365005493,44.930458068847656,0.001,0.001,0.001,5.41187047958374,0.18477899716416185,1,1,983040.0,0
61,4.665899217128754,156.31957817077637,0.001,0.001,0.001,7.973517417907715,0.12541516467424724,1,1,999424.0,0
62,4.143774569034576,71.5789680480957,0.001,0.001,0.001,7.649419784545898,0.13072886940002515,1,1,1015808.0,0
63,4.817760348320007,190.3432264328003,0.001,0.001,0.001,7.309698581695557,0.1368045465655717,1,1,1032192.0,0
