train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,10.402951955795288,35054.41943359375,0.00025075,1e-06,1e-06,77.16281127929688,0.012959610768721324,1,1,16384.0,0
2,10.133408069610596,27075.678955078125,0.0005005,0.00025075,0.00025075,76.16165161132812,0.013129967363407978,1,1,32768.0,0
3,9.603217124938965,16819.952880859375,0.0007502499999999999,0.0005005,0.0005005,63.314510345458984,0.015794167790981042,1,1,49152.0,0
4,9.501272439956665,15382.612060546875,0.001,0.0007502499999999999,0.0007502499999999999,58.83176803588867,0.016997619371050706,1,1,65536.0,0
5,9.24815058708191,10821.501220703125,0.001,0.001,0.001,42.422576904296875,0.02357235399103464,1,1,81920.0,0
6,8.679670929908752,6505.26611328125,0.001,0.001,0.001,44.21844482421875,0.022614997066840992,1,1,98304.0,0
7,8.836288213729858,7407.161376953125,0.001,0.001,0.001,25.38095474243164,0.0393996210996811,1,1,114688.0,0
8,7.960816979408264,2901.5503540039062,0.001,0.001,0.001,22.708560943603516,0.04403625586330398,1,1,131072.0,0
9,8.0106520652771,4100.848205566406,0.001,0.001,0.001,23.18754005432129,0.04312661013877556,1,1,147456.0,0
10,7.238163232803345,1476.8513488769531,0.001,0.001,0.001,17.458492279052734,0.05727871479484945,1,1,163840.0,0
11,7.373942971229553,1638.71142578125,0.001,0.001,0.001,15.203512191772461,0.06577427553490532,1,1,180224.0,0
12,7.138491153717041,1290.157958984375,0.001,0.001,0.001,16.30391502380371,0.06133496148256042,1,1,196608.0,0
13,7.456812381744385,1764.918212890625,0.001,0.001,0.001,13.68623161315918,0.07306613158865707,1,1,212992.0,0
14,7.1789491176605225,1463.9037322998047,0.001,0.001,0.001,8.380563735961914,0.11932371514684287,1,1,229376.0,0
15,7.133143067359924,1261.9466857910156,0.001,0.001,0.001,9.39560317993164,0.10643276230905797,1,1,245760.0,0
16,6.844604015350342,1312.829490661621,0.001,0.001,0.001,14.47238540649414,0.06909710955812472,1,1,262144.0,0
17,6.66147768497467,793.8581390380859,0.001,0.001,0.001,10.688665390014648,0.09355704978229616,1,1,278528.0,0
18,6.349092602729797,598.6980972290039,0.001,0.001,0.001,10.336997985839844,0.09673988534870134,1,1,294912.0,0
19,6.742163419723511,873.8377227783203,0.001,0.001,0.001,9.83455753326416,0.10168225633105744,1,1,311296.0,0
20,6.646074414253235,854.7680206298828,0.001,0.001,0.001,9.549954414367676,0.10471254171594992,1,1,327680.0,0
21,6.074705243110657,515.8833198547363,0.001,0.001,0.001,13.15245532989502,0.07603143100793985,1,1,344064.0,0
22,6.431908130645752,632.8677978515625,0.001,0.001,0.001,25.32472038269043,0.03948710923116314,1,1,360448.0,0
23,6.513849854469299,734.0644378662109,0.001,0.001,0.001,14.318942070007324,0.06983756167954235,1,1,376832.0,0
24,5.899879455566406,376.8727035522461,0.001,0.001,0.001,13.956132888793945,0.07165308670877422,1,1,393216.0,0
25,6.558699607849121,832.5335083007812,0.001,0.001,0.001,10.032470703125,0.09967634390284456,1,1,409600.0,0
26,6.2637035846710205,597.7520370483398,0.001,0.001,0.001,20.931711196899414,0.04777440270378281,1,1,425984.0,0
27,5.601038694381714,277.3589553833008,0.001,0.001,0.001,12.12971305847168,0.08244218104578276,1,1,442368.0,0
28,5.373135209083557,252.49088668823242,0.001,0.001,0.001,16.284433364868164,0.061408338724104845,1,1,458752.0,0
29,5.157815456390381,177.93088912963867,0.001,0.001,0.001,25.642528533935547,0.03899771423385772,1,1,475136.0,0
30,5.411439418792725,263.1233139038086,0.001,0.001,0.001,28.719511032104492,0.034819534318745946,1,1,491520.0,0
31,5.108088374137878,167.11629486083984,0.001,0.001,0.001,12.409000396728516,0.08058666838817713,1,1,507904.0,0
32,5.226054668426514,206.69775009155273,0.001,0.001,0.001,27.54547691345215,0.036303600883076464,1,1,524288.0,0
33,5.147776246070862,177.83215522766113,0.001,0.001,0.001,13.97838020324707,0.07153904711846629,1,1,540672.0,0
34,4.907258152961731,136.60512924194336,0.001,0.001,0.001,9.732336044311523,0.10275025394179536,1,1,557056.0,0
35,4.7877339124679565,125.58105850219727,0.001,0.001,0.001,7.209048748016357,0.13871455651829534,1,1,573440.0,0
36,4.742913842201233,116.06593322753906,0.001,0.001,0.001,7.820986270904541,0.12786111180376955,1,1,589824.0,0
37,4.833965301513672,133.07522583007812,0.001,0.001,0.001,8.283095359802246,0.12072781448984232,1,1,606208.0,0
38,4.60862398147583,103.56335067749023,0.001,0.001,0.001,6.394189834594727,0.15639197863496418,1,1,622592.0,0
39,4.736119508743286,118.70357894897461,0.001,0.001,0.001,7.566427707672119,0.1321627640723904,1,1,638976.0,0
40,5.261394023895264,355.37878608703613,0.001,0.001,0.001,8.009552955627441,0.12485091309587808,1,1,655360.0,0
41,4.196492791175842,67.73503398895264,0.001,0.001,0.001,6.8336615562438965,0.14633443458816842,1,1,671744.0,0
42,4.630086302757263,119.19345760345459,0.001,0.001,0.001,8.824773788452148,0.1133173522598912,1,1,688128.0,0
43,3.904175102710724,55.252685546875,0.001,0.001,0.001,6.174226760864258,0.16196360106797564,1,1,704512.0,0
44,4.799970507621765,165.20518493652344,0.001,0.001,0.001,5.619680881500244,0.17794604730880367,1,1,720896.0,0
45,4.788301348686218,132.6961555480957,0.001,0.001,0.001,7.349663734436035,0.13606064659998998,1,1,737280.0,0
46,4.424458026885986,87.72740936279297,0.001,0.001,0.001,6.142215728759766,0.16280769744337145,1,1,753664.0,0
47,4.4003071784973145,89.38504886627197,0.001,0.001,0.001,5.721982479095459,0.17476460364099314,1,1,770048.0,0
48,4.443281531333923,104.49183177947998,0.001,0.001,0.001,17.428049087524414,0.05737876884428656,1,1,786432.0,0
49,3.9958173036575317,58.01733875274658,0.001,0.001,0.001,7.0942063331604,0.1409600951871904,1,1,802816.0,0
50,4.612070977687836,160.9712839126587,0.001,0.001,0.001,6.98520040512085,0.14315981532423278,1,1,819200.0,0
51,4.086281955242157,61.90892505645752,0.001,0.001,0.001,5.133335113525391,0.1948051272485581,1,1,835584.0,0
52,3.938197135925293,53.23110914230347,0.001,0.001,0.001,5.5485663414001465,0.1802267357854959,1,1,851968.0,0
53,4.023278176784515,59.052186012268066,0.001,0.001,0.001,5.769523620605469,0.1733245352230457,1,1,868352.0,0
54,3.8751561045646667,49.01766777038574,0.001,0.001,0.001,5.496451377868652,0.18193556737830838,1,1,884736.0,0
55,4.178089737892151,75.44674301147461,0.001,0.001,0.001,5.736425399780273,0.17432458897454317,1,1,901120.0,0
56,4.182251453399658,80.95137977600098,0.001,0.001,0.001,5.860368251800537,0.17063774101441317,1,1,917504.0,0
57,4.008999526500702,81.26840496063232,0.001,0.001,0.001,5.797464370727539,0.172489201494538,1,1,933888.0,0
58,3.519060254096985,34.467674255371094,0.001,0.001,0.001,5.273612976074219,0.18962331982583788,1,1,950272.0,0
59,3.9159560799598694,55.551143646240234,0.001,0.001,0.001,6.864309787750244,0.14568107077341,1,1,966656.0,0
60,3.782749831676483,44.69801998138428,0.001,0.001,0.001,4.851574897766113,0.20611863592175803,1,1,983040.0,0
61,4.648965120315552,152.45697927474976,0.001,0.001,0.001,6.93046760559082,0.1442904082248583,1,1,999424.0,0
62,4.135951280593872,71.48323631286621,0.001,0.001,0.001,7.878002166748047,0.1269357355879812,1,1,1015808.0,0
63,4.8417481780052185,196.97587394714355,0.001,0.001,0.001,7.446687698364258,0.1342878928868638,1,1,1032192.0,0
64,3.633250594139099,41.87284326553345,0.001,0.001,0.001,5.368971824645996,0.18625540097069682,1,1,1048576.0,0
65,3.2475894689559937,27.391387462615967,0.001,0.001,0.001,5.941728115081787,0.1683012047389965,1,1,1064960.0,0
66,3.5967454314231873,39.72740697860718,0.001,0.001,0.001,6.1009392738342285,0.1639091876047097,1,1,1081344.0,0
67,3.9490623474121094,54.80085611343384,0.001,0.001,0.001,5.574944496154785,0.17937398312925842,1,1,1097728.0,0
68,3.2864914536476135,28.22880506515503,0.001,0.001,0.001,4.627675533294678,0.21609120881641264,1,1,1114112.0,0
69,3.5441166162490845,39.3030424118042,0.001,0.001,0.001,5.188767910003662,0.19272397943871447,1,1,1130496.0,0
70,3.2315914630889893,32.20054221153259,0.001,0.001,0.001,6.017721652984619,0.16617584821389375,1,1,1146880.0,0
71,3.1838021874427795,24.250208854675293,0.001,0.001,0.001,4.354455947875977,0.2296498143442126,1,1,1163264.0,0
72,3.431018114089966,31.543479919433594,0.001,0.001,0.001,5.905136585235596,0.16934409315782725,1,1,1179648.0,0
73,3.7317007184028625,42.938560485839844,0.001,0.001,0.001,4.871297836303711,0.20528410160988722,1,1,1196032.0,0
74,3.674931764602661,45.70060157775879,0.001,0.001,0.001,5.2318339347839355,0.19113756523334813,1,1,1212416.0,0
75,3.464107573032379,33.52052402496338,0.001,0.001,0.001,3.8274059295654297,0.2612735671111009,1,1,1228800.0,0
76,2.868549644947052,18.518453121185303,0.001,0.001,0.001,4.210544109344482,0.23749899633647284,1,1,1245184.0,0
77,3.2964596152305603,28.109808921813965,0.001,0.001,0.001,5.797914028167725,0.17247582408803855,1,1,1261568.0,0
78,3.064559578895569,25.875502109527588,0.001,0.001,0.001,5.28868293762207,0.1890829932129448,1,1,1277952.0,0
79,3.0569105744361877,21.756980419158936,0.001,0.001,0.001,4.016470432281494,0.24897481927477216,1,1,1294336.0,0
80,2.9077917337417603,20.214093685150146,0.001,0.001,0.001,5.214325904846191,0.1917793437250266,1,1,1310720.0,0
81,3.5858113765716553,59.11081671714783,0.001,0.001,0.001,5.678212642669678,0.17611175609824684,1,1,1327104.0,0
82,2.972959280014038,19.757059812545776,0.001,0.001,0.001,4.548128604888916,0.2198706516180855,1,1,1343488.0,0
83,2.9128369092941284,19.608771324157715,0.001,0.001,0.001,6.285458087921143,0.15909739370015935,1,1,1359872.0,0
84,2.8946754932403564,18.77719473838806,0.001,0.001,0.001,3.3788998126983643,0.2959543210608282,1,1,1376256.0,0
85,2.9494548439979553,21.907500505447388,0.001,0.001,0.001,4.622163772583008,0.2163488896545422,1,1,1392640.0,0
86,2.8571648001670837,17.97546696662903,0.001,0.001,0.001,3.38434100151062,0.29547849922727903,1,1,1409024.0,0
87,2.9643331170082092,21.449790477752686,0.001,0.001,0.001,5.2086005210876465,0.19199015089584767,1,1,1425408.0,0
88,2.760551869869232,16.314149618148804,0.001,0.001,0.001,3.6711366176605225,0.2723952018535856,1,1,1441792.0,0
89,2.8839882612228394,22.67906665802002,0.001,0.001,0.001,5.020995140075684,0.19916370601878883,1,1,1458176.0,0
90,2.725160539150238,15.95599102973938,0.001,0.001,0.001,3.5298092365264893,0.28330142877176195,1,1,1474560.0,0
91,2.9731757044792175,22.39522409439087,0.001,0.001,0.001,3.434544324874878,0.29115943933439825,1,1,1490944.0,0
92,2.7384888529777527,16.42792272567749,0.001,0.001,0.001,4.044504165649414,0.24724909631516864,1,1,1507328.0,0
93,2.8217572569847107,19.822200775146484,0.001,0.001,0.001,4.715394973754883,0.21207131227937942,1,1,1523712.0,0
