train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
10001,1.8239773213863373,6.628002643585205,0.001,0.001,0.001,1.0186229944229126,0.98171748082867,2,2,163856384.0,0
10002,1.2816854417324066,4.029140651226044,0.001,0.001,0.001,0.8231397867202759,1.0,2,2,163872768.0,0
10003,1.3145215809345245,3.8250865936279297,0.001,0.001,0.001,0.7959721088409424,1.0,2,2,163889152.0,0
10004,1.5353955924510956,4.784438669681549,0.001,0.001,0.001,0.8970180153846741,1.0,2,2,163905536.0,0
10005,1.359642654657364,4.14953738451004,0.001,0.001,0.001,0.8530507683753967,1.0,2,2,163921920.0,0
10006,1.501608669757843,4.9668079018592834,0.001,0.001,0.001,0.8915175199508667,1.0,2,2,163938304.0,0
10007,1.0927191227674484,3.213075876235962,0.001,0.001,0.001,0.8083775639533997,1.0,2,2,163954688.0,0
10008,1.3195910155773163,3.9083735942840576,0.001,0.001,0.001,0.8810253739356995,1.0,2,2,163971072.0,0
10009,1.1928483694791794,3.357256054878235,0.001,0.001,0.001,0.7816938161849976,1.0,2,2,163987456.0,0
10010,1.441926896572113,4.440752744674683,0.001,0.001,0.001,0.8605998158454895,1.0,2,2,164003840.0,0
10011,1.2510636076331139,4.074100136756897,0.001,0.001,0.001,1.111358404159546,0.8997997372011961,2,2,164020224.0,0
10012,1.2963796555995941,3.740502655506134,0.001,0.001,0.001,0.8791330456733704,1.0,2,2,164036608.0,0
10013,1.171905517578125,3.28847736120224,0.001,0.001,0.001,0.8506917357444763,1.0,2,2,164052992.0,0
10014,1.4479919523000717,4.538528084754944,0.001,0.001,0.001,0.9483887553215027,1.0,2,2,164069376.0,0
10015,1.4132598042488098,4.599318563938141,0.001,0.001,0.001,1.3150814771652222,0.760409158947954,2,2,164085760.0,0
10016,1.1238934099674225,3.1297967433929443,0.001,0.001,0.001,0.8703858256340027,1.0,2,2,164102144.0,0
10017,1.1202435344457626,3.1340564489364624,0.001,0.001,0.001,0.8560757637023926,1.0,2,2,164118528.0,0
10018,1.260761022567749,3.6609119176864624,0.001,0.001,0.001,0.7789126038551331,1.0,2,2,164134912.0,0
10019,1.5511430501937866,4.8613563776016235,0.001,0.001,0.001,0.9265258312225342,1.0,2,2,164151296.0,0
10020,1.4991215467453003,5.117156147956848,0.001,0.001,0.001,0.8856796026229858,1.0,2,2,164167680.0,0
10021,1.6915268152952194,10.344663619995117,0.001,0.001,0.001,1.4051978588104248,0.7116435551971605,2,2,164184064.0,0
10022,1.0880678445100784,2.9999650716781616,0.001,0.001,0.001,0.8214367628097534,1.0,2,2,164200448.0,0
10023,1.3632749617099762,3.9528022408485413,0.001,0.001,0.001,0.8972806930541992,1.0,2,2,164216832.0,0
10024,1.1973486244678497,3.4366307258605957,0.001,0.001,0.001,0.8400953412055969,1.0,2,2,164233216.0,0
10025,1.4446027427911758,4.760729908943176,0.001,0.001,0.001,0.8908847570419312,1.0,2,2,164249600.0,0
10026,1.3921231925487518,4.573955595493317,0.001,0.001,0.001,0.880244255065918,1.0,2,2,164265984.0,0
10027,1.269884467124939,3.8924241065979004,0.001,0.001,0.001,0.8887348771095276,1.0,2,2,164282368.0,0
10028,1.3952860832214355,4.512903153896332,0.001,0.001,0.001,0.8508321642875671,1.0,2,2,164298752.0,0
10029,1.479461669921875,4.66835755109787,0.001,0.001,0.001,0.9643992185592651,1.0,2,2,164315136.0,0
10030,1.5167400240898132,5.1297736167907715,0.001,0.001,0.001,0.972517192363739,1.0,2,2,164331520.0,0
10031,1.1480324566364288,3.1937713027000427,0.001,0.001,0.001,0.8049526810646057,1.0,2,2,164347904.0,0
10032,2.2155463695526123,11.589046478271484,0.001,0.001,0.001,1.1507811546325684,0.8689749532076929,2,2,164364288.0,0
10033,1.5819270014762878,5.1464733481407166,0.001,0.001,0.001,1.075427532196045,0.9298627476618994,2,2,164380672.0,0
10034,0.9202075749635696,2.5328896045684814,0.001,0.001,0.001,0.8858805894851685,1.0,2,2,164397056.0,0
10035,1.3506956696510315,4.409228801727295,0.001,0.001,0.001,1.0274913311004639,0.9732442208811695,2,2,164413440.0,0
10036,1.2015318274497986,3.3625136017799377,0.001,0.001,0.001,0.8156599998474121,1.0,2,2,164429824.0,0
10037,1.3138682693243027,4.1420329213142395,0.001,0.001,0.001,0.8043769598007202,1.0,2,2,164446208.0,0
10038,1.2054069638252258,3.7767359912395477,0.001,0.001,0.001,0.7989052534103394,1.0,2,2,164462592.0,0
10039,1.2788810431957245,3.6122260093688965,0.001,0.001,0.001,0.8558193445205688,1.0,2,2,164478976.0,0
10040,1.5781336724758148,6.442393124103546,0.001,0.001,0.001,0.8665695190429688,1.0,2,2,164495360.0,0
10041,1.1852437257766724,3.4739818572998047,0.001,0.001,0.001,0.820527970790863,1.0,2,2,164511744.0,0
10042,1.6398202031850815,6.004445850849152,0.001,0.001,0.001,0.9129215478897095,1.0,2,2,164528128.0,0
10043,1.4548137485980988,4.918093979358673,0.001,0.001,0.001,0.9186304211616516,1.0,2,2,164544512.0,0
10044,1.6139350831508636,5.712107002735138,0.001,0.001,0.001,0.8669049739837646,1.0,2,2,164560896.0,0
10045,1.176470696926117,3.320103943347931,0.001,0.001,0.001,0.793673574924469,1.0,2,2,164577280.0,0
10046,1.209128975868225,3.4749064445495605,0.001,0.001,0.001,0.8568890690803528,1.0,2,2,164593664.0,0
10047,1.3492163866758347,4.047725141048431,0.001,0.001,0.001,0.9408372044563293,1.0,2,2,164610048.0,0
10048,1.2142232358455658,3.4438130855560303,0.001,0.001,0.001,0.8304112553596497,1.0,2,2,164626432.0,0
10049,1.4227710217237473,4.476002752780914,0.001,0.001,0.001,0.8313198685646057,1.0,2,2,164642816.0,0
10050,1.486558586359024,4.501696944236755,0.001,0.001,0.001,0.9257687330245972,1.0,2,2,164659200.0,0
10051,1.2364749312400818,3.464444100856781,0.001,0.001,0.001,0.8779783248901367,1.0,2,2,164675584.0,0
10052,1.399858295917511,4.61207515001297,0.001,0.001,0.001,0.8900027275085449,1.0,2,2,164691968.0,0
