train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
287249,2.6773683428764343,15.52440869808197,2.4441683041787883e-05,2.4444277699287392e-05,2.4444277699287392e-05,2.5467021465301514,0.3926646865092152,8,8,4706287616.0,0
287250,2.0086070001125336,10.04964417219162,2.4439088524425936e-05,2.4441683041787883e-05,2.4441683041787883e-05,1.543533444404602,0.6478641610419327,8,8,4706304000.0,0
287251,2.5805409848690033,16.759714663028717,2.4436494147202443e-05,2.4439088524425936e-05,2.4439088524425936e-05,1.8289815187454224,0.5467523809018019,8,8,4706320384.0,0
287252,1.7724485099315643,7.9766600131988525,2.4433899910118017e-05,2.4436494147202443e-05,2.4436494147202443e-05,3.868161678314209,0.25852073495427247,8,8,4706336768.0,0
287253,1.2424185574054718,6.9449822306633,2.44313058131736e-05,2.4433899910118017e-05,2.4433899910118017e-05,2.382059097290039,0.4198048659402426,8,8,4706353152.0,0
287254,1.9699349403381348,10.469294548034668,2.4428711856369743e-05,2.44313058131736e-05,2.44313058131736e-05,3.2404518127441406,0.3085989416867312,8,8,4706369536.0,0
287255,2.8211617469787598,16.922496795654297,2.4426118039707392e-05,2.4428711856369743e-05,2.4428711856369743e-05,2.255666494369507,0.44332794874406817,8,8,4706385920.0,0
287256,2.8205816745758057,17.814622163772583,2.442352436318726e-05,2.4426118039707392e-05,2.4426118039707392e-05,3.466562271118164,0.28847022548282525,8,8,4706402304.0,0
287257,1.5826342701911926,6.67632257938385,2.4420930826810192e-05,2.442352436318726e-05,2.442352436318726e-05,1.9593970775604248,0.5103610755837984,8,8,4706418688.0,0
287258,2.414840780198574,17.176517874002457,2.441833743057673e-05,2.4420930826810192e-05,2.4420930826810192e-05,2.7402749061584473,0.3649268902737649,8,8,4706435072.0,0
287259,1.3744405657052994,5.75544810295105,2.4415744174487826e-05,2.441833743057673e-05,2.441833743057673e-05,1.7718671560287476,0.5643763961631958,8,8,4706451456.0,0
287260,0.8274845406413078,2.33753502368927,2.4413151058544086e-05,2.4415744174487826e-05,2.4415744174487826e-05,1.175994634628296,0.8503440156555017,8,8,4706467840.0,0
287261,2.7123590111732483,21.379692494869232,2.44105580827464e-05,2.4413151058544086e-05,2.4413151058544086e-05,9.738011360168457,0.10269037106387174,8,8,4706484224.0,0
287262,1.4937591850757599,7.098941922187805,2.4407965247095538e-05,2.44105580827464e-05,2.44105580827464e-05,1.4269534349441528,0.7007937158358896,8,8,4706500608.0,0
