train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
85351,2.893726348876953,18.30045247077942,0.001,0.001,0.001,1.4745153188705444,0.6781889528047128,8,8,1398390784,0
85352,2.8299262523651123,17.26227569580078,0.001,0.001,0.001,1.3976167440414429,0.7155037346702193,8,8,1398407168,0
85353,2.8338539600372314,17.02058982849121,0.001,0.001,0.001,1.3415346145629883,0.7454149815769082,8,8,1398423552,0
85354,2.71906179189682,16.50512981414795,0.001,0.001,0.001,1.4651798009872437,0.6825100914751306,8,8,1398439936,0
85355,2.895411968231201,18.498881101608276,0.001,0.001,0.001,1.6375073194503784,0.6106842932067226,8,8,1398456320,0
85356,2.7227240800857544,15.38018012046814,0.001,0.001,0.001,1.4049324989318848,0.7117779685212984,8,8,1398472704,0
85357,3.021345615386963,20.79959535598755,0.001,0.001,0.001,1.4486916065216064,0.6902780381259807,8,8,1398489088,0
85358,2.937676727771759,19.08482313156128,0.001,0.001,0.001,1.5002894401550293,0.6665380514149326,8,8,1398505472,0
85359,2.778334617614746,16.30497407913208,0.001,0.001,0.001,1.7963378429412842,0.5566881552537273,8,8,1398521856,0
85360,3.0012548565864563,20.3997859954834,0.001,0.001,0.001,1.5251938104629517,0.655654378570949,8,8,1398538240,0
85361,3.11690616607666,27.05156683921814,0.001,0.001,0.001,1.5092917680740356,0.6625624157981124,8,8,1398554624,0
85362,3.0094974637031555,23.359145402908325,0.001,0.001,0.001,5.325371742248535,0.187780318144998,8,8,1398571008,0
85363,2.6807183623313904,15.074989318847656,0.001,0.001,0.001,1.561721920967102,0.6403188599543419,8,8,1398587392,0
85364,2.7544291615486145,16.06933832168579,0.001,0.001,0.001,1.5907340049743652,0.6286406129951855,8,8,1398603776,0
85365,2.9255489706993103,18.972753047943115,0.001,0.001,0.001,1.55104660987854,0.6447259506132208,8,8,1398620160,0
85366,2.8117754459381104,18.247344970703125,0.001,0.001,0.001,1.4430913925170898,0.6929568045271702,8,8,1398636544,0
85367,2.920973539352417,18.93922781944275,0.001,0.001,0.001,1.6302664279937744,0.61339667113798,8,8,1398652928,0
85368,2.843846380710602,18.119876384735107,0.001,0.001,0.001,1.412556767463684,0.7079361502722766,8,8,1398669312,0
85369,2.445171356201172,12.834779858589172,0.001,0.001,0.001,1.4093786478042603,0.7095325316282031,8,8,1398685696,0
85370,2.9833022356033325,20.020874738693237,0.001,0.001,0.001,1.4504365921020508,0.6894475811245611,8,8,1398702080,0
85371,2.9034584164619446,18.946237802505493,0.001,0.001,0.001,1.379062533378601,0.7251302792987558,8,8,1398718464,0
85372,3.0288659930229187,20.74782943725586,0.001,0.001,0.001,1.5246391296386719,0.6558929129913756,8,8,1398734848,0
85373,2.8325151801109314,17.99322485923767,0.001,0.001,0.001,2.0073342323303223,0.49817314122053197,8,8,1398751232,0
85374,2.7346460223197937,16.36408543586731,0.001,0.001,0.001,1.4785178899765015,0.6763529929389065,8,8,1398767616,0
85375,2.8809980750083923,17.939499616622925,0.001,0.001,0.001,1.340463399887085,0.7460106707005127,8,8,1398784000,0
85376,2.8065410256385803,17.583113431930542,0.001,0.001,0.001,1.5326392650604248,0.6524692553533934,8,8,1398800384,0
85377,2.865965962409973,17.71711301803589,0.001,0.001,0.001,3.0395665168762207,0.32899428074611653,8,8,1398816768,0
85378,2.943312108516693,19.038724899291992,0.001,0.001,0.001,1.5720857381820679,0.6360976222300357,8,8,1398833152,0
85379,2.9313636422157288,18.911788940429688,0.001,0.001,0.001,5.779681205749512,0.1730199234873105,8,8,1398849536,0
85380,3.054352879524231,21.926819324493408,0.001,0.001,0.001,1.7102999687194824,0.5846927546564388,8,8,1398865920,0
85381,2.8319687843322754,17.029558658599854,0.001,0.001,0.001,1.41937255859375,0.704536658782561,8,8,1398882304,0
85382,3.0671427249908447,21.72698163986206,0.001,0.001,0.001,1.4965286254882812,0.6682130785657747,8,8,1398898688,0
85383,2.8746173977851868,17.952440977096558,0.001,0.001,0.001,1.4465463161468506,0.6913017501319955,8,8,1398915072,0
85384,2.815162420272827,17.779772758483887,0.001,0.001,0.001,1.4437639713287354,0.6926339899443398,8,8,1398931456,0
85385,2.558935821056366,13.09650444984436,0.001,0.001,0.001,1.4001423120498657,0.7142131134764756,8,8,1398947840,0
85386,3.2667815685272217,26.704267501831055,0.001,0.001,0.001,1.485407829284668,0.6732157864556965,8,8,1398964224,0
85387,3.0920997262001038,22.52977466583252,0.001,0.001,0.001,1.4716994762420654,0.67948655017041,8,8,1398980608,0
85388,2.6911444664001465,14.994014024734497,0.001,0.001,0.001,1.4814108610153198,0.6750321779833255,8,8,1398996992,0
85389,3.052152931690216,22.529905796051025,0.001,0.001,0.001,1.5258255004882812,0.6553829384024146,8,8,1399013376,0
85390,3.0488774180412292,21.83309292793274,0.001,0.001,0.001,1.6187458038330078,0.617762219139963,8,8,1399029760,0
85391,3.0769090056419373,24.089194774627686,0.001,0.001,0.001,1.5017627477645874,0.6658841428100809,8,8,1399046144,0
85392,2.8840951323509216,18.287965774536133,0.001,0.001,0.001,1.4763453006744385,0.6773483138006351,8,8,1399062528,0
85393,2.7851250171661377,16.345617294311523,0.001,0.001,0.001,1.4391289949417114,0.6948647435456665,8,8,1399078912,0
85394,3.0315542221069336,21.250335454940796,0.001,0.001,0.001,2.8215653896331787,0.3544131933549312,8,8,1399095296,0
85395,2.9302619099617004,19.560964822769165,0.001,0.001,0.001,1.3919647932052612,0.7184089747676686,8,8,1399111680,0
85396,2.8268763422966003,17.38690686225891,0.001,0.001,0.001,1.3706170320510864,0.7295984046709247,8,8,1399128064,0
85397,2.9547197222709656,19.431488752365112,0.001,0.001,0.001,1.4775731563568115,0.6767854408406959,8,8,1399144448,0
85398,2.9299007654190063,19.95261788368225,0.001,0.001,0.001,1.8575880527496338,0.538332489014044,8,8,1399160832,0
85399,2.907271683216095,18.76966953277588,0.001,0.001,0.001,1.4088836908340454,0.7097817985296572,8,8,1399177216,0
85400,2.6719141006469727,15.479695320129395,0.001,0.001,0.001,1.5099836587905884,0.6622588225890347,8,8,1399193600,0
85401,2.8158971667289734,17.92284607887268,0.001,0.001,0.001,1.3227882385253906,0.7559789018943935,8,8,1399209984,0
85402,2.8572950959205627,17.460463285446167,0.001,0.001,0.001,1.5880376100540161,0.6297080079642168,8,8,1399226368,0
85403,2.8596712350845337,17.6505708694458,0.001,0.001,0.001,6.545976161956787,0.15276560367138847,8,8,1399242752,0
85404,2.7377143502235413,15.828675270080566,0.001,0.001,0.001,1.3653813600540161,0.7323961123650511,8,8,1399259136,0
85405,2.748009741306305,15.77545166015625,0.001,0.001,0.001,1.3951729536056519,0.7167570138275021,8,8,1399275520,0
85406,2.89580500125885,18.148388385772705,0.001,0.001,0.001,1.4151663780212402,0.7066306941220195,8,8,1399291904,0
85407,2.9451788663864136,19.34981632232666,0.001,0.001,0.001,1.9752765893936157,0.5062582148591559,8,8,1399308288,0
85408,2.634555160999298,14.479103326797485,0.001,0.001,0.001,1.3824131488800049,0.7233727491737549,8,8,1399324672,0
85409,2.8400307297706604,17.373159885406494,0.001,0.001,0.001,1.513471245765686,0.6607327379341292,8,8,1399341056,0
85410,2.912022590637207,18.570329666137695,0.001,0.001,0.001,1.555952548980713,0.6426931211073539,8,8,1399357440,0
85411,2.9934290647506714,20.2767596244812,0.001,0.001,0.001,1.5105828046798706,0.6619961493678345,8,8,1399373824,0
85412,2.835829973220825,17.21513080596924,0.001,0.001,0.001,1.571374535560608,0.63638551940935,8,8,1399390208,0
