train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,10.325867891311646,32958.73193359375,2.3093053735255572e-06,1e-06,1e-06,59.269874572753906,0.01687197766501903,1,1,16384,0
2,10.107149600982666,25463.328125,3.6186107470511143e-06,2.3093053735255572e-06,2.3093053735255572e-06,64.74234008789062,0.015445842684129735,1,1,32768,0
3,9.948490142822266,21176.73193359375,4.92791612057667e-06,3.6186107470511143e-06,3.6186107470511143e-06,85.6803207397461,0.011671291509721207,1,1,49152,0
4,10.110397100448608,25959.70849609375,6.237221494102228e-06,4.92791612057667e-06,4.92791612057667e-06,62.91279220581055,0.01589501856361138,1,1,65536,0
5,10.441213369369507,35475.2666015625,7.546526867627784e-06,6.237221494102228e-06,6.237221494102228e-06,73.36646270751953,0.01363020599734453,1,1,81920,0
6,10.080671310424805,25194.212890625,8.855832241153341e-06,7.546526867627784e-06,7.546526867627784e-06,70.90023040771484,0.014104326519807378,1,1,98304,0
7,9.997057437896729,23454.71337890625,1.01651376146789e-05,8.855832241153341e-06,8.855832241153341e-06,82.04170227050781,0.012188923100386056,1,1,114688,0
8,10.147535562515259,26199.9814453125,1.1474442988204457e-05,1.01651376146789e-05,1.01651376146789e-05,72.24585723876953,0.013841624118252596,1,1,131072,0
9,10.049905061721802,23520.63232421875,1.2783748361730012e-05,1.1474442988204457e-05,1.1474442988204457e-05,63.1897087097168,0.0158253617625272,1,1,147456,0
10,10.072180986404419,24176.427734375,1.409305373525557e-05,1.2783748361730012e-05,1.2783748361730012e-05,91.75301361083984,0.010898824579663154,1,1,163840,0
11,9.997812747955322,22469.763916015625,1.540235910878113e-05,1.409305373525557e-05,1.409305373525557e-05,68.18401336669922,0.01466619447321036,1,1,180224,0
12,10.251706600189209,30324.1923828125,1.6711664482306682e-05,1.540235910878113e-05,1.540235910878113e-05,82.51146697998047,0.01211952758327052,1,1,196608,0
13,10.286102771759033,30334.72412109375,1.8020969855832245e-05,1.6711664482306682e-05,1.6711664482306682e-05,67.25733184814453,0.014868267481347803,1,1,212992,0
14,10.13673186302185,25763.34521484375,1.93302752293578e-05,1.8020969855832245e-05,1.8020969855832245e-05,66.38960266113281,0.015062599562527973,1,1,229376,0
15,9.987164974212646,22524.059326171875,2.0639580602883357e-05,1.93302752293578e-05,1.93302752293578e-05,69.21401977539062,0.014447939929585485,1,1,245760,0
16,10.382631778717041,34447.91796875,2.1948885976408914e-05,2.0639580602883357e-05,2.0639580602883357e-05,84.16666412353516,0.011881188477806887,1,1,262144,0
17,10.177218675613403,26440.21728515625,2.3258191349934473e-05,2.1948885976408914e-05,2.1948885976408914e-05,68.4423828125,0.014610829706784406,1,1,278528,0
18,10.147673845291138,27836.360107421875,2.4567496723460026e-05,2.3258191349934473e-05,2.3258191349934473e-05,75.44705963134766,0.013254327006065254,1,1,294912,0
19,10.200953006744385,27610.81982421875,2.5876802096985586e-05,2.4567496723460026e-05,2.4567496723460026e-05,67.3423843383789,0.014849489067319496,1,1,311296,0
20,9.83725357055664,19600.25146484375,2.718610747051114e-05,2.5876802096985586e-05,2.5876802096985586e-05,82.98788452148438,0.012049951697962639,1,1,327680,0
21,10.16102147102356,26181.84423828125,2.84954128440367e-05,2.718610747051114e-05,2.718610747051114e-05,70.14450073242188,0.014256285090896232,1,1,344064,0
22,10.045314311981201,23774.8349609375,2.9804718217562258e-05,2.84954128440367e-05,2.84954128440367e-05,69.06426239013672,0.014479268515909013,1,1,360448,0
23,10.176344871520996,26543.98974609375,3.111402359108781e-05,2.9804718217562258e-05,2.9804718217562258e-05,70.19891357421875,0.014245234706413545,1,1,376832,0
24,10.187779426574707,28397.84619140625,3.242332896461336e-05,3.111402359108781e-05,3.111402359108781e-05,73.58009338378906,0.013590632384550674,1,1,393216,0
25,9.922304153442383,20946.195068359375,3.373263433813892e-05,3.242332896461336e-05,3.242332896461336e-05,66.83946228027344,0.014961221498263289,1,1,409600,0
26,10.111123085021973,27042.597900390625,3.5041939711664486e-05,3.373263433813892e-05,3.373263433813892e-05,64.14636993408203,0.015589346693002309,1,1,425984,0
27,10.096373319625854,26725.99365234375,3.635124508519004e-05,3.5041939711664486e-05,3.5041939711664486e-05,58.459877014160156,0.017105749294644645,1,1,442368,0
28,9.543734073638916,14860.169921875,3.7660550458715605e-05,3.635124508519004e-05,3.635124508519004e-05,83.1868896484375,0.012021125014123798,1,1,458752,0
29,10.358970403671265,32563.205078125,3.8969855832241155e-05,3.7660550458715605e-05,3.7660550458715605e-05,80.34553527832031,0.012446242302524285,1,1,475136,0
30,9.65924334526062,17058.3642578125,4.027916120576671e-05,3.8969855832241155e-05,3.8969855832241155e-05,66.07910919189453,0.01513337592212348,1,1,491520,0
31,9.871504306793213,19732.8798828125,4.158846657929227e-05,4.027916120576671e-05,4.027916120576671e-05,69.39578247070312,0.014410097622606338,1,1,507904,0
32,10.227450132369995,27704.8896484375,4.289777195281783e-05,4.158846657929227e-05,4.158846657929227e-05,69.84467315673828,0.014317484137349857,1,1,524288,0
33,10.161137104034424,27045.50146484375,4.4207077326343386e-05,4.289777195281783e-05,4.289777195281783e-05,52.272396087646484,0.019130555988351,1,1,540672,0
34,9.771223545074463,18069.80810546875,4.551638269986894e-05,4.4207077326343386e-05,4.4207077326343386e-05,54.12720489501953,0.01847499795970428,1,1,557056,0
35,9.825071334838867,19217.63525390625,4.68256880733945e-05,4.551638269986894e-05,4.551638269986894e-05,57.10971450805664,0.017510155822244734,1,1,573440,0
36,9.760308742523193,17987.3955078125,4.813499344692005e-05,4.68256880733945e-05,4.68256880733945e-05,59.187156677246094,0.01689555734959681,1,1,589824,0
37,10.082245588302612,28632.04931640625,4.944429882044561e-05,4.813499344692005e-05,4.813499344692005e-05,53.48794174194336,0.018695802594621367,1,1,606208,0
38,9.85966968536377,20709.0087890625,5.075360419397117e-05,4.944429882044561e-05,4.944429882044561e-05,48.79901885986328,0.020492215281452508,1,1,622592,0
39,9.566283464431763,14862.322509765625,5.206290956749673e-05,5.075360419397117e-05,5.075360419397117e-05,50.73314666748047,0.01971097922536258,1,1,638976,0
40,9.778629779815674,17696.969482421875,5.337221494102227e-05,5.206290956749673e-05,5.206290956749673e-05,45.585628509521484,0.02193673823738347,1,1,655360,0
41,9.763497591018677,19443.900634765625,5.4681520314547836e-05,5.337221494102227e-05,5.337221494102227e-05,45.992286682128906,0.021742776281409495,1,1,671744,0
42,10.096832036972046,24380.193359375,5.59908256880734e-05,5.4681520314547836e-05,5.4681520314547836e-05,70.40921020507812,0.014202687362737422,1,1,688128,0
43,9.695422410964966,16765.4287109375,5.7300131061598955e-05,5.59908256880734e-05,5.59908256880734e-05,50.942108154296875,0.019630125965166445,1,1,704512,0
44,9.605505228042603,15521.610595703125,5.860943643512452e-05,5.7300131061598955e-05,5.7300131061598955e-05,47.4006462097168,0.021096758798933544,1,1,720896,0
45,10.093587160110474,25121.701171875,5.991874180865007e-05,5.860943643512452e-05,5.860943643512452e-05,56.80561065673828,0.01760389490472562,1,1,737280,0
46,9.836971521377563,18778.067138671875,6.122804718217562e-05,5.991874180865007e-05,5.991874180865007e-05,60.51052474975586,0.016526050701684225,1,1,753664,0
47,9.70924687385559,17146.28369140625,6.253735255570117e-05,6.122804718217562e-05,6.122804718217562e-05,42.21295166015625,0.023689411914397145,1,1,770048,0
48,9.69759750366211,16682.169677734375,6.384665792922672e-05,6.253735255570117e-05,6.253735255570117e-05,47.13991928100586,0.02121344319744964,1,1,786432,0
49,9.829724311828613,20032.563232421875,6.51559633027523e-05,6.384665792922672e-05,6.384665792922672e-05,44.9893684387207,0.02222747361661815,1,1,802816,0
50,9.758267164230347,17832.308349609375,6.646526867627785e-05,6.51559633027523e-05,6.51559633027523e-05,45.66604232788086,0.021898109602316904,1,1,819200,0
51,9.674971580505371,15998.437744140625,6.77745740498034e-05,6.646526867627785e-05,6.646526867627785e-05,36.953575134277344,0.027060981146378834,1,1,835584,0
52,9.33913779258728,11415.798583984375,6.908387942332897e-05,6.77745740498034e-05,6.77745740498034e-05,36.28488540649414,0.027559684667517122,1,1,851968,0
53,9.694329500198364,16960.5126953125,7.039318479685452e-05,6.908387942332897e-05,6.908387942332897e-05,51.868194580078125,0.019279637706612354,1,1,868352,0
54,9.580288410186768,15028.63037109375,7.170249017038007e-05,7.039318479685452e-05,7.039318479685452e-05,38.37631607055664,0.02605773827173581,1,1,884736,0
55,9.862683773040771,20209.840576171875,7.301179554390564e-05,7.170249017038007e-05,7.170249017038007e-05,40.99679183959961,0.024392152535068753,1,1,901120,0
56,9.615151643753052,15040.3505859375,7.43211009174312e-05,7.301179554390564e-05,7.301179554390564e-05,38.93674850463867,0.025682678662314107,1,1,917504,0
