train/step,train/loss,train/log_ppl,train/lr,train/lr_recur,train/lr_nonrecur,train/total_norm,train/grad_clip_coef,train/mean_recurrence,train/mean_backprop_depth,train/total_tokens,train/epoch
1,10.213618993759155,28378.98583984375,2.3093053735255572e-06,1e-06,1e-06,160.44989013671875,0.006232475442319702,1,1,16384,0
2,10.153690338134766,25878.02294921875,3.6186107470511143e-06,2.3093053735255572e-06,2.3093053735255572e-06,150.94375610351562,0.006624984204806749,1,1,32768,0
3,9.757930755615234,17617.3779296875,4.92791612057667e-06,3.6186107470511143e-06,3.6186107470511143e-06,159.00816345214844,0.006288985284085314,1,1,49152,0
4,10.111159324645996,25652.02099609375,6.237221494102228e-06,4.92791612057667e-06,4.92791612057667e-06,188.90530395507812,0.0052936576107878676,1,1,65536,0
5,10.148283004760742,25807.3681640625,7.546526867627784e-06,6.237221494102228e-06,6.237221494102228e-06,119.13062286376953,0.00839414733140051,1,1,81920,0
6,9.911026954650879,20482.3466796875,8.855832241153341e-06,7.546526867627784e-06,7.546526867627784e-06,161.3699188232422,0.006196941829631529,1,1,98304,0
7,9.98273777961731,21891.28955078125,1.01651376146789e-05,8.855832241153341e-06,8.855832241153341e-06,184.8759765625,0.005409031603746148,1,1,114688,0
8,10.227468013763428,28250.9462890625,1.1474442988204457e-05,1.01651376146789e-05,1.01651376146789e-05,171.94488525390625,0.005815817077218214,1,1,131072,0
9,9.979178667068481,22133.18115234375,1.2783748361730012e-05,1.1474442988204457e-05,1.1474442988204457e-05,188.47293090820312,0.005305801714767468,1,1,147456,0
10,9.972102403640747,22219.77783203125,1.409305373525557e-05,1.2783748361730012e-05,1.2783748361730012e-05,166.7638702392578,0.005996502711080547,1,1,163840,0
11,10.108561277389526,24729.78369140625,1.540235910878113e-05,1.409305373525557e-05,1.409305373525557e-05,211.31088256835938,0.004732363936232644,1,1,180224,0
12,10.209053039550781,28279.72509765625,1.6711664482306682e-05,1.540235910878113e-05,1.540235910878113e-05,159.65182495117188,0.006263630248547645,1,1,196608,0
13,10.115682125091553,25615.65087890625,1.8020969855832245e-05,1.6711664482306682e-05,1.6711664482306682e-05,124.40375518798828,0.008038342560390382,1,1,212992,0
14,10.038838624954224,23471.7958984375,1.93302752293578e-05,1.8020969855832245e-05,1.8020969855832245e-05,151.88929748535156,0.006583742347589928,1,1,229376,0
15,9.824669122695923,19826.67138671875,2.0639580602883357e-05,1.93302752293578e-05,1.93302752293578e-05,152.42283630371094,0.0065606967056264336,1,1,245760,0
16,9.997282028198242,22135.068359375,2.1948885976408914e-05,2.0639580602883357e-05,2.0639580602883357e-05,102.55323791503906,0.009751032930120132,1,1,262144,0
17,10.080327272415161,24852.078125,2.3258191349934473e-05,2.1948885976408914e-05,2.1948885976408914e-05,94.44441986083984,0.010588238050204028,1,1,278528,0
18,9.980880737304688,22870.9140625,2.4567496723460026e-05,2.3258191349934473e-05,2.3258191349934473e-05,158.6497039794922,0.006303194868420671,1,1,294912,0
19,10.045987129211426,23133.4296875,2.5876802096985586e-05,2.4567496723460026e-05,2.4567496723460026e-05,100.53047180175781,0.009947232735283997,1,1,311296,0
20,9.917197465896606,20557.767578125,2.718610747051114e-05,2.5876802096985586e-05,2.5876802096985586e-05,230.1238250732422,0.004345486607836988,1,1,327680,0
21,10.031906843185425,23047.12060546875,2.84954128440367e-05,2.718610747051114e-05,2.718610747051114e-05,115.59275817871094,0.008651060981293934,1,1,344064,0
22,10.110260486602783,24989.1240234375,2.9804718217562258e-05,2.84954128440367e-05,2.84954128440367e-05,149.42369079589844,0.0066923791981950064,1,1,360448,0
23,10.038079738616943,23194.7705078125,3.111402359108781e-05,2.9804718217562258e-05,2.9804718217562258e-05,214.37489318847656,0.004664725356251508,1,1,376832,0
24,10.067641735076904,24559.4130859375,3.242332896461336e-05,3.111402359108781e-05,3.111402359108781e-05,127.60083770751953,0.007836939145275392,1,1,393216,0
25,9.979283571243286,21891.0654296875,3.373263433813892e-05,3.242332896461336e-05,3.242332896461336e-05,209.71641540527344,0.004768343947074968,1,1,409600,0
26,9.991185665130615,22234.25439453125,3.5041939711664486e-05,3.373263433813892e-05,3.373263433813892e-05,122.19095611572266,0.008183911737730637,1,1,425984,0
27,10.08840799331665,24859.45458984375,3.635124508519004e-05,3.5041939711664486e-05,3.5041939711664486e-05,255.32723999023438,0.003916542551582994,1,1,442368,0
28,9.653880834579468,15951.6455078125,3.7660550458715605e-05,3.635124508519004e-05,3.635124508519004e-05,355.50372314453125,0.002812910062248332,1,1,458752,0
29,10.21668028831482,28163.85498046875,3.8969855832241155e-05,3.7660550458715605e-05,3.7660550458715605e-05,127.47357940673828,0.007844762849321323,1,1,475136,0
30,9.755806684494019,17708.3310546875,4.027916120576671e-05,3.8969855832241155e-05,3.8969855832241155e-05,176.14474487304688,0.005677149214532208,1,1,491520,0
31,10.010269403457642,22301.98681640625,4.158846657929227e-05,4.027916120576671e-05,4.027916120576671e-05,213.7013397216797,0.004679427846836969,1,1,507904,0
32,9.924749851226807,20550.73876953125,4.289777195281783e-05,4.158846657929227e-05,4.158846657929227e-05,77.95179748535156,0.012828440552482499,1,1,524288,0
